time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,train/critic_loss,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef
3,18.800594,22.6,3598,500,11100,2.500088691711426,-3.683649778366089,54,-0.026858707889914513,0.0001,0.9946979284286499
3,17.287382,22.05,3484,510,11320,2.3346259593963623,-4.1065826416015625,65,-0.032339900732040405,0.0001,0.993600070476532
3,18.315681,22.46,3363,520,11560,1.8652613162994385,-4.453997611999512,77,-0.03839216008782387,0.0001,0.9924042224884033
3,18.116549,22.71,3251,530,11780,1.668255090713501,-4.627902984619141,88,-0.043961286544799805,0.0001,0.9913104176521301
3,19.21426,23.04,3160,540,11940,1.3666335344314575,-4.654266357421875,96,-0.04790419712662697,0.0001,0.9905164241790771
3,19.300926,23.0,3072,550,12140,1.7337725162506104,-4.837554454803467,106,-0.053242459893226624,0.0001,0.9895250201225281
4,19.060278,22.97,3005,560,12340,1.4283263683319092,-5.023240566253662,116,-0.058355383574962616,0.0001,0.9885333180427551
4,17.771534,21.74,2913,570,12620,1.3229477405548096,-5.169098854064941,130,-0.06502969563007355,0.0001,0.9871477484703064
4,17.581738,21.19,2879,580,12720,1.3546065092086792,-5.100376129150391,135,-0.06764765083789825,0.0001,0.986653745174408
4,17.589485,21.36,2815,590,12940,1.025648832321167,-5.2135725021362305,146,-0.07337477803230286,0.0001,0.9855671525001526
4,17.03856,20.81,2721,600,13220,1.4788641929626465,-5.425251007080078,160,-0.08026862144470215,0.0001,0.9841858148574829
5,19.1544,21.69,2670,610,13420,1.4672635793685913,-5.464544296264648,170,-0.08555794507265091,0.0001,0.9832002520561218
5,18.536627,21.12,2612,620,13640,1.4176740646362305,-5.603918075561523,181,-0.09144718945026398,0.0001,0.9821175336837769
5,18.723112,20.92,2574,630,13820,0.994356632232666,-5.612820148468018,190,-0.09634261578321457,0.0001,0.9812319278717041
5,17.537064,20.35,2522,640,14020,1.3084107637405396,-5.6928229331970215,200,-0.10068860650062561,0.0001,0.9802488088607788
5,17.098146,20.12,2468,650,14200,1.1482720375061035,-5.798860549926758,209,-0.10513102263212204,0.0001,0.9793661236763
5,16.98702,19.87,2423,660,14460,1.1412328481674194,-5.938924789428711,222,-0.1116630807518959,0.0001,0.978092610836029
6,17.182365,20.18,2402,670,14580,1.0383937358856201,-6.038866996765137,228,-0.11443006992340088,0.0001,0.977505624294281
6,17.168398,20.07,2355,680,14920,1.4659217596054077,-6.200044631958008,245,-0.12278208136558533,0.0001,0.9758444428443909
6,19.187012,21.23,2316,690,15140,1.0092964172363281,-6.301181793212891,256,-0.1292094886302948,0.0001,0.9747714400291443
6,20.021832,22.0,2260,700,15440,1.4547924995422363,-6.453225135803223,271,-0.13588762283325195,0.0001,0.9733086824417114
7,20.58716,22.61,2223,710,15660,1.4259133338928223,-6.505662441253662,282,-0.14186376333236694,0.0001,0.9722374677658081
7,20.52198,22.74,2188,720,15900,1.5564228296279907,-6.553765296936035,294,-0.14750200510025024,0.0001,0.9710713028907776
7,20.116388,22.52,2156,730,16100,1.3931665420532227,-6.659096717834473,304,-0.15219512581825256,0.0001,0.9701006412506104
7,20.024094,22.22,2136,740,16300,1.1199018955230713,-6.722134590148926,314,-0.15743836760520935,0.0001,0.9691306352615356
7,20.909508,22.58,2117,750,16520,1.5005227327346802,-6.94398307800293,325,-0.16340409219264984,0.0001,0.968065083026886
7,21.519995,22.8,2100,760,16660,0.8888951539993286,-6.9000444412231445,332,-0.16587887704372406,0.0001,0.9673879742622375
8,21.92912,22.93,2064,770,16940,1.0040510892868042,-7.188528537750244,346,-0.17514273524284363,0.0001,0.9660351276397705
8,23.844273,23.96,2045,780,17180,1.3421660661697388,-7.231607913970947,358,-0.17971664667129517,0.0001,0.9648759365081787
8,21.893064,22.83,2031,790,17340,0.9751270413398743,-7.338456153869629,366,-0.1845046579837799,0.0001,0.9641045331954956
