time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,train/critic_loss,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef
19,25.945978,26.26,1061,950,21040,1.1326388120651245,-9.029622077941895,551,-0.2742047607898712,0.0001,0.946501612663269
20,25.610163,26.28,1065,960,21380,1.3121564388275146,-9.472684860229492,568,-0.28259551525115967,0.0001,0.9449082612991333
20,25.541819,26.66,1069,970,21720,1.5956571102142334,-9.489646911621094,585,-0.2916675806045532,0.0001,0.9433189034461975
20,26.445652,26.65,1073,980,21980,1.5748345851898193,-9.752250671386719,598,-0.29585346579551697,0.0001,0.9421064853668213
20,27.423487,27.72,1078,990,22400,1.3343322277069092,-9.582687377929688,619,-0.30848079919815063,0.0001,0.9401498436927795
21,28.246956,28.13,1082,1000,22820,1.5033681392669678,-10.06680679321289,640,-0.31212782859802246,0.0001,0.9381999969482422
21,31.286383,29.7,1085,1010,23100,0.9994040727615356,-10.270687103271484,654,-0.3232853412628174,0.0001,0.9369051456451416
21,31.345625,29.8,1091,1020,23540,3.4617717266082764,-10.628170013427734,676,-0.3338364362716675,0.0001,0.9348724484443665
21,35.568417,32.16,1097,1030,24060,1.8001463413238525,-10.739274024963379,702,-0.34577035903930664,0.0001,0.9324815273284912
22,40.57927,35.11,1099,1040,24340,2.316126585006714,-11.080272674560547,716,-0.34773093461990356,0.0001,0.9311956763267517
22,39.913055,35.11,1103,1050,24680,1.9079744815826416,-10.916101455688477,733,-0.3575879633426666,0.0001,0.9296426177024841
22,42.857548,36.23,1108,1060,25200,2.814638614654541,-11.356995582580566,759,-0.36885592341423035,0.0001,0.9272729158401489
22,43.91604,37.52,1111,1070,25540,1.496250867843628,-11.866283416748047,776,-0.3835391402244568,0.0001,0.9257309436798096
23,43.6732,38.12,1116,1080,26020,3.7746520042419434,-12.10855484008789,800,-0.38932156562805176,0.0001,0.9235537052154541
23,49.0807,39.73,1117,1090,26300,1.8782038688659668,-11.969657897949219,814,-0.392387330532074,0.0001,0.9222869873046875
