time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
3261,3,10300,20.69,17.714521,440,0.9885401725769043,-0.05835016071796417,0.0008858667904100823,1.677991271018982,-5.16298770904541,14
3061,3,10500,19.54,16.039919,450,0.9798061847686768,-0.10240243375301361,0.0008858667904100823,1.0822232961654663,-4.534404277801514,24
2928,3,10680,19.89,16.06498,460,0.972013533115387,-0.1431616246700287,0.0008858667904100823,0.7728432416915894,-4.887252330780029,33
2743,3,10960,20.5,16.360003,470,0.9600075483322144,-0.2062969207763672,0.0008858667904100823,0.6531095504760742,-5.114835739135742,47
2643,4,11100,21.14,16.894455,480,0.9540596604347229,-0.2374551147222519,0.0008858667904100823,0.46126145124435425,-5.134621620178223,54
2554,4,11280,20.62,16.44614,490,0.9464666247367859,-0.2785259485244751,0.0008858667904100823,0.4175698459148407,-5.264983177185059,63
2427,4,11540,20.56,15.984408,500,0.9356018304824829,-0.3357096016407013,0.0008858667904100823,0.4478725790977478,-5.3204755783081055,76
2325,5,11740,20.88,16.282381,510,0.9273368120193481,-0.37952911853790283,0.0008858667904100823,0.4557620882987976,-5.371644973754883,86
2291,5,11880,20.49,15.951024,520,0.9215975999832153,-0.40954458713531494,0.0008858667904100823,0.5275185108184814,-5.395247459411621,93
2221,5,12200,20.87,16.266335,530,0.908625066280365,-0.48009535670280457,0.0008858667904100823,0.42594781517982483,-5.46945858001709,109
2157,5,12420,21.06,16.385899,540,0.8998014330863953,-0.5301077365875244,0.0008858667904100823,0.37402284145355225,-5.575196266174316,120
2109,5,12620,21.51,16.630623,550,0.8918586373329163,-0.5725932121276855,0.0008858667904100823,0.30464687943458557,-5.731839179992676,130
2044,6,12860,21.83,17.515833,560,0.8824180960655212,-0.6289572715759277,0.0008858667904100823,0.5379159450531006,-5.694183826446533,142
1984,6,13140,21.39,16.806244,570,0.8715289235115051,-0.6908217668533325,0.0008858667904100823,0.4468902349472046,-5.6848249435424805,156
1949,6,13340,21.64,17.18214,580,0.8638426661491394,-0.7359482049942017,0.0008858667904100823,0.5353100299835205,-5.787928581237793,166
1878,7,13740,22.8,18.61931,590,0.8486607074737549,-0.8276273608207703,0.0008858667904100823,0.3981417417526245,-6.021634101867676,186
1838,7,14060,24.31,20.440586,600,0.8367183804512024,-0.9023042917251587,0.0008858667904100823,0.3623500466346741,-6.058298587799072,202
1809,7,14260,24.13,20.76306,610,0.8293428421020508,-0.9440373778343201,0.0008858667904100823,0.3513544499874115,-6.152343273162842,212
1778,8,14560,25.03,21.800756,620,0.8184102773666382,-1.011218547821045,0.0008858667904100823,0.2977021634578705,-6.275003433227539,227
1727,8,14960,25.47,22.811613,630,0.8040484189987183,-1.0943968296051025,0.0008858667904100823,0.8740293979644775,-6.100090026855469,247
1695,9,15300,27.69,27.310425,640,0.7920621037483215,-1.1705365180969238,0.0008858667904100823,0.5424743890762329,-6.360663414001465,264
1663,9,15600,28.76,28.873066,650,0.7816240191459656,-1.24953031539917,0.0008858667904100823,0.5391629934310913,-6.408651828765869,279
1632,9,15980,30.09,30.354982,660,0.7686141133308411,-1.3230057954788208,0.0008858667904100823,0.340018630027771,-6.739091873168945,298
