time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
459,29,13420,23.05,19.629864,600,0.8608341813087463,-0.7550651431083679,0.0008858667904100823,0.47016066312789917,-5.705155372619629,170
465,29,13780,23.96,20.439934,610,0.8472115993499756,-0.8388787508010864,0.0008858667904100823,0.4317990839481354,-5.825231552124023,188
469,30,14120,25.29,22.74886,620,0.8345455527305603,-0.9085779190063477,0.0008858667904100823,0.5846383571624756,-5.978333473205566,205
472,30,14400,25.74,23.94181,630,0.8242716789245605,-0.9693499207496643,0.0008858667904100823,0.3264947533607483,-6.046550750732422,219
475,30,14600,25.41,22.454338,640,0.8170153498649597,-1.0183762311935425,0.0008858667904100823,0.29865938425064087,-6.015733242034912,229
483,31,15080,26.65,24.37782,650,0.799873411655426,-1.1182808876037598,0.0008858667904100823,0.2684072256088257,-6.335705757141113,253
490,31,15560,28.06,26.90979,660,0.7830840945243835,-1.2210659980773926,0.0008858667904100823,0.19306981563568115,-6.512260437011719,277
494,32,15900,30.92,30.555874,670,0.771428108215332,-1.297370195388794,0.0008858667904100823,0.4194853901863098,-6.522468566894531,294
499,32,16240,31.66,31.75779,680,0.7599384188652039,-1.3672994375228882,0.0008858667904100823,0.5104649066925049,-6.5257344245910645,311
503,32,16480,32.17,32.6444,690,0.7519413828849792,-1.4278744459152222,0.0008858667904100823,0.593713641166687,-6.789947509765625,323
507,33,16840,33.44,35.33969,700,0.7401126027107239,-1.5031976699829102,0.0008858667904100823,0.4184959828853607,-6.922390937805176,341
512,33,17280,32.99,35.273643,710,0.7259157299995422,-1.5925167798995972,0.0008858667904100823,0.5223668813705444,-6.862377166748047,363
516,34,17660,34.71,36.730453,720,0.7138896584510803,-1.6723313331604004,0.0008858667904100823,0.5206370949745178,-7.007403373718262,382
522,34,18160,36.5,40.537594,730,0.6983913779258728,-1.7878367900848389,0.0008858667904100823,0.6054062247276306,-7.330014228820801,407
528,35,18720,38.77,46.255146,740,0.6814755201339722,-1.9000210762023926,0.0008858667904100823,1.000423550605774,-7.364660263061523,435
535,36,19380,40.02,48.526142,750,0.6620973944664001,-2.000847339630127,0.0008858667904100823,0.44221213459968567,-7.7523651123046875,468
539,36,19740,41.47,51.02904,760,0.6517801284790039,-2.128042221069336,0.0008858667904100823,0.44842585921287537,-8.154908180236816,486
473,42,20060,41.44,51.953213,770,0.6427587270736694,-2.1833858489990234,0.0008858667904100823,0.717525839805603,-7.969128608703613,502
481,43,20760,43.27,53.89703,780,0.6234610676765442,-2.288151979446411,0.0008858667904100823,0.9122492074966431,-8.280638694763184,537
485,43,21180,45.72,57.947926,790,0.6121597290039062,-2.3894059658050537,0.0008858667904100823,1.3571887016296387,-8.352664947509766,558
492,44,21800,46.32,57.99716,800,0.5959720611572266,-2.5378379821777344,0.0008858667904100823,0.7146953344345093,-8.8087158203125,589
498,44,22300,50.3,64.06692,810,0.5832483172416687,-2.6328248977661133,0.0008858667904100823,1.2784268856048584,-8.90806770324707,614
504,45,23000,51.14,67.51673,820,0.5659019947052002,-2.795665979385376,0.0008858667904100823,0.9725997447967529,-8.784698486328125,649
511,46,23800,51.72,67.967766,830,0.546798050403595,-2.865553855895996,0.0008858667904100823,0.37895819544792175,-9.394824981689453,689
516,47,24360,55.21,72.4191,840,0.5338855981826782,-3.0180511474609375,0.0008858667904100823,0.7458462715148926,-9.570229530334473,717
521,47,24860,57.51,77.043655,850,0.5226037502288818,-3.04528546333313,0.0008858667904100823,1.219693899154663,-9.777022361755371,742
527,48,25520,56.46,75.07003,860,0.5081802606582642,-3.146602153778076,0.0008858667904100823,1.1146368980407715,-9.638715744018555,775
533,48,26140,58.8,79.749985,870,0.49498450756073,-3.12636661529541,0.0008858667904100823,0.7805708646774292,-10.307672500610352,806
538,49,26740,59.31,81.95625,880,0.48263001441955566,-3.4060516357421875,0.0008858667904100823,1.3616859912872314,-10.79316520690918,836
545,50,27580,61.94,88.9511,890,0.4658644199371338,-3.5188400745391846,0.0008858667904100823,0.4855557680130005,-10.919049263000488,878
551,51,28360,63.8,94.78481,900,0.4509618282318115,-3.6062421798706055,0.0008858667904100823,0.37545961141586304,-11.202413558959961,917
558,52,29400,66.53,104.53457,910,0.43196365237236023,-3.8291380405426025,0.0008858667904100823,0.43665820360183716,-12.018135070800781,969
486,61,30160,70.17,117.12232,920,0.4187361001968384,-3.9085278511047363,0.0008858667904100823,2.016603946685791,-11.144322395324707,1007
494,63,31260,74.3,128.19955,930,0.40037569403648376,-4.053139686584473,0.0008858667904100823,2.2399024963378906,-13.311941146850586,1062
499,64,31960,76.37,138.70682,940,0.38926994800567627,-3.7999353408813477,0.0008858667904100823,0.9400038719177246,-13.153640747070312,1097
508,65,33140,78.53,147.72783,950,0.37128257751464844,-3.8535268306732178,0.0008858667904100823,1.776869297027588,-13.447092056274414,1156
513,66,33940,83.95,163.27989,960,0.35963204503059387,-4.28469181060791,0.0008858667904100823,1.28851318359375,-13.782570838928223,1196
519,67,34940,86.65,173.63239,970,0.3459062874317169,-4.239381790161133,0.0008858667904100823,2.2931935787200928,-14.661439895629883,1246
524,68,35680,89.25,184.63171,980,0.3359939455986023,-4.713671684265137,0.0008858667904100823,2.224930763244629,-15.073860168457031,1283
531,69,36740,90.01,189.84184,990,0.32262519001960754,-4.511725425720215,0.0008858667904100823,2.6363844871520996,-15.62171745300293,1336
535,69,37460,92.64,199.29295,1000,0.3139227330684662,-4.348882675170898,0.0008858667904100823,1.859950304031372,-15.91583251953125,1372
542,71,38620,92.52,200.94942,1010,0.300308495759964,-4.732516765594482,0.0008858667904100823,2.5773377418518066,-17.25803565979004,1430
545,71,39240,93.03,202.66676,1020,0.29329147934913635,-4.287468433380127,0.0008858667904100823,4.163294315338135,-17.273828506469727,1461
503,80,40420,91.81,202.30983,1030,0.28074124455451965,-4.707464694976807,0.0008858667904100823,0.815327525138855,-17.311019897460938,1520
506,81,41040,90.72,200.75542,1040,0.27434632182121277,-4.995683670043945,0.0008858667904100823,5.274916648864746,-18.597272872924805,1551
512,82,42160,90.77,201.79668,1050,0.26340723037719727,-4.04997444152832,0.0008858667904100823,2.5914902687072754,-18.63778305053711,1607
516,82,42760,89.82,200.61836,1060,0.2577870190143585,-4.465707778930664,0.0008858667904100823,1.7406470775604248,-18.710914611816406,1637
522,84,43920,89.47,201.29686,1070,0.24727676808834076,-4.768082141876221,0.0008858667904100823,0.639595627784729,-20.068904876708984,1695
524,84,44520,88.95,200.05554,1080,0.24205073714256287,-4.066117286682129,0.0008858667904100823,4.8742289543151855,-19.928081512451172,1725
530,85,45640,88.83,199.73624,1090,0.2327803522348404,-4.969067573547363,0.0008858667904100823,2.496492385864258,-20.670751571655273,1781
533,86,46160,88.25,198.25165,1100,0.228464737534523,-4.576313495635986,0.0008858667904100823,1.4794590473175049,-20.86959457397461,1807
539,87,47440,87.77,198.14746,1110,0.21845591068267822,-4.999321937561035,0.0008858667904100823,5.942439079284668,-21.0009765625,1871
542,88,48060,87.35,197.27792,1120,0.21385902166366577,-4.919041633605957,0.0008858667904100823,4.2259345054626465,-22.548255920410156,1902
547,89,49140,87.4,196.99734,1130,0.20609113574028015,-4.964159965515137,0.0008858667904100823,2.1153883934020996,-22.448307037353516,1956
551,90,49800,87.28,196.1287,1140,0.20159310102462769,-4.469229698181152,0.0008858667904100823,2.9257941246032715,-23.008220672607422,1989
