time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/n_updates,train/actor_loss,train/critic_loss
20660,35.12,43,39.038204,820,471,0.00042813323987193956,0.7972909808158875,-1.1289499998092651,532,-8.844306945800781,1.1189950704574585
21120,36.96,44,42.264164,830,476,0.00042813323987193956,0.78958660364151,-1.166364073753357,555,-9.152848243713379,1.2485458850860596
21640,38.93,44,44.434593,840,481,0.00042813323987193956,0.7809866666793823,-1.21028470993042,581,-9.185447692871094,1.3450493812561035
21840,39.42,45,45.261387,850,483,0.00042813323987193956,0.7777014970779419,-1.2178794145584106,591,-9.4022216796875,1.0469553470611572
22580,41.84,46,48.75168,860,490,0.00042813323987193956,0.7656946778297424,-1.3056950569152832,628,-9.463764190673828,1.66422438621521
22980,43.15,46,52.44379,870,494,0.00042813323987193956,0.7593181133270264,-1.337436318397522,648,-9.574085235595703,1.0466890335083008
23700,43.94,47,53.642036,880,500,0.00042813323987193956,0.7479315996170044,-1.4182536602020264,684,-10.329412460327148,0.9571884870529175
24240,45.37,47,57.7953,890,505,0.00042813323987193956,0.739521861076355,-1.4640579223632812,711,-10.984795570373535,0.4560580849647522
24680,48.04,48,61.541656,900,509,0.00042813323987193956,0.732747495174408,-1.483304500579834,733,-10.704258918762207,1.2421140670776367
25340,50.26,49,65.65819,910,514,0.00042813323987193956,0.7227773666381836,-1.544518232345581,766,-10.775129318237305,2.583893299102783
25780,50.19,49,66.75154,920,518,0.00042813323987193956,0.716174840927124,-1.596724271774292,788,-11.385542869567871,1.9987013339996338
26340,50.87,50,68.494514,930,523,0.00042813323987193956,0.7078636884689331,-1.6807851791381836,816,-11.760883331298828,1.6425811052322388
27140,53.98,51,75.294685,940,530,0.00042813323987193956,0.6962002515792847,-1.7192919254302979,856,-11.834539413452148,1.5658328533172607
27620,54.47,51,76.42024,950,533,0.00042813323987193956,0.6893066763877869,-1.7739958763122559,880,-11.936683654785156,1.5263280868530273
28180,55.42,52,78.81338,960,538,0.00042813323987193956,0.6813806891441345,-1.8446218967437744,908,-13.036550521850586,1.0006216764450073
28820,56.71,53,81.06736,970,542,0.00042813323987193956,0.6724290251731873,-1.8846198320388794,940,-12.70313549041748,4.192831993103027
29380,56.81,53,82.954414,980,546,0.00042813323987193956,0.6646950244903564,-1.9334744215011597,968,-13.318954467773438,1.630961298942566
29840,57.23,54,85.969444,990,550,0.00042813323987193956,0.6584339737892151,-1.9584918022155762,991,-13.381052017211914,1.4898719787597656
30460,56.23,57,86.47234,1000,527,0.00042813323987193956,0.650143563747406,-1.9498271942138672,1022,-13.879730224609375,2.039344072341919
31300,56.16,58,87.20252,1010,533,0.00042813323987193956,0.639107882976532,-2.052734851837158,1064,-14.107078552246094,2.6831936836242676
31920,60.24,59,96.90583,1020,537,0.00042813323987193956,0.6310722827911377,-2.1244664192199707,1095,-14.799824714660645,3.3251426219940186
32680,62.27,60,102.87216,1030,542,0.00042813323987193956,0.6213701367378235,-2.187911033630371,1133,-15.063977241516113,1.2678768634796143
33580,61.54,61,103.54628,1040,547,0.00042813323987193956,0.6101254224777222,-2.2440695762634277,1178,-15.949464797973633,0.6470894813537598
34340,64.47,62,110.933075,1050,552,0.00042813323987193956,0.6008012294769287,-2.2865257263183594,1216,-15.90322494506836,2.142662763595581
35320,67.42,63,120.73225,1060,558,0.00042813323987193956,0.5890896320343018,-2.3347578048706055,1265,-16.4549503326416,3.3414840698242188
36080,69.7,63,128.71556,1070,563,0.00042813323987193956,0.5802346467971802,-2.5183591842651367,1303,-16.93695831298828,1.673317790031433
37040,73.69,64,139.38254,1080,569,0.00042813323987193956,0.5692679286003113,-2.5510525703430176,1351,-17.26274871826172,4.237605094909668
37800,77.69,65,149.5603,1090,573,0.00042813323987193956,0.5608007907867432,-2.4590280055999756,1389,-17.61074447631836,3.1788647174835205
38700,80.97,66,159.89893,1100,578,0.00042813323987193956,0.5509874224662781,-2.5408921241760254,1434,-18.342086791992188,1.444715976715088
39500,84.69,67,171.38762,1110,583,0.00042813323987193956,0.542341947555542,-2.6146938800811768,1474,-18.813560485839844,4.677035331726074
40560,84.95,76,174.9131,1120,533,0.00042813323987193956,0.5312225222587585,-2.6319684982299805,1527,-19.902250289916992,2.3587915897369385
41280,86.32,76,181.06248,1130,537,0.00042813323987193956,0.5238689184188843,-2.862849473953247,1563,-20.100605010986328,4.118843078613281
42240,87.93,77,187.65239,1140,541,0.00042813323987193956,0.5141520500183105,-2.844546318054199,1611,-21.429283142089844,6.4207258224487305
42960,88.58,78,191.91756,1150,544,0.00042813323987193956,0.5070748925209045,-2.79046630859375,1647,-20.97283172607422,3.9046897888183594
43900,88.28,80,192.61008,1160,548,0.00042813323987193956,0.49796047806739807,-3.0188686847686768,1694,-22.116724014282227,7.2101593017578125
44720,88.18,80,193.56395,1170,552,0.00042813323987193956,0.49014487862586975,-2.8230714797973633,1735,-21.758848190307617,9.344974517822266
45740,87.77,82,194.00844,1180,556,0.00042813323987193956,0.48059162497520447,-3.099799156188965,1786,-23.716190338134766,3.386509418487549
46440,87.39,82,193.36649,1190,560,0.00042813323987193956,0.47416257858276367,-2.969430446624756,1821,-22.76184844970703,6.299290180206299
47480,86.92,83,192.25607,1200,565,0.00042813323987193956,0.4649149477481842,-2.9214158058166504,1873,-23.799129486083984,5.294711589813232
48100,86.5,84,191.50975,1210,568,0.00042813323987193956,0.45949503779411316,-3.1995441913604736,1904,-24.346290588378906,2.5941162109375
49140,86.04,85,190.68867,1220,573,0.00042813323987193956,0.45051491260528564,-3.2095251083374023,1956,-24.896530151367188,3.8276820182800293
49960,86.34,86,191.26012,1230,576,0.00042813323987193956,0.44352850317955017,-3.1886048316955566,1997,-25.04098129272461,5.1616926193237305
