time/fps,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/ent_coef
651,18600,51.59,690,71.6817,28,-5.022129058837891,429,0.004832930238571752,-8.958813667297363,0.09154622256755829,0.1355312168598175
653,19020,53.5,700,77.24368,29,-5.220975875854492,450,0.004832930238571752,-7.766628265380859,0.28239214420318604,0.12444568425416946
656,19380,52.17,710,76.56891,29,-5.432668685913086,468,0.004832930238571752,-7.549111366271973,0.535275936126709,0.11625619232654572
658,19660,49.8,720,75.83553,29,-5.327392101287842,482,0.004832930238571752,-6.881452560424805,0.1227230429649353,0.1103183701634407
608,20360,47.77,730,76.33533,33,-5.413270950317383,517,0.004832930238571752,-5.972559928894043,0.24952226877212524,0.09692956507205963
614,21000,49.06,740,80.8352,34,-5.38791036605835,549,0.004832930238571752,-6.249759674072266,0.5154737234115601,0.08697725087404251
624,21840,50.11,750,87.27519,34,-6.400693893432617,591,0.004832930238571752,-5.164202690124512,0.32628875970840454,0.07603536546230316
630,22560,52.46,760,96.66118,35,-6.8199567794799805,627,0.004832930238571752,-7.232463359832764,0.6577215790748596,0.06905292719602585
637,23420,55.61,770,105.653244,36,-7.02830171585083,670,0.004832930238571752,-5.780036449432373,1.0496110916137695,0.061763253062963486
641,24260,58.91,780,115.20553,37,-7.522723197937012,712,0.004832930238571752,-4.271880149841309,0.8321719169616699,0.05573808401823044
646,24800,62.76,790,124.76703,38,-8.086732864379883,739,0.004832930238571752,-5.997528076171875,0.2263827919960022,0.05261186137795448
652,25900,66.55,800,134.77301,39,-8.462194442749023,794,0.004832930238571752,-3.5283660888671875,0.7259041666984558,0.04742838442325592
654,26340,69.65,810,142.76996,40,-8.399848937988281,816,0.004832930238571752,-4.833111763000488,1.1879065036773682,0.04565831273794174
661,27480,73.41,820,151.94614,41,-9.008393287658691,873,0.004832930238571752,-5.667159557342529,0.8182312846183777,0.041129760444164276
661,27960,78.17,830,162.85432,42,-9.439031600952148,897,0.004832930238571752,-6.806404113769531,0.6105591058731079,0.039437469094991684
661,29160,78.75,840,166.41275,44,-10.227059364318848,957,0.004832930238571752,-5.904335975646973,0.6657033562660217,0.03527543321251869
662,29420,79.09,850,166.4446,44,-10.069429397583008,970,0.004832930238571752,-2.422506809234619,0.7847837209701538,0.034765344113111496
562,30200,79.12,860,165.27122,53,-10.39695930480957,1009,0.004832930238571752,2.482539176940918,0.39984190464019775,0.03282336890697479
569,31060,78.63,870,163.19177,54,-11.060025215148926,1052,0.004832930238571752,1.0635638236999512,0.5162225365638733,0.031112007796764374
