rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/actor_loss
21.46,9620,17.510595,2,4343,430,,,,,,
22.34,9840,18.411684,2,4313,440,,,,,,
22.49,10060,18.686256,2,4167,450,2,7.587058067321777,0.00012742749857031334,0.999872624874115,-0.0006306534050963819,-2.132580280303955
22.46,10300,18.452686,2,3773,460,14,5.9175519943237305,0.00012742749857031334,0.9983430504798889,-0.008384490385651588,-2.6393537521362305
22.55,10520,18.676939,3,3501,470,25,4.345624923706055,0.00012742749857031334,0.996940553188324,-0.015486586838960648,-3.006746292114258
22.3,10720,18.05898,3,3314,480,35,3.094654083251953,0.00012742749857031334,0.9956672191619873,-0.021820370107889175,-3.4542415142059326
22.42,11020,18.59068,3,2877,490,50,2.001577377319336,0.00012742749857031334,0.9937589168548584,-0.031640708446502686,-4.093377113342285
23.86,11180,20.779175,4,2600,500,58,1.9136712551116943,0.00012742749857031334,0.9927428960800171,-0.036575935781002045,-4.332208633422852
23.52,11440,20.47551,4,2349,510,71,1.8386356830596924,0.00012742749857031334,0.9910948276519775,-0.04502730444073677,-4.594514846801758
23.39,11640,20.147032,5,2228,520,81,1.2017724514007568,0.00012742749857031334,0.9898298382759094,-0.05157256871461868,-4.781424522399902
23.05,11860,20.30044,5,2118,530,92,1.3387439250946045,0.00012742749857031334,0.9884408712387085,-0.05868857353925705,-4.847504615783691
22.36,12020,19.643896,5,2062,540,100,1.4482567310333252,0.00012742749857031334,0.9874330163002014,-0.06366602331399918,-4.8960371017456055
21.81,12320,18.864529,6,1957,550,115,1.433156132698059,0.00012742749857031334,0.9855443835258484,-0.07339277863502502,-5.050647258758545
23.03,12500,20.523731,6,1913,560,124,1.20717453956604,0.00012742749857031334,0.984412670135498,-0.07960253953933716,-5.151267051696777
22.74,12720,20.120857,6,1870,570,135,0.9803121089935303,0.00012742749857031334,0.9830318689346313,-0.08632142841815948,-5.2940449714660645
22.18,12940,18.880136,7,1832,580,146,1.2861272096633911,0.00012742749857031334,0.9816526770591736,-0.09350273013114929,-5.436016082763672
22.93,13180,20.331736,7,1792,590,158,1.009714126586914,0.00012742749857031334,0.9801498651504517,-0.1012929156422615,-5.495794773101807
21.55,13380,18.419422,7,1759,600,168,0.8797433376312256,0.00012742749857031334,0.9788997769355774,-0.10772083699703217,-5.663321495056152
22.31,13640,19.03991,7,1724,610,181,0.848198652267456,0.00012742749857031334,0.9772773385047913,-0.11616839468479156,-5.697722434997559
22.68,13880,19.982922,8,1690,620,193,0.8455181121826172,0.00012742749857031334,0.9757816791534424,-0.12369689345359802,-5.866148948669434
22.54,14060,19.432175,8,1661,630,202,1.125434398651123,0.00012742749857031334,0.9746617078781128,-0.1290498673915863,-6.034228324890137
22.84,14260,19.26939,8,1616,640,212,0.9227033853530884,0.00012742749857031334,0.9734194278717041,-0.13651996850967407,-6.062444686889648
22.61,14460,19.272177,9,1599,650,222,1.1006510257720947,0.00012742749857031334,0.9721788763999939,-0.14223448932170868,-6.08663272857666
21.65,14660,17.866032,9,1580,660,232,0.600181519985199,0.00012742749857031334,0.9709396362304688,-0.14899340271949768,-6.296272277832031
22.18,14920,18.666822,9,1556,670,245,0.7834067344665527,0.00012742749857031334,0.9693318009376526,-0.15625667572021484,-6.271892547607422
22.03,15200,18.71629,9,1529,680,259,0.9685338735580444,0.00012742749857031334,0.9676041007041931,-0.16571302711963654,-6.480360984802246
21.84,15440,18.400715,10,1512,690,271,0.8227993845939636,0.00012742749857031334,0.9661242961883545,-0.17304329574108124,-6.515168190002441
22.16,15600,18.811388,10,1499,700,279,0.7617096304893494,0.00012742749857031334,0.9651395678520203,-0.18051131069660187,-6.657208442687988
22.61,15860,20.253008,10,1479,710,292,1.1519086360931396,0.00012742749857031334,0.9635422229766846,-0.18718880414962769,-6.672612190246582
22.05,16120,19.527414,11,1454,720,305,1.2593612670898438,0.00012742749857031334,0.9619479775428772,-0.19542229175567627,-6.86679744720459
21.42,16320,19.13175,11,1438,730,315,0.8350235819816589,0.00012742749857031334,0.9607232809066772,-0.20261287689208984,-7.0367279052734375
21.81,16500,20.674942,11,1428,740,324,0.8360357880592346,0.00012742749857031334,0.9596227407455444,-0.20771600306034088,-7.016195297241211
22.18,16800,21.624239,11,1412,750,339,1.5085445642471313,0.00012742749857031334,0.9577926993370056,-0.21563443541526794,-7.311641693115234
22.51,17000,21.855757,12,1400,760,349,1.0192463397979736,0.00012742749857031334,0.9565746784210205,-0.22404934465885162,-7.207439422607422
22.56,17360,22.138447,12,1380,770,367,1.1541775465011597,0.00012742749857031334,0.9543869495391846,-0.23508498072624207,-7.578792572021484
23.77,17600,24.554937,12,1373,780,379,0.8691921234130859,0.00012742749857031334,0.952930748462677,-0.24288539588451385,-7.692042350769043
23.3,17840,23.415695,13,1362,790,391,1.123605489730835,0.00012742749857031334,0.9514774680137634,-0.25054579973220825,-7.721384525299072
24.57,18240,25.24271,13,1341,800,411,0.9108377695083618,0.00012742749857031334,0.949061930179596,-0.26280125975608826,-7.90593957901001
25.45,18480,26.46614,13,1335,810,423,0.6349784135818481,0.00012742749857031334,0.9476147294044495,-0.26994436979293823,-8.111248016357422
25.73,18740,26.444948,14,1329,820,436,1.04754638671875,0.00012742749857031334,0.9460528492927551,-0.2783178687095642,-8.245662689208984
26.32,19020,27.500883,14,1316,830,450,0.9578456282615662,0.00012742749857031334,0.9443768262863159,-0.2867773175239563,-8.303206443786621
26.96,19200,27.956316,14,1304,840,459,0.9921119213104248,0.00012742749857031334,0.9432989954948425,-0.29292231798171997,-8.619009017944336
27.91,19560,28.718788,15,1295,850,477,0.7725645303726196,0.00012742749857031334,0.941149115562439,-0.3057674467563629,-8.689270973205566
28.88,19840,30.75912,15,1290,860,491,1.0895739793777466,0.00012742749857031334,0.9394832253456116,-0.3104954659938812,-8.833127975463867
28.66,20080,29.968056,15,1283,870,503,1.732372760772705,0.00012742749857031334,0.9380576610565186,-0.31898874044418335,-8.758953094482422
28.22,20360,28.19194,15,1278,880,517,1.350061297416687,0.00012742749857031334,0.936397135257721,-0.33013641834259033,-9.060139656066895
28.46,20600,28.41687,16,1271,890,529,0.8515877723693848,0.00012742749857031334,0.9349767565727234,-0.33228978514671326,-9.410812377929688
27.58,20980,27.06575,16,1262,900,548,1.126619577407837,0.00012742749857031334,0.9327343106269836,-0.34799399971961975,-9.374617576599121
28.03,21300,27.55951,16,1255,910,564,1.8105775117874146,0.00012742749857031334,0.9308515191078186,-0.3537043631076813,-9.40819263458252
29.3,21600,29.492659,17,1247,920,579,1.9010802507400513,0.00012742749857031334,0.9290926456451416,-0.3657461404800415,-9.583956718444824
29.21,21880,28.686792,17,1240,930,593,1.3011250495910645,0.00012742749857031334,0.927455484867096,-0.36766916513442993,-9.802305221557617
28.97,22360,28.220144,18,1225,940,617,2.150024890899658,0.00012742749857031334,0.9246530532836914,-0.391997754573822,-9.77981948852539
29.94,22700,29.640127,18,1213,950,634,1.817640781402588,0.00012742749857031334,0.922672688961029,-0.3937472701072693,-10.018107414245605
30.09,23040,29.489784,19,1206,960,651,1.627450942993164,0.00012742749857031334,0.9207034707069397,-0.4096009433269501,-10.128650665283203
32.19,23440,33.26868,19,1195,970,671,1.1788108348846436,0.00012742749857031334,0.9183879494667053,-0.42261195182800293,-10.57108211517334
33.08,23840,34.53838,20,1190,980,691,0.9990657567977905,0.00012742749857031334,0.9160822033882141,-0.4284285306930542,-10.54473876953125
33.95,24180,35.44181,20,1183,990,708,2.113369941711426,0.00012742749857031334,0.914126992225647,-0.4389585256576538,-11.125092506408691
