rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/actor_loss
27.46,20600,27.4754,40,511,900,529,1.2001001834869385,0.00012742749857031334,0.934981107711792,-0.3333461582660675,-8.95944595336914
27.35,20960,27.834028,40,515,910,547,2.044499635696411,0.00012742749857031334,0.9328538179397583,-0.34668686985969543,-9.223827362060547
28.7,21340,29.505596,41,520,920,566,1.7665340900421143,0.00012742749857031334,0.9306182861328125,-0.35452020168304443,-9.5566987991333
29.6,21700,31.938574,41,524,930,584,1.9841082096099854,0.00012742749857031334,0.9285090565681458,-0.3648991882801056,-9.974947929382324
29.83,21960,32.3051,41,526,940,597,2.2506508827209473,0.00012742749857031334,0.926992654800415,-0.3764016330242157,-9.460021018981934
30.56,22300,32.96526,42,529,950,614,0.9110383987426758,0.00012742749857031334,0.9250108599662781,-0.3910509943962097,-9.862876892089844
31.09,22600,33.194443,42,533,960,629,1.2567365169525146,0.00012742749857031334,0.9232643246650696,-0.39613211154937744,-9.8403959274292
30.17,22980,31.441832,42,535,970,648,2.0177111625671387,0.00012742749857031334,0.9210607409477234,-0.405524879693985,-10.234259605407715
31.09,23300,32.258636,43,539,980,664,1.1993603706359863,0.00012742749857031334,0.919204592704773,-0.4180384874343872,-10.596776962280273
32.27,23720,34.7534,43,542,990,685,1.6531410217285156,0.00012742749857031334,0.9167799353599548,-0.4264676570892334,-10.50474739074707
34.02,24080,38.062828,44,545,1000,703,2.40574312210083,0.00012742749857031334,0.9147133827209473,-0.43968290090560913,-10.939403533935547
35.23,24420,39.168236,44,546,1010,720,1.1839475631713867,0.00012742749857031334,0.9127650856971741,-0.4509364664554596,-11.118148803710938
34.62,24900,38.046444,45,549,1020,744,0.8485708236694336,0.00012742749857031334,0.9100292921066284,-0.46078434586524963,-11.375396728515625
35.43,25280,38.599274,45,552,1030,763,1.613696813583374,0.00012742749857031334,0.9078668355941772,-0.47076883912086487,-11.470081329345703
35.33,25680,38.732872,46,555,1040,783,1.647507667541504,0.00012742749857031334,0.905605137348175,-0.4880136251449585,-11.722845077514648
