time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,train/n_updates,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/learning_rate
2565,9413,21.18,3,430,16.999292540000003,,,,,,
2561,9598,20.54,3,440,15.97020058,,,,,,
2569,9827,20.7,3,450,16.497344369999997,,,,,,
1991,10062,21.34,5,460,16.95516259,0.2551221549510956,61,0.7471856474876404,-4.445598602294922,-1.4751076698303223,0.004832930238571752
942,10406,22.94,11,470,20.489044720000003,0.25404828786849976,405,0.14880241453647614,-4.182933807373047,-8.405380249023438,0.004832930238571752
583,10831,25.17,18,480,26.79873465,0.27366703748703003,830,0.048387423157691956,-6.857782363891602,-2.589198589324951,0.004832930238571752
370,11567,29.62,31,490,38.091404510000004,0.9721802473068237,1566,0.043692685663700104,-12.56081771850586,0.6661345958709717,0.004832930238571752
262,12488,36.69,47,500,55.1631451,2.595506191253662,2487,0.0484953410923481,-20.725383758544922,-0.2182297706604004,0.004832930238571752
207,13412,43.91,64,510,72.3367966,2.568751811981201,3411,0.05357182398438454,-29.118316650390625,1.8311634063720703,0.004832930238571752
173,14418,52.19,82,520,91.39696555,3.3886187076568604,4417,0.05209288373589516,-36.337608337402344,0.20456087589263916,0.004832930238571752
151,15395,59.82,101,530,109.85832396000002,2.2070512771606445,5394,0.049696192145347595,-44.256046295166016,-0.7710882425308228,0.004832930238571752
137,16325,67.27,118,540,128.03171043999998,4.653223037719727,6324,0.047239065170288086,-50.154808044433594,-1.0194345712661743,0.004832930238571752
126,17166,73.39,135,550,143.38949966,7.115474224090576,7165,0.06095891073346138,-55.70078659057617,-1.3342100381851196,0.004832930238571752
119,18032,79.7,150,560,159.19211120999998,6.050780296325684,8031,0.06312742829322815,-60.91201400756836,-0.15801310539245605,0.004832930238571752
113,18862,84.56,165,570,170.68883416000006,5.23253870010376,8861,0.06876996904611588,-65.27442169189453,-1.4800796508789062,0.004832930238571752
109,19693,88.62,180,580,179.79459859999994,11.51361083984375,9692,0.05118010193109512,-68.10971069335938,0.08344869315624237,0.004832930238571752
104,20610,90.43,197,590,185.39094789000004,10.877239227294922,10609,0.053208962082862854,-76.64120483398438,0.7972341775894165,0.004832930238571752
100,21475,89.87,212,600,187.21515355999998,5.506108283996582,11474,0.05972481518983841,-76.92996978759766,0.7103842496871948,0.004832930238571752
97,22598,91.86,232,610,196.90458173,8.845566749572754,12597,0.05709021911025047,-82.26155090332031,-0.973634660243988,0.004832930238571752
93,23712,92.94,252,620,204.57414466999998,7.999904632568359,13711,0.0643305853009224,-88.27810668945312,-1.023633599281311,0.004832930238571752
91,24648,92.53,268,630,206.95774959999994,6.230016708374023,14647,0.06854270398616791,-92.69125366210938,0.6785221099853516,0.004832930238571752
89,25775,94.5,288,640,214.80862301000002,7.652151107788086,15774,0.07549677044153214,-99.26516723632812,0.6131085753440857,0.004832930238571752
86,27131,99.65,313,650,231.03145980000002,9.944561004638672,17130,0.06531371176242828,-100.90110778808594,1.9361112117767334,0.004832930238571752
84,28569,105.37,339,660,246.83221317000005,56.580322265625,18568,0.091750368475914,-108.14689636230469,-0.7906720042228699,0.004832930238571752
82,29781,109.19,359,670,259.04760125999996,30.593608856201172,19780,0.08543749153614044,-110.26847076416016,0.5241032838821411,0.004832930238571752
82,30818,111.25,374,680,268.17413218,15.397859573364258,20817,0.09203013777732849,-118.35894775390625,1.2127997875213623,0.004832930238571752
81,32092,114.82,392,690,285.04934355999995,9.136598587036133,22091,0.08299963921308517,-119.3748779296875,1.1193289756774902,0.004832930238571752
81,33473,119.98,412,700,305.04793809,22.31606674194336,23472,0.07502289116382599,-124.33680725097656,-0.12899699807167053,0.004832930238571752
80,34738,121.4,430,710,312.4885461,18.834583282470703,24737,0.07940489798784256,-128.2471923828125,-0.9198629856109619,0.004832930238571752
80,35805,120.93,445,720,313.32517415000007,11.067327499389648,25804,0.11929832398891449,-129.01361083984375,-0.2824234366416931,0.004832930238571752
80,37362,127.14,466,730,334.49411440000006,40.281986236572266,27361,0.10554102063179016,-136.19754028320312,-0.6392245292663574,0.004832930238571752
79,38820,130.45,487,740,347.72263551000003,34.92921447753906,28819,0.10336628556251526,-134.43521118164062,0.0043048858642578125,0.004832930238571752
79,40291,131.6,508,750,358.60025927000004,23.688554763793945,30290,0.08479872345924377,-141.96559143066406,0.8767904043197632,0.004832930238571752
78,41747,131.78,529,760,368.70358164000004,19.31309700012207,31746,0.07628704607486725,-141.12911987304688,1.3202605247497559,0.004832930238571752
78,43518,137.37,554,770,396.26714413999997,6.363104820251465,33517,0.1068720892071724,-143.6442413330078,-0.1486525684595108,0.004832930238571752
78,45427,146.09,578,780,430.0098025,30.3138427734375,35426,0.10157448053359985,-152.05963134765625,0.13233765959739685,0.004832930238571752
78,47768,156.76,605,790,469.44842466999995,11.478354454040527,37767,0.09796804189682007,-159.23342895507812,1.0847094058990479,0.004832930238571752
