time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,train/n_updates,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/learning_rate
61,15612,61.43,253,530,114.11817807,6.352508544921875,5611,0.07530506700277328,-55.270694732666016,-0.2158782184123993,0.004832930238571752
61,16371,67.3,268,540,125.55450783,8.261682510375977,6370,0.10436267405748367,-69.95386505126953,0.223568856716156,0.004832930238571752
56,17386,75.44,305,550,141.29195509000002,11.660562515258789,7385,0.12212719768285751,-81.79869079589844,-0.20963270962238312,0.004832930238571752
50,18871,88.18,376,560,168.24482649,12.23096752166748,8870,0.13659843802452087,-101.25909423828125,-0.9952974915504456,0.004832930238571752
46,20135,97.83,435,570,192.52210735999998,23.927047729492188,10134,0.14411108195781708,-118.66702270507812,-1.1297693252563477,0.004832930238571752
44,21311,104.99,473,580,209.58348488999997,40.28327941894531,11310,0.1328137367963791,-126.4463882446289,0.5866208076477051,0.004832930238571752
44,22317,106.66,506,590,214.34851574,32.114376068115234,12316,0.1433718502521515,-140.7991485595703,-0.21936213970184326,0.004832930238571752
43,23194,106.33,536,600,213.73663964000002,41.055233001708984,13193,0.13590940833091736,-146.67593383789062,0.056196048855781555,0.004832930238571752
42,24059,106.21,567,610,214.18744892000007,72.92306518554688,14058,0.12948296964168549,-153.23123168945312,0.5702340006828308,0.004832930238571752
42,24994,105.47,589,620,213.00598169999995,16.674846649169922,14993,0.11968795210123062,-155.61996459960938,0.2744094729423523,0.004832930238571752
41,26161,105.49,637,630,219.55153208000004,33.85367965698242,16160,0.14140133559703827,-164.9073486328125,0.25113460421562195,0.004832930238571752
39,27587,112.16,697,640,239.41270416,33.88379669189453,17586,0.10921527445316315,-172.12701416015625,1.5196304321289062,0.004832930238571752
39,28689,113.03,733,650,247.17504911000003,27.3317928314209,18688,0.11085594445466995,-169.71011352539062,-0.3047298491001129,0.004832930238571752
38,29789,109.18,770,660,244.06392988,28.766414642333984,19788,0.1595672070980072,-170.61041259765625,-0.9259289503097534,0.004832930238571752
37,31020,108.85,825,670,244.11064858999998,62.70777130126953,21019,0.1180356815457344,-176.62753295898438,-1.0004842281341553,0.004832930238571752
37,32228,109.17,867,680,247.48281196,33.49128723144531,22227,0.12104720622301102,-175.30435180664062,0.4363560080528259,0.004832930238571752
36,33593,112.76,925,690,261.38775311999996,12.533720016479492,23592,0.12019817531108856,-167.00076293945312,0.17957797646522522,0.004832930238571752
36,34930,117.36,970,700,279.11580864,15.679818153381348,24929,0.08654024451971054,-173.71044921875,-1.9365078210830688,0.004832930238571752
35,36136,120.77,1020,710,293.64355355,25.393985748291016,26135,0.09349747002124786,-167.58724975585938,-0.8705143928527832,0.004832930238571752
35,37299,123.05,1058,720,305.10804845,47.25224304199219,27298,0.11131442338228226,-162.58779907226562,1.188632845878601,0.004832930238571752
35,37703,115.42,1072,730,284.16435935000004,34.19237518310547,27702,0.14422594010829926,-168.69683837890625,-0.8942318558692932,0.004832930238571752
35,37936,103.49,1075,740,251.61389848,43.2612419128418,27935,0.13492801785469055,-178.40655517578125,1.583116054534912,0.004832930238571752
35,38281,95.92,1084,750,226.85115819000004,30.221084594726562,28280,0.14051654934883118,-164.96714782714844,0.17183640599250793,0.004832930238571752
35,38617,88.28,1093,760,202.00426799000002,184.8455352783203,28616,0.1658509075641632,-179.4591522216797,0.7979845404624939,0.004832930238571752
35,38979,79.59,1098,770,175.07392389999998,38.298622131347656,28978,0.1432078629732132,-180.50372314453125,1.205442190170288,0.004832930238571752
35,39400,71.72,1110,780,147.14393572,59.933921813964844,29399,0.15072263777256012,-182.57150268554688,-0.8433950543403625,0.004832930238571752
30,42135,85.42,1373,790,136.04173676,24.761207580566406,32134,0.11860749125480652,-192.2573699951172,0.010320127010345459,0.004832930238571752
25,47135,122.05,1877,800,149.07199916999997,36.48528289794922,37134,0.10344412177801132,-167.62074279785156,-0.7193714380264282,0.004832930238571752
24,49343,132.07,2009,810,150.46294318,27.628368377685547,39342,0.09498193860054016,-176.10064697265625,-0.7062746286392212,0.004832930238571752
