rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/n_updates,train/actor_loss
59.61,15676,158,98,116.55242456000002,530,0.00615848211066026,2.1513121128082275,1.75777268409729,0.03552614152431488,5675,-48.2701416015625
68.44,16718,144,116,137.3421824,540,0.00615848211066026,13.527875900268555,1.5809788703918457,0.038150351494550705,6717,-55.21855163574219
78.3,17882,132,134,163.22107126,550,0.00615848211066026,7.851178169250488,1.7983453273773193,0.06002764403820038,7881,-64.57876586914062
87.26,19198,122,156,189.99993228,560,0.00615848211066026,12.667272567749023,-2.8833727836608887,0.050024159252643585,9197,-78.48338317871094
97.06,20432,114,178,214.13018404,570,0.00615848211066026,11.947515487670898,-1.1496286392211914,0.0708228275179863,10431,-85.96725463867188
101.99,21392,109,195,227.35246164999998,580,0.00615848211066026,22.536907196044922,3.80906343460083,0.0545550212264061,11391,-87.7435302734375
104.47,22580,103,218,237.86480869000002,590,0.00615848211066026,82.3750228881836,-0.5336755514144897,0.07865963131189346,12579,-97.13845825195312
107.53,23774,98,240,250.75741020999993,600,0.00615848211066026,9.487014770507812,0.7903329133987427,0.07113301008939743,13773,-103.05485534667969
117.22,25087,94,265,281.66150302,610,0.00615848211066026,12.92764663696289,-0.5313205122947693,0.08070564270019531,15086,-108.92555236816406
116.56,25931,91,282,283.15959842999996,620,0.00615848211066026,17.208492279052734,-0.4375227987766266,0.12775182723999023,15930,-115.69548034667969
104.65,26141,91,286,253.17738147,630,0.00615848211066026,36.955963134765625,0.4868803918361664,0.12175637483596802,16140,-119.74232482910156
96.51,26369,90,291,231.37352087,640,0.00615848211066026,9.949379920959473,-0.6687192916870117,0.11862864345312119,16368,-122.850341796875
87.64,26646,89,296,204.49687348999998,650,0.00615848211066026,15.503552436828613,0.12905749678611755,0.1333160400390625,16645,-124.53189849853516
78.08,27006,89,302,173.72699187999999,660,0.00615848211066026,23.4320068359375,0.4088565409183502,0.10046935081481934,17005,-124.13523864746094
77.65,28197,86,324,154.6534052,670,0.00615848211066026,15.367372512817383,0.1691855937242508,0.08525367081165314,18196,-131.96163940429688
82.65,29657,84,350,165.42122778,680,0.00615848211066026,114.31907653808594,-0.644442081451416,0.09644248336553574,19656,-134.76217651367188
81.38,30718,83,369,156.28446902999997,690,0.00615848211066026,16.203943252563477,-0.8552711009979248,0.07144016772508621,20717,-142.21141052246094
84.25,32199,81,395,158.47222845000002,700,0.00615848211066026,14.511955261230469,0.21350808441638947,0.08108752965927124,22198,-138.02444458007812
88.57,33944,79,426,171.58744547999999,710,0.00615848211066026,30.741235733032227,1.1046282052993774,0.08154687285423279,23943,-138.115234375
98.22,35753,77,459,196.32392520000005,720,0.00615848211066026,21.847328186035156,-1.035642147064209,0.0801897719502449,25752,-146.20309448242188
113.2,37461,76,489,240.60362219999996,730,0.00615848211066026,20.428726196289062,1.2512043714523315,0.08479835838079453,27460,-149.46217346191406
130.92,39461,75,520,295.62413295999994,740,0.00615848211066026,24.184410095214844,0.12594550848007202,0.0867052972316742,29460,-147.8981475830078
149.69,41615,75,550,358.3252692199999,750,0.00615848211066026,17.14794158935547,0.3630054295063019,0.0662427470088005,31614,-154.39256286621094
165.74,43580,75,580,418.2560266299999,760,0.00615848211066026,43.53839874267578,0.437363862991333,0.05280223861336708,33579,-151.3875732421875
171.08,45305,74,604,457.25276456,770,0.00615848211066026,42.71607208251953,-0.13127624988555908,0.09652066230773926,35304,-148.2525177001953
176.97,47354,74,632,483.22650283999997,780,0.00615848211066026,19.068084716796875,-0.7450548410415649,0.09553598612546921,37353,-154.64749145507812
189.94,49712,74,665,537.23715424,790,0.00615848211066026,32.251739501953125,0.6936752796173096,0.08948597311973572,39711,-152.7313690185547
