time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/critic_loss,train/ent_coef,train/n_updates
1052,1070,85.89,45540,43,173.43884579000004,-2.624526023864746,0.004641588833612777,-17.221099853515625,0.9425792694091797,0.022096816450357437,1776
1048,1080,85.67,46180,44,173.9132043,-0.1653866171836853,0.004641588833612777,-16.994861602783203,1.1831364631652832,0.021798307076096535,1808
1045,1090,84.11,46900,44,170.47237464999995,-1.393525242805481,0.004641588833612777,-17.36334228515625,1.774970293045044,0.02215186133980751,1844
1042,1100,81.81,47600,45,164.90909293,0.5726029276847839,0.004641588833612777,-17.869844436645508,5.470787048339844,0.022470762953162193,1879
1039,1110,80.53,48260,46,161.68857114,-2.7134485244750977,0.004641588833612777,-18.135814666748047,0.8862050175666809,0.023302527144551277,1912
1036,1120,78.82,49040,47,157.23284006000003,0.9910873770713806,0.004641588833612777,-18.469812393188477,1.1227563619613647,0.022914471104741096,1951
1035,1130,78.45,49760,48,156.20057186,1.0559747219085693,0.004641588833612777,-18.879756927490234,1.57993745803833,0.023073265329003334,1987
1025,1140,76.76,50540,49,151.44033133000002,8.625276565551758,0.004641588833612777,-18.312824249267578,3.790348529815674,0.02347879856824875,2026
1019,1150,76.64,51360,50,150.70299613,-1.4245631694793701,0.004641588833612777,-18.912952423095703,1.7251482009887695,0.024898527190089226,2067
1017,1160,75.71,51920,51,149.57283786999997,-0.4622330665588379,0.004641588833612777,-19.401479721069336,1.1054737567901611,0.025771737098693848,2095
1014,1170,73.83,52880,52,144.73014327,0.6117871999740601,0.004641588833612777,-20.316783905029297,0.8701221942901611,0.025578320026397705,2143
1013,1180,71.22,53260,52,137.14482374,-2.9455130100250244,0.004641588833612777,-20.20880889892578,1.4645487070083618,0.02596469782292843,2162
1006,1190,71.54,54560,54,137.43597927000002,-2.3097984790802,0.004641588833612777,-20.99066734313965,6.438047409057617,0.025249358266592026,2227
1005,1200,72.46,54820,54,139.41308582000002,1.7246966361999512,0.004641588833612777,-20.72621726989746,6.987561225891113,0.02495257556438446,2240
1000,1210,75.86,56400,56,149.10768575,0.8821391463279724,0.004641588833612777,-22.038110733032227,2.3688302040100098,0.02567352168262005,2319
998,1220,78.21,56800,56,156.22880507,1.9912216663360596,0.004641588833612777,-22.107616424560547,2.426866054534912,0.026126736775040627,2339
