rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/n_updates
22.326203,49,10202,24.41,205,460,-5.970311164855957,0.4566740393638611,-0.2665776014328003,0.9485178589820862,0.00026366508987303583,201
23.183640779999998,68,10633,25.63,155,470,-9.630908966064453,1.4220376014709473,-0.8146926760673523,0.8472105264663696,0.00026366508987303583,632
28.17719174,78,11029,27.25,140,480,-13.058424949645996,0.8388469219207764,-1.2587777376174927,0.7653799653053284,0.00026366508987303583,1028
35.25907951,89,11587,30.73,129,490,-18.32166290283203,1.9394645690917969,-1.869303584098816,0.6662857532501221,0.00026366508987303583,1586
46.51731799,107,12276,34.6,113,500,-24.384531021118164,6.415013313293457,-2.046004056930542,0.5658546090126038,0.00026366508987303583,2275
62.749836990000006,138,13167,40.86,94,510,-33.519386291503906,7.26690149307251,-2.4304885864257812,0.46485549211502075,0.00026366508987303583,3166
80.97390270000001,170,14088,48.17,82,520,-45.560638427734375,12.970592498779297,-2.502286911010742,0.38105064630508423,0.00026366508987303583,4087
100.26680569000001,204,15041,55.82,73,530,-56.26721954345703,24.375659942626953,-2.6551733016967773,0.31180253624916077,0.00026366508987303583,5040
120.47035536,238,16071,62.99,67,540,-66.28890991210938,15.40284538269043,-1.8581478595733643,0.2515125572681427,0.00026366508987303583,6070
142.56026536,273,17075,70.74,62,550,-74.5191421508789,32.038414001464844,-1.8473260402679443,0.20474489033222198,0.00026366508987303583,7074
165.03804471000004,307,18102,79.0,58,560,-85.77685546875,18.85537338256836,-1.7072557210922241,0.17180220782756805,0.00026366508987303583,8101
186.59572371000002,347,19220,85.87,55,570,-97.92442321777344,51.19000244140625,-0.48189324140548706,0.1521453559398651,0.00026366508987303583,9219
208.90104882000003,389,20463,94.34,52,580,-106.34962463378906,24.936086654663086,0.02582399547100067,0.1380065530538559,0.00026366508987303583,10462
228.51429899000001,440,21668,100.81,49,590,-111.25459289550781,36.02481460571289,-0.5705797672271729,0.12347748130559921,0.00026366508987303583,11667
235.75199436000003,473,22615,103.39,47,600,-121.6083755493164,50.31206512451172,1.4087499380111694,0.11279231309890747,0.00026366508987303583,12614
239.22605951999998,507,23587,104.2,46,610,-122.09965515136719,44.456275939941406,-0.5129000544548035,0.10678265988826752,0.00026366508987303583,13586
242.43981215,542,24566,104.78,45,620,-125.99815368652344,56.19578552246094,-0.1321927011013031,0.10926122218370438,0.00026366508987303583,14565
245.74101076,576,25602,105.61,44,630,-131.34291076660156,35.86241912841797,-0.4143477976322174,0.10982926934957504,0.00026366508987303583,15601
248.05906692000005,615,26722,106.51,43,640,-134.83572387695312,45.00135803222656,1.2320363521575928,0.11208793520927429,0.00026366508987303583,16721
251.34741305,652,27900,108.25,42,650,-129.05032348632812,43.57655715942383,-0.20699772238731384,0.1074332520365715,0.00026366508987303583,17899
254.22991862000006,698,29127,110.25,41,660,-137.13201904296875,26.255062103271484,0.20463356375694275,0.10057435184717178,0.00026366508987303583,19126
254.44502591999998,735,30253,110.33,41,670,-132.77896118164062,31.799617767333984,0.1040983498096466,0.0949506014585495,0.00026366508987303583,20252
250.25509863,767,31280,108.17,40,680,-130.2860107421875,64.81550598144531,-0.7984630465507507,0.09696271270513535,0.00026366508987303583,21279
248.46374244999998,802,32385,107.17,40,690,-142.5814971923828,63.944480895996094,-0.14362432062625885,0.09432563930749893,0.00026366508987303583,22384
252.56388700999997,837,33481,108.66,39,700,-133.8304443359375,29.206016540527344,0.1020473763346672,0.09156365692615509,0.00026366508987303583,23480
259.76418051,888,34759,111.72,39,710,-135.648193359375,24.253604888916016,-0.22948291897773743,0.08949331194162369,0.00026366508987303583,24758
267.62698737000005,942,36067,115.01,38,720,-139.47048950195312,24.04913330078125,-0.9121313691139221,0.0863046944141388,0.00026366508987303583,26066
276.37707594,983,37428,118.26,38,730,-135.77992248535156,21.402359008789062,-0.541379451751709,0.08001092821359634,0.00026366508987303583,27427
284.43892809,1037,38729,120.07,37,740,-135.03054809570312,17.183395385742188,-0.32503727078437805,0.07868336141109467,0.00026366508987303583,28728
292.80645518,1095,40069,121.69,36,750,-134.6737060546875,46.25061798095703,-0.6093599796295166,0.07868874073028564,0.00026366508987303583,30068
304.11254699999995,1141,41491,123.64,36,760,-137.89166259765625,25.611324310302734,-0.7604795694351196,0.08220356702804565,0.00026366508987303583,31490
312.58048032,1200,42909,126.56,35,770,-134.12640380859375,63.91098403930664,0.4575844407081604,0.09366744011640549,0.00026366508987303583,32908
319.97413273,1256,44248,129.68,35,780,-129.0885772705078,12.953141212463379,-0.0583806186914444,0.09366583824157715,0.00026366508987303583,34247
324.5786545899999,1309,45510,131.25,34,790,-134.2247314453125,23.83353042602539,1.017551302909851,0.09064510464668274,0.00026366508987303583,35509
329.9358313100001,1351,46791,133.1,34,800,-139.4354248046875,17.660213470458984,-1.0369793176651,0.08426901698112488,0.00026366508987303583,36790
341.78765006000003,1415,48278,135.19,34,810,-138.25733947753906,11.533425331115723,-0.17988425493240356,0.08291352540254593,0.00026366508987303583,38277
353.8989295300001,1471,49785,137.18,33,820,-136.63185119628906,28.99089241027832,1.0226784944534302,0.08461365848779678,0.00026366508987303583,39784
