rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/actor_loss
299.43999635999995,977,281,275380,3410,114.74,13268,24.390533447265625,0.07299461215734482,0.03593813663804626,1.5545412302017212,-85.76995849609375
293.04579441000004,976,283,277340,3420,112.9,13366,16.079605102539062,0.12131141871213913,0.03593813663804626,0.8253995180130005,-87.67045593261719
292.14905524,976,284,277820,3430,112.63,13390,45.71416091918945,0.14656053483486176,0.03593813663804626,-2.704258441925049,-88.67916107177734
291.48705587,975,286,279180,3440,111.65,13458,16.536575317382812,0.12760333716869354,0.03593813663804626,2.089879274368286,-90.92546844482422
285.90636318,975,286,279920,3450,110.36,13495,13.005308151245117,0.1085965484380722,0.03593813663804626,-0.27084627747535706,-88.31613159179688
276.81308844,974,288,280820,3460,108.02,13540,14.788003921508789,0.14994359016418457,0.03593813663804626,4.744010925292969,-89.70326232910156
276.12695984000004,973,290,282400,3470,107.53,13619,8.992856979370117,0.1589713841676712,0.03593813663804626,-1.9276587963104248,-91.01995086669922
283.24438284,972,291,283460,3480,109.97,13672,25.4105224609375,0.1855071783065796,0.03593813663804626,-0.7286730408668518,-87.32304382324219
283.7580044,971,293,285020,3490,109.77,13750,12.569611549377441,0.07736428081989288,0.03593813663804626,-1.9519219398498535,-92.59025573730469
303.12129692999997,971,294,285860,3500,115.5,13792,31.612686157226562,0.11784674227237701,0.03593813663804626,-0.29351139068603516,-92.41557312011719
308.27857643000004,970,296,287520,3510,116.86,13875,37.46129608154297,0.17283685505390167,0.03593813663804626,-1.8676414489746094,-90.61280822753906
312.56299961,970,297,288440,3520,118.19,13921,8.874099731445312,0.10144652426242828,0.03593813663804626,1.164780616760254,-90.60352325439453
313.28741116000003,969,299,290100,3530,118.16,14004,17.989212036132812,0.07899612188339233,0.03593813663804626,1.6978237628936768,-90.0030746459961
318.72197604999997,969,299,290420,3540,119.92,14020,38.60265350341797,0.09866798669099808,0.03593813663804626,-0.09791561961174011,-88.92452239990234
322.56892658,967,302,292680,3550,120.56,14133,20.55797004699707,0.10170407593250275,0.03593813663804626,-1.8478353023529053,-93.07725524902344
334.66609895,967,302,293020,3560,124.03,14150,35.75890350341797,0.0832839086651802,0.03593813663804626,-2.47908616065979,-90.19365692138672
332.2748667000001,967,305,295040,3570,123.65,14251,11.432500839233398,0.09280519932508469,0.03593813663804626,1.1230002641677856,-93.56794738769531
