rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,train/critic_loss,train/ent_coef,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss
22.35,27,18.279364,11080,396,480,1.146628975868225,0.9826521277427673,53,-0.08780426532030106,0.0003359818286283781,-4.855658054351807
22.2,28,18.614002,11280,398,490,0.9729193449020386,0.9793505668640137,63,-0.10496578365564346,0.0003359818286283781,-5.073153018951416
22.14,28,18.520504,11500,402,500,0.8804442882537842,0.9757304787635803,74,-0.12323698401451111,0.0003359818286283781,-5.120748519897461
22.47,28,18.718847,11700,405,510,0.6773905158042908,0.9724538922309875,84,-0.1408487856388092,0.0003359818286283781,-5.168757438659668
22.32,29,18.618555,11860,408,520,0.7637449502944946,0.9698408246040344,92,-0.1544628143310547,0.0003359818286283781,-5.249963760375977
21.76,29,18.045664,12080,411,530,0.6528823971748352,0.9662640690803528,103,-0.1730869710445404,0.0003359818286283781,-5.439281463623047
21.84,29,18.436058,12340,415,540,0.7137922048568726,0.9620472192764282,116,-0.19550329446792603,0.0003359818286283781,-5.530638217926025
21.78,29,18.667784,12540,419,550,0.5106441378593445,0.9588162302970886,126,-0.21288016438484192,0.0003359818286283781,-5.532314300537109
22.0,30,18.896742,12720,422,560,0.342473566532135,0.9559195041656494,135,-0.22777193784713745,0.0003359818286283781,-5.702099800109863
21.94,30,18.599531,12940,425,570,0.5506623983383179,0.9523893594741821,146,-0.2458348274230957,0.0003359818286283781,-5.766277313232422
21.05,30,17.100151,13160,428,580,0.5582448840141296,0.9488726258277893,157,-0.26284259557724,0.0003359818286283781,-5.9571428298950195
20.87,31,16.53995,13460,433,590,0.6822965145111084,0.9440999031066895,172,-0.28896743059158325,0.0003359818286283781,-5.927550792694092
20.86,31,15.956457,13720,437,600,0.6124966740608215,0.9399799704551697,185,-0.31107884645462036,0.0003359818286283781,-6.132972240447998
21.57,31,17.659657,14020,442,610,0.647032618522644,0.9352500438690186,200,-0.3369784951210022,0.0003359818286283781,-6.233530521392822
22.39,31,18.204906,14140,444,620,0.7210080623626709,0.9333663582801819,206,-0.3475591838359833,0.0003359818286283781,-6.099892616271973
22.6,32,18.200354,14480,448,630,0.6696430444717407,0.9280523061752319,223,-0.37400302290916443,0.0003359818286283781,-6.345049858093262
23.8,32,20.300653,14700,451,640,0.49240735173225403,0.9246312379837036,234,-0.39613890647888184,0.0003359818286283781,-6.506967544555664
23.81,32,20.906214,14980,455,650,0.5462820529937744,0.9203002452850342,248,-0.4167078137397766,0.0003359818286283781,-6.626864433288574
24.76,33,21.517603,15320,460,660,0.582695484161377,0.9150667190551758,265,-0.4460712671279907,0.0003359818286283781,-6.674605369567871
25.72,33,23.268686,15540,463,670,0.9912062883377075,0.9116963744163513,276,-0.46519339084625244,0.0003359818286283781,-6.826202392578125
25.81,34,23.267176,15940,468,680,0.6029270887374878,0.9056088328361511,296,-0.49476858973503113,0.0003359818286283781,-6.853481292724609
26.84,34,25.886894,16200,472,690,0.6231725215911865,0.9016700983047485,309,-0.5182979106903076,0.0003359818286283781,-7.141294956207275
27.6,34,28.097334,16380,474,700,1.0507574081420898,0.898955225944519,318,-0.5333912372589111,0.0003359818286283781,-6.928306579589844
26.57,34,27.234898,16620,477,710,0.5596616268157959,0.8953508734703064,330,-0.5535173416137695,0.0003359818286283781,-7.08682918548584
26.37,35,27.379372,17100,483,720,1.0263018608093262,0.8881918787956238,354,-0.5935311317443848,0.0003359818286283781,-7.432287693023682
27.88,35,29.75217,17420,487,730,0.7264063358306885,0.8834500908851624,370,-0.6194372177124023,0.0003359818286283781,-7.593989372253418
29.15,36,32.084713,17740,491,740,0.7693709135055542,0.8787315487861633,386,-0.6514676213264465,0.0003359818286283781,-7.691485404968262
29.85,36,32.714756,17960,494,750,0.9448248147964478,0.8755066394805908,397,-0.6578687429428101,0.0003359818286283781,-7.7923126220703125
29.03,36,32.193096,18280,497,760,0.8271410465240479,0.8708451390266418,413,-0.6886681318283081,0.0003359818286283781,-7.82224178314209
30.11,37,33.342117,18600,501,770,0.5911545157432556,0.8662000298500061,429,-0.7134718298912048,0.0003359818286283781,-8.059980392456055
30.61,37,34.705807,18880,504,780,1.2052085399627686,0.8621721267700195,443,-0.7354201674461365,0.0003359818286283781,-8.338418960571289
30.05,37,33.83207,19220,508,790,0.7387789487838745,0.8572967052459717,460,-0.7627235651016235,0.0003359818286283781,-8.342610359191895
29.98,38,31.963598,19640,512,800,0.49811121821403503,0.8513148427009583,481,-0.793846845626831,0.0003359818286283781,-8.689766883850098
32.48,38,35.877407,19900,515,810,1.3855109214782715,0.8476402759552002,494,-0.8265271186828613,0.0003359818286283781,-8.791594505310059
33.09,43,36.18484,20240,463,820,0.9103565812110901,0.8428480625152588,511,-0.857266902923584,0.0003359818286283781,-8.541648864746094
32.56,44,34.904465,20600,466,830,0.7692620754241943,0.8378097414970398,529,-0.8731716275215149,0.0003359818286283781,-9.038325309753418
32.24,44,33.883507,20900,470,840,1.2601531744003296,0.8336319923400879,544,-0.9090550541877747,0.0003359818286283781,-8.963946342468262
32.63,44,33.485798,21300,474,850,0.7832356691360474,0.8281004428863525,564,-0.9277763366699219,0.0003359818286283781,-9.388677597045898
33.5,45,33.869984,21760,479,860,0.4643077850341797,0.8217933773994446,587,-0.9665082693099976,0.0003359818286283781,-9.48249626159668
33.16,45,34.912983,22080,483,870,0.9530322551727295,0.8174384236335754,603,-1.0094472169876099,0.0003359818286283781,-9.879570960998535
34.41,46,35.38926,22600,488,880,1.5894930362701416,0.810417652130127,629,-1.0359086990356445,0.0003359818286283781,-9.507132530212402
35.78,46,37.86719,23140,493,890,1.3078263998031616,0.8032231330871582,656,-1.077645182609558,0.0003359818286283781,-10.100605010986328
38.29,47,41.359135,23460,496,900,0.6445488929748535,0.7989890575408936,672,-1.087487816810608,0.0003359818286283781,-10.040157318115234
39.5,47,44.005394,23960,501,910,0.9958706498146057,0.7924390435218811,697,-1.1260693073272705,0.0003359818286283781,-10.433401107788086
40.31,48,46.814316,24540,506,920,1.0048500299453735,0.7849196791648865,726,-1.1748219728469849,0.0003359818286283781,-10.99588394165039
41.55,48,49.133377,25040,511,930,0.674652099609375,0.7785378098487854,751,-1.2229139804840088,0.0003359818286283781,-10.993690490722656
43.9,49,51.836823,25620,516,940,2.497087001800537,0.7711750864982605,780,-1.2426669597625732,0.0003359818286283781,-11.076254844665527
46.32,50,58.19501,26160,520,950,2.289302349090576,0.7644022703170776,807,-1.2938270568847656,0.0003359818286283781,-11.542678833007812
48.48,50,63.62268,26780,526,960,1.5571753978729248,0.7567070722579956,838,-1.3509736061096191,0.0003359818286283781,-11.890810012817383
50.56,51,65.855675,27300,530,970,1.098456621170044,0.7503207325935364,864,-1.3377656936645508,0.0003359818286283781,-11.981886863708496
50.73,51,68.4355,27680,533,980,1.1324653625488281,0.7456948757171631,883,-1.3893241882324219,0.0003359818286283781,-11.991768836975098
51.52,52,70.02374,28460,539,990,1.4597747325897217,0.7363024353981018,922,-1.4389564990997314,0.0003359818286283781,-12.881917953491211
52.65,53,75.3492,28920,542,1000,2.845710039138794,0.730815589427948,945,-1.5139610767364502,0.0003359818286283781,-13.201398849487305
53.09,54,75.881,29660,547,1010,1.4230716228485107,0.7221062779426575,982,-1.5525236129760742,0.0003359818286283781,-13.433382034301758
57.9,57,85.02633,30480,529,1020,2.488327980041504,0.7125892639160156,1023,-1.6061782836914062,0.0003359818286283781,-13.750442504882812
60.17,58,90.057526,31000,533,1030,3.7319583892822266,0.7066577076911926,1049,-1.646925687789917,0.0003359818286283781,-14.243741989135742
59.72,58,93.28624,31620,538,1040,2.3844666481018066,0.6996507048606873,1080,-1.697819709777832,0.0003359818286283781,-14.568607330322266
60.01,59,94.32394,32320,542,1050,4.539779186248779,0.6917788982391357,1115,-1.6641747951507568,0.0003359818286283781,-14.96625804901123
60.99,60,96.55012,33060,546,1060,2.877948522567749,0.6836190223693848,1152,-1.783212661743164,0.0003359818286283781,-15.721317291259766
63.64,61,103.084724,34060,552,1070,6.1975908279418945,0.6727904081344604,1202,-1.8341155052185059,0.0003359818286283781,-15.81871509552002
68.38,62,113.759254,34840,556,1080,3.224458932876587,0.6644578576087952,1241,-1.8912856578826904,0.0003359818286283781,-16.162776947021484
73.51,63,126.58666,35960,563,1090,1.7037444114685059,0.6526525616645813,1297,-1.863014817237854,0.0003359818286283781,-17.136260986328125
76.51,64,134.85861,36900,569,1100,3.5303096771240234,0.6430310606956482,1344,-1.9743711948394775,0.0003359818286283781,-17.53966522216797
79.82,65,144.84293,37800,574,1110,4.795680046081543,0.6339550018310547,1389,-2.01951265335083,0.0003359818286283781,-17.695266723632812
81.12,66,151.3914,38480,578,1120,2.2144999504089355,0.6272199749946594,1423,-2.083784818649292,0.0003359818286283781,-17.989612579345703
83.42,67,160.00148,39580,585,1130,7.729371547698975,0.6164414286613464,1478,-2.0726349353790283,0.0003359818286283781,-18.554704666137695
86.04,75,166.49036,40440,535,1140,1.2373968362808228,0.6082378625869751,1521,-2.132354259490967,0.0003359818286283781,-19.704071044921875
89.61,76,177.14026,41360,540,1150,4.957846164703369,0.599597692489624,1567,-2.156609058380127,0.0003359818286283781,-19.83866310119629
92.16,77,186.46365,42100,544,1160,1.6810877323150635,0.5928033590316772,1604,-2.3035924434661865,0.0003359818286283781,-20.825904846191406
92.54,78,191.53188,43140,550,1170,3.1755428314208984,0.5833702087402344,1656,-2.230318784713745,0.0003359818286283781,-20.77572250366211
92.34,79,192.99644,43780,552,1180,2.12570858001709,0.5776690244674683,1688,-2.3013408184051514,0.0003359818286283781,-21.88553237915039
91.16,80,192.05809,44900,556,1190,6.80881404876709,0.5677649974822998,1744,-2.3505446910858154,0.0003359818286283781,-21.853342056274414
90.7,81,191.9039,45800,560,1200,5.0875725746154785,0.559983491897583,1789,-2.355083465576172,0.0003359818286283781,-22.935590744018555
91.16,82,193.94913,46680,564,1210,1.9516432285308838,0.5524898767471313,1833,-2.4741029739379883,0.0003359818286283781,-24.012348175048828
89.81,83,191.82036,47580,568,1220,3.9429473876953125,0.5449862480163574,1878,-2.462475299835205,0.0003359818286283781,-23.371322631835938
90.05,84,193.22856,48520,571,1230,9.964486122131348,0.5372164249420166,1925,-2.4785726070404053,0.0003359818286283781,-23.65781021118164
90.65,85,195.42473,49420,575,1240,8.487994194030762,0.5299845933914185,1970,-2.594158411026001,0.0003359818286283781,-25.011676788330078
