rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,train/critic_loss,train/ent_coef,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss
64.67,26,90.05285,31840,1184,1000,1.2019634246826172,0.6965109705924988,1091,-1.690967082977295,0.0003359818286283781,-13.993064880371094
66.89,27,96.11573,32400,1175,1010,3.416491985321045,0.6902443766593933,1119,-1.7502655982971191,0.0003359818286283781,-14.698369979858398
64.81,28,96.11217,33340,1165,1020,2.379204034805298,0.6798264980316162,1166,-1.7889647483825684,0.0003359818286283781,-15.27165699005127
66.66,29,101.52428,34300,1155,1030,3.149888277053833,0.6694169044494629,1214,-1.8738324642181396,0.0003359818286283781,-15.843644142150879
73.23,30,112.36513,35180,1146,1040,2.6994681358337402,0.6599879860877991,1258,-1.8939440250396729,0.0003359818286283781,-16.097034454345703
75.99,31,120.945244,35960,1140,1050,1.0238642692565918,0.6517314314842224,1297,-1.9521788358688354,0.0003359818286283781,-16.595298767089844
76.45,32,126.25561,36620,1137,1060,2.4078614711761475,0.644901692867279,1330,-2.0234713554382324,0.0003359818286283781,-17.366918563842773
78.42,33,131.85426,37580,1131,1070,3.3131492137908936,0.6350876092910767,1378,-2.077542543411255,0.0003359818286283781,-17.79468536376953
80.61,34,139.72943,38520,1126,1080,1.7681965827941895,0.6256722211837769,1425,-2.181710720062256,0.0003359818286283781,-18.43817138671875
82.9,35,147.39413,39540,1121,1090,5.732695579528809,0.6156080365180969,1476,-2.1914186477661133,0.0003359818286283781,-19.223892211914062
85.69,36,157.7911,40380,1117,1100,3.55861759185791,0.6075131297111511,1518,-2.262594699859619,0.0003359818286283781,-19.371658325195312
87.79,37,165.00139,41220,1111,1110,3.7248220443725586,0.5994847416877747,1560,-2.263831377029419,0.0003359818286283781,-19.23383903503418
91.67,38,176.05455,42320,1105,1120,3.2123048305511475,0.589134693145752,1615,-2.360619068145752,0.0003359818286283781,-20.422245025634766
93.25,39,183.9075,43000,1102,1130,3.4417200088500977,0.582886815071106,1649,-2.3648009300231934,0.0003359818286283781,-21.079059600830078
90.25,40,185.19392,44080,1098,1140,1.1283609867095947,0.5731404423713684,1703,-2.363250732421875,0.0003359818286283781,-21.47876739501953
91.37,41,189.08286,45040,1095,1150,6.390303611755371,0.5646741390228271,1751,-2.473146915435791,0.0003359818286283781,-22.293174743652344
91.64,42,191.57318,46000,1092,1160,3.8344123363494873,0.5563427209854126,1799,-2.5330474376678467,0.0003359818286283781,-23.340179443359375
92.92,42,195.65332,46840,1090,1170,3.2225117683410645,0.5490888953208923,1841,-2.6121575832366943,0.0003359818286283781,-24.533994674682617
93.21,44,197.50346,47880,1085,1180,4.964993476867676,0.5402840971946716,1893,-2.6874217987060547,0.0003359818286283781,-24.024211883544922
92.71,44,197.21841,48440,1083,1190,7.786287307739258,0.5356289744377136,1921,-2.652621269226074,0.0003359818286283781,-23.888362884521484
92.1,46,197.07452,49760,1078,1200,7.9292097091674805,0.5248759984970093,1987,-2.742733955383301,0.0003359818286283781,-25.206924438476562
