,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
76,76,51.7454604,2023-05-18 16:51:50.791570,2023-05-18 16:51:52.305185,0 days 00:00:01.513615,32,100000,0.99,1.4937083171392787e-05,1000,0.3297637291743848,big,0.005,4,PRUNED
77,77,21.3422586,2023-05-18 16:51:52.306373,2023-05-18 16:51:53.100069,0 days 00:00:00.793696,16,100000,0.9,2.204663559544979e-05,1000,-0.7053563674682739,big,0.005,4,PRUNED
78,78,45.88524460000001,2023-05-18 16:51:53.103444,2023-05-18 16:51:54.194825,0 days 00:00:01.091381,64,10000,0.9,9.155585457398602e-05,1000,0.5895967759195874,big,0.02,4,PRUNED
79,79,32.7306454,2023-05-18 16:51:54.198155,2023-05-18 16:51:55.327216,0 days 00:00:01.129061,2048,1000000,0.9,0.0007236519499856685,1000,0.5175446022442542,big,0.01,16,PRUNED
80,80,17.0057636,2023-05-18 16:51:55.328953,2023-05-18 16:51:56.215305,0 days 00:00:00.886352,32,10000,0.9,7.958980592896556e-05,20000,0.970927072551242,big,0.005,4,PRUNED
81,81,22.3562668,2023-05-18 16:51:56.216478,2023-05-18 16:51:56.870997,0 days 00:00:00.654519,32,10000,0.9,7.367441968352156e-05,20000,-1.0478122863421349,big,0.005,256,PRUNED
82,82,29.653091,2023-05-18 16:51:56.872101,2023-05-18 16:51:57.791481,0 days 00:00:00.919380,512,10000,0.98,2.2283939191032013e-05,1000,-0.20720681199992075,big,0.005,4,PRUNED
83,83,79.787141,2023-05-18 16:51:57.792612,2023-05-18 16:51:59.377130,0 days 00:00:01.584518,2048,10000,0.9999,0.21747674803685896,1000,-1.6286639232287838,medium,0.02,512,PRUNED
84,84,27.510480800000003,2023-05-18 16:51:59.378220,2023-05-18 16:52:00.346564,0 days 00:00:00.968344,256,10000,0.999,0.0001009997049803385,1000,-0.5536411761450349,big,0.005,256,PRUNED
85,85,39.2993424,2023-05-18 16:52:00.348111,2023-05-18 16:52:01.140425,0 days 00:00:00.792314,2048,100000,0.9,8.254854717218503e-05,1000,-2.141463411794904,big,0.005,32,PRUNED
