,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
83,83,2.6452143999999995,2023-05-18 15:18:30.052920,2023-05-18 15:18:53.539864,0 days 00:00:23.486944,32,1000000,0.9999,0.00951615161098521,0,-0.38094492589306916,big,0.08,16,PRUNED
84,84,292.9304902,2023-05-18 15:18:30.253049,2023-05-18 15:21:05.193520,0 days 00:02:34.940471,2048,1000000,0.9,1.1244767928536908e-05,0,-0.2692422209271286,big,0.08,32,COMPLETE
85,85,80.602766,2023-05-18 15:18:37.123153,2023-05-18 15:19:04.230034,0 days 00:00:27.106881,64,1000000,0.9,0.0032262981045750438,0,-1.2149081440949165,big,0.08,8,PRUNED
86,86,0.7444816,2023-05-18 15:18:53.540990,2023-05-18 15:19:20.076211,0 days 00:00:26.535221,64,1000000,0.9,0.12801446413801212,0,0.5249614996600968,big,0.001,16,PRUNED
87,87,42.574064199999995,2023-05-18 15:18:54.254968,2023-05-18 15:20:15.024182,0 days 00:01:20.769214,1024,1000000,0.9,0.012069225977194672,0,-1.9848629833072045,big,0.05,16,PRUNED
88,88,114.970652,2023-05-18 15:19:04.231147,2023-05-18 15:19:05.235402,0 days 00:00:01.004255,1024,1000000,0.999,0.8989438347562165,1000,-3.81224964647738,big,0.08,512,COMPLETE
89,89,159.60623520000001,2023-05-18 15:19:05.236569,2023-05-18 15:19:06.832399,0 days 00:00:01.595830,1024,100000,0.999,0.05660394029422732,1000,-3.4933977874074102,big,0.005,32,COMPLETE
90,90,79.3350592,2023-05-18 15:19:06.836536,2023-05-18 15:19:48.974846,0 days 00:00:42.138310,256,1000000,0.9,0.0029798591165881767,0,0.7655765215610805,big,0.001,16,PRUNED
91,91,56.0419048,2023-05-18 15:19:20.077693,2023-05-18 15:19:20.768725,0 days 00:00:00.691032,1024,10000,0.95,0.043756720115275684,1000,-2.3120466984266734,small,0.02,64,PRUNED
92,92,12.0350284,2023-05-18 15:19:20.770004,2023-05-18 15:19:21.264400,0 days 00:00:00.494396,1024,100000,0.999,0.15719923028358002,1000,-3.315813035955586,small,0.005,32,PRUNED
93,93,165.83606479999997,2023-05-18 15:19:21.265637,2023-05-18 15:19:53.462717,0 days 00:00:32.197080,128,1000000,0.995,0.0007492980871258231,0,0.6013748300687415,big,0.08,16,COMPLETE
94,94,18.1864548,2023-05-18 15:19:48.977731,2023-05-18 15:19:49.521855,0 days 00:00:00.544124,64,10000,0.95,0.053788108454315156,1000,-3.83730637527384,small,0.08,64,PRUNED
95,95,19.5218278,2023-05-18 15:19:49.523903,2023-05-18 15:19:50.114966,0 days 00:00:00.591063,1024,100000,0.999,0.012518910903865118,1000,-3.8388143654249838,big,0.02,32,PRUNED
