time/episodes,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef_loss,train/learning_rate
440,3728,22.79,18.263023,2,9560,,,,,,
450,3728,22.97,18.705868,2,9720,,,,,,
460,3715,22.9,18.959417,2,9860,,,,,,
470,3646,22.14,18.670906,2,10060,0.9990005493164062,-2.6429829597473145,2,6.466721534729004,-0.005002113059163094,0.001
480,3352,21.57,17.901485,3,10300,0.9870719909667969,-5.107972145080566,14,1.994131088256836,-0.0658019632101059,0.001
490,3129,21.36,17.942812,3,10520,0.976252555847168,-4.536718845367432,25,1.0472424030303955,-0.12133735418319702,0.001
500,3014,21.72,18.050774,3,10660,0.9694299697875977,-4.942124366760254,32,0.7074446678161621,-0.15590594708919525,0.001
510,2782,20.49,16.686996,3,10960,0.9549720287322998,-4.98678731918335,47,0.6307129859924316,-0.2333431839942932,0.001
520,2707,21.12,17.528608,4,11080,0.9492471814155579,-5.09625244140625,53,0.6053343415260315,-0.26227009296417236,0.001
530,2549,20.47,17.165163,4,11340,0.9369593858718872,-5.2379045486450195,66,0.3674866557121277,-0.32915306091308594,0.001
540,2433,19.54,15.476154,4,11580,0.9257608652114868,-5.17106819152832,78,0.4636194705963135,-0.38800472021102905,0.001
550,2360,20.35,16.405252,4,11780,0.9165356159210205,-5.3083600997924805,88,0.3777311444282532,-0.4397504925727844,0.001
560,2319,20.11,16.076504,5,11920,0.9101344347000122,-5.292926788330078,95,0.4604019820690155,-0.47256389260292053,0.001
570,2240,20.84,16.648798,5,12160,0.8992727994918823,-5.36396598815918,107,0.3735988140106201,-0.5365098118782043,0.001
580,2162,21.28,17.066784,5,12420,0.8876377940177917,-5.424954414367676,120,0.319839745759964,-0.5990089774131775,0.001
590,2087,22.14,18.20656,6,12640,0.8779175281524658,-5.459324836730957,131,0.42651110887527466,-0.6578603386878967,0.001
600,2027,21.74,18.347553,6,12900,0.8665647506713867,-5.576289176940918,144,0.4009065628051758,-0.7213456630706787,0.001
610,1947,21.78,18.300135,6,13240,0.8519510626792908,-5.824260234832764,161,0.3120192885398865,-0.8092235922813416,0.001
620,1912,22.01,18.921242,7,13420,0.8443195819854736,-5.689211845397949,170,0.538212776184082,-0.8537091016769409,0.001
630,1849,22.81,19.377005,7,13720,0.8317328691482544,-5.805218696594238,185,0.3904057741165161,-0.9231101274490356,0.001
640,1815,24.43,22.026455,7,13960,0.8218039870262146,-5.768457412719727,197,0.48698705434799194,-0.9898286461830139,0.001
650,1781,24.05,21.217842,7,14220,0.8111917972564697,-5.985291957855225,210,0.4085288643836975,-1.0523545742034912,0.001
660,1741,24.3,21.335564,8,14580,0.7967304587364197,-5.928134918212891,228,0.39615726470947266,-1.1394414901733398,0.001
670,1677,25.18,23.432825,8,14960,0.7817621231079102,-6.0408196449279785,247,0.5513393878936768,-1.235371470451355,0.001
680,1651,26.75,25.963223,9,15240,0.7709289193153381,-6.383702278137207,261,0.4672662317752838,-1.3048219680786133,0.001
690,1624,27.39,26.914846,9,15580,0.75795578956604,-6.127620220184326,278,0.4648505747318268,-1.3909306526184082,0.001
700,1593,29.23,28.51092,10,16000,0.7422687411308289,-6.510656356811523,299,0.3760988712310791,-1.4951385259628296,0.001
710,1576,30.85,30.946514,10,16220,0.7341728806495667,-6.517302513122559,310,0.5394921898841858,-1.5480839014053345,0.001
720,1558,30.87,31.244661,10,16500,0.7240036725997925,-6.604856491088867,324,0.3572636544704437,-1.615144968032837,0.001
730,1531,30.79,32.05203,11,17020,0.7055132389068604,-6.791288375854492,350,0.5176324248313904,-1.731884479522705,0.001
740,1504,30.87,31.529411,11,17540,0.6875114440917969,-6.821849822998047,376,0.5149291753768921,-1.87838876247406,0.001
750,1475,35.24,38.414642,12,18020,0.6713378429412842,-6.9972734451293945,400,0.5316264033317566,-1.9818512201309204,0.001
760,1453,37.91,42.732685,12,18500,0.6555505990982056,-7.1738386154174805,424,0.6164160966873169,-2.0964746475219727,0.001
770,1432,38.72,44.19304,13,18940,0.6414399147033691,-7.23201322555542,446,0.4408761262893677,-2.175170421600342,0.001
