time/episodes,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef_loss,train/learning_rate
950,500,67.55,116.1203,60,30440,0.3710203468799591,-11.351614952087402,1021,1.2738840579986572,-4.250823020935059,0.001
960,506,69.43,124.61022,61,31280,0.3571007549762726,-12.241148948669434,1063,1.0398893356323242,-4.400149345397949,0.001
970,513,71.9,133.98656,62,32320,0.34094226360321045,-13.286614418029785,1115,2.774087905883789,-4.450085163116455,0.001
980,518,74.54,144.31029,63,33080,0.32971206307411194,-13.62213134765625,1153,0.5719925165176392,-4.358359336853027,0.001
990,526,77.69,157.37047,64,34200,0.313964307308197,-14.10426139831543,1209,2.863032341003418,-4.601547718048096,0.001
1000,530,80.17,165.65164,65,34740,0.30675995349884033,-13.626306533813477,1236,2.6101624965667725,-4.890083312988281,0.001
1010,538,83.04,173.92502,66,35960,0.29099589586257935,-14.33057975769043,1297,4.109305381774902,-4.7180399894714355,0.001
1020,541,85.29,181.87125,67,36540,0.2839323580265045,-15.203819274902344,1326,2.9737634658813477,-4.571927070617676,0.001
1030,549,88.4,190.06691,68,37680,0.2706475257873535,-16.37738609313965,1383,1.436194896697998,-5.091070175170898,0.001
1040,551,88.96,193.16609,69,38240,0.26423633098602295,-15.832059860229492,1411,0.8795784711837769,-4.422523021697998,0.001
1050,557,88.32,193.22217,70,39580,0.2499231994152069,-16.515037536621094,1478,3.8461647033691406,-4.875901222229004,0.001
1060,508,89.63,196.35555,78,40140,0.24428719282150269,-17.1671085357666,1506,3.615251064300537,-4.447057247161865,0.001
1070,513,88.91,195.9098,80,41340,0.2327648550271988,-18.15594482421875,1566,1.9379969835281372,-5.191353797912598,0.001
1080,515,88.3,194.78845,81,41820,0.22838245332241058,-18.880090713500977,1590,1.9437360763549805,-5.091460227966309,0.001
1090,522,87.89,193.75856,82,43020,0.21807149052619934,-19.261281967163086,1650,1.835423469543457,-5.175873279571533,0.001
1100,524,87.66,193.51758,82,43440,0.2144269198179245,-18.72210693359375,1671,1.199430227279663,-5.4404449462890625,0.001
1110,531,87.2,192.56688,84,44680,0.204101100564003,-19.750804901123047,1733,4.163313865661621,-4.878700256347656,0.001
1120,531,86.62,191.99533,84,45020,0.20140576362609863,-20.38953971862793,1750,2.9407031536102295,-5.776935577392578,0.001
1130,539,85.85,191.12883,86,46400,0.19060908257961273,-21.493640899658203,1819,4.6436944007873535,-5.027189254760742,0.001
1140,540,85.33,189.7702,86,46720,0.18835781514644623,-20.429563522338867,1835,4.279533863067627,-6.174945831298828,0.001
1150,546,85.19,189.4592,88,48100,0.1785525381565094,-21.798381805419922,1904,8.203323364257812,-5.7212605476379395,0.001
1160,547,84.27,187.862,88,48340,0.17691805958747864,-22.173019409179688,1916,4.572659969329834,-4.894660949707031,0.001
1170,553,83.69,185.78465,89,49780,0.1670769602060318,-22.674724578857422,1988,2.405092239379883,-5.6890363693237305,0.001
