rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,train/critic_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/actor_loss,train/learning_rate
20.57,16.663509030000004,3,410,8782,2724,,,,,,
20.46,17.0057154,3,420,9003,2736,,,,,,
20.22,16.529750209999996,3,430,9186,2745,,,,,,
21.3,17.67619581,3,440,9470,2727,,,,,,
21.9,18.15151134,3,450,9758,2749,,,,,,
22.08,18.121280669999997,3,460,9987,2763,,,,,,
22.92,19.20860555,7,470,10252,1364,0.04361218959093094,-12.121994018554688,251,0.08260709792375565,-2.4864649772644043,0.01
23.33,21.4830813,11,480,10530,898,0.16208232939243317,-5.915358543395996,529,0.02200871892273426,-3.7847909927368164,0.01
23.5,23.632620860000003,15,490,10762,705,0.12804627418518066,-0.15982693433761597,761,0.02146087773144245,-5.259404182434082,0.01
24.04,26.447393350000002,18,500,11006,588,0.39815574884414673,1.750917673110962,1005,0.026239026337862015,-6.62078332901001,0.01
24.77,29.620629810000004,22,510,11259,496,0.4578673243522644,3.3483638763427734,1258,0.03397122398018837,-8.277889251708984,0.01
27.25,36.23745111999999,29,520,11728,400,0.5482863187789917,-2.9656543731689453,1727,0.046257469803094864,-11.044562339782715,0.01
34.03,52.14118708,41,530,12589,301,1.0169310569763184,0.3943786919116974,2588,0.04370573163032532,-18.115196228027344,0.01
40.77,70.60553114999999,55,540,13547,242,1.6659319400787354,-2.036886692047119,3546,0.040908120572566986,-26.100242614746094,0.01
47.31,89.75397513,69,550,14489,207,6.336183071136475,0.4821280241012573,4488,0.03751327097415924,-33.043975830078125,0.01
55.4,111.02281748,84,560,15527,183,4.674186706542969,-1.1258842945098877,5526,0.03104822151362896,-41.459930419921875,0.01
65.49,137.01403232,103,570,16801,162,8.301653861999512,0.6428380012512207,6800,0.04871195927262306,-49.693565368652344,0.01
75.6,163.41630807000004,122,580,18090,147,7.837899208068848,-0.724892795085907,8089,0.04425147920846939,-61.5838508605957,0.01
84.5,185.98777873000003,137,590,19212,139,5.180573463439941,-2.3572869300842285,9211,0.07948503643274307,-67.68658447265625,0.01
94.02,213.04123282,152,600,20408,134,19.604515075683594,0.6277030110359192,10407,0.05936102569103241,-73.28203582763672,0.01
102.58,237.78212345999998,164,610,21517,131,23.501827239990234,0.2277218997478485,11516,0.07134439051151276,-84.54926300048828,0.01
109.36,260.2670382,176,620,22664,128,35.40382766723633,-0.7601728439331055,12663,0.08011291921138763,-91.1414566040039,0.01
113.95,275.17908356000004,194,630,23984,123,9.38835334777832,0.1361493021249771,13983,0.09694638103246689,-100.51016235351562,0.01
119.88,289.99186905,212,640,25535,120,9.977667808532715,1.3619201183319092,15534,0.08020858466625214,-110.81986236572266,0.01
123.24,302.97589159999995,225,650,26813,118,12.613066673278809,-0.009605810046195984,16812,0.09283383935689926,-119.23384094238281,0.01
124.95,312.54677698,239,660,28022,117,15.4633150100708,0.3665393888950348,18021,0.09078872203826904,-123.41346740722656,0.01
123.13,311.23664674,252,670,29114,115,30.89146614074707,-0.047936633229255676,19113,0.05554676055908203,-128.74209594726562,0.01
121.91,309.83420272,266,680,30281,113,34.85589599609375,0.31587541103363037,20280,0.0541691780090332,-131.582275390625,0.01
121.66,310.28079038,280,690,31378,111,51.292572021484375,-2.3590750694274902,21377,0.07527939230203629,-135.9766082763672,0.01
122.23,312.68193038000004,296,700,32631,110,31.822383880615234,0.13482707738876343,22630,0.06854047626256943,-139.13140869140625,0.01
123.1,318.05661059,309,710,33827,109,16.094825744628906,2.8524789810180664,23826,0.07043087482452393,-144.98699951171875,0.01
122.71,317.2993944699999,321,720,34935,108,17.482290267944336,1.6804347038269043,24934,0.059181004762649536,-143.33038330078125,0.01
121.46,319.03155757,333,730,36130,108,41.14131546020508,1.2749316692352295,26129,0.07098527997732162,-147.34820556640625,0.01
119.32,319.58171597999996,347,740,37467,107,26.20461654663086,1.2260552644729614,27466,0.07099559903144836,-147.33819580078125,0.01
115.88,307.94195367,358,750,38401,107,148.47067260742188,-1.9295837879180908,28400,0.053247034549713135,-147.47366333007812,0.01
114.61,303.88832632,373,760,39483,105,19.10972785949707,-0.08528754115104675,29482,0.04835527017712593,-156.77845764160156,0.01
116.16,309.67623747,389,770,40730,104,127.29823303222656,-1.9005643129348755,30729,0.062016960233449936,-142.59030151367188,0.01
118.99,320.48440467999995,404,780,42180,104,26.524560928344727,-1.8890076875686646,32179,0.0780881866812706,-151.17372131347656,0.01
122.59,334.21681709999996,421,790,43637,103,17.424386978149414,-0.3790849447250366,33636,0.07169527560472488,-140.20883178710938,0.01
123.67,333.76659793,440,800,44998,102,28.2907772064209,1.155837893486023,34997,0.0729929730296135,-145.56167602539062,0.01
127.37,337.60573856,456,810,46564,101,18.740379333496094,1.3379051685333252,36563,0.06820360571146011,-134.9413604736328,0.01
141.87,360.36954689999993,485,820,49122,101,58.76180648803711,-1.7207852602005005,39121,0.06986444443464279,-136.39041137695312,0.01
