rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,train/critic_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/actor_loss,train/learning_rate
75.33,152.66801913,243,570,17312,70,9.698055267333984,0.08762574195861816,7311,0.06161355599761009,-62.55051803588867,0.01
85.51,175.30565707999997,287,580,18549,64,18.643537521362305,-0.806606650352478,8548,0.08473183959722519,-77.15181732177734,0.01
95.05,191.91082885,329,590,19868,60,9.880817413330078,-1.3773529529571533,9867,0.15084680914878845,-92.51512908935547,0.01
99.7,198.88732745000002,352,600,20648,58,16.11791229248047,-0.504314661026001,10647,0.1898631602525711,-105.61709594726562,0.01
113.11,219.57163164999994,406,610,22392,55,21.01593589782715,-0.6266913414001465,12391,0.14363305270671844,-119.42967224121094,0.01
121.02,233.62319141,450,620,23882,52,17.444324493408203,-1.570560097694397,13881,0.15948110818862915,-130.15341186523438,0.01
129.91,256.83220436999994,524,630,25624,48,18.97158432006836,0.9429572820663452,15623,0.11735785752534866,-134.6985321044922,0.01
134.63,275.24753823000003,569,640,27097,47,31.358705520629883,0.45692455768585205,17096,0.15631185472011566,-143.95648193359375,0.01
137.09,290.58096175,626,650,28696,45,18.806320190429688,-1.5469504594802856,18695,0.13383731245994568,-144.88162231445312,0.01
137.97,296.86341117999996,651,660,29822,45,31.751256942749023,-0.4191967248916626,19821,0.17524167895317078,-150.51551818847656,0.01
139.05,306.59910641,703,670,31217,44,25.7974853515625,0.5319427847862244,21216,0.14213480055332184,-156.43515014648438,0.01
144.67,326.18840838,778,680,33016,42,62.93849182128906,-0.9087280631065369,23015,0.13337872922420502,-161.24053955078125,0.01
146.68,335.35780225999997,877,690,34536,39,115.73443603515625,0.28011375665664673,24535,0.10382261872291565,-163.22047424316406,0.01
182.3,370.35005183,1217,700,38878,31,40.32954788208008,0.7205759286880493,28877,0.05855759605765343,-163.4901580810547,0.01
205.21,389.15753499,1568,710,42913,27,34.64078903198242,-0.8415355682373047,32912,0.06454530358314514,-154.625,0.01
209.68,405.49291867999995,1682,720,44850,26,45.98781967163086,-0.7769454717636108,34849,0.08906355500221252,-155.59417724609375,0.01
207.41,405.44237816000003,1737,730,46365,26,29.801101684570312,-0.13017193973064423,36364,0.1188381239771843,-152.94906616210938,0.01
208.99,413.9008490099999,1796,740,47996,26,32.107818603515625,-1.2016515731811523,37995,0.10577771812677383,-151.19918823242188,0.01
209.73,416.2332059599999,1861,750,49669,26,18.56314468383789,0.5587852001190186,39668,0.09452571719884872,-153.21295166015625,0.01
