train/ent_coef_loss,train/actor_loss,time/total_timesteps,train/critic_loss,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef,train/n_updates,time/episodes,train/learning_rate
-0.09707846492528915,-11.087600708007812,23340,10.746514320373535,154,151,17.25,13.995188,0.9808216094970703,1936,1170,1e-05
-0.09736137092113495,-11.208619117736816,23484,15.293401718139648,154,152,17.97,14.755655,0.9807041883468628,1948,1180,1e-05
-0.09891168773174286,-11.278514862060547,23700,13.466619491577148,153,153,18.51,15.13168,0.9805280566215515,1966,1190,1e-05
-0.09940290451049805,-11.62877368927002,23892,14.456939697265625,154,154,18.57,15.137615,0.9803717732429504,1982,1200,1e-05
-0.09998840093612671,-11.413911819458008,24024,10.407917022705078,154,155,18.84,15.1732645,0.9802643060684204,1993,1210,1e-05
-0.10083678364753723,-11.318747520446777,24240,11.457942962646484,154,157,18.91,15.381278,0.9800882339477539,2011,1220,1e-05
-0.10091177374124527,-11.709085464477539,24324,11.876626968383789,154,157,18.91,14.755847,0.9800199270248413,2018,1230,1e-05
-0.10169193148612976,-11.47052001953125,24528,13.372364044189453,154,158,18.5,13.646236,0.9798538684844971,2035,1240,1e-05
-0.1038370281457901,-11.784247398376465,24756,14.322357177734375,154,160,18.08,13.239031,0.9796682596206665,2054,1250,1e-05
-0.10353319346904755,-11.909750938415527,24864,13.460104942321777,154,160,17.78,12.834177,0.9795804023742676,2063,1260,1e-05
-0.1041499674320221,-11.808024406433105,25032,11.66127872467041,154,162,17.49,12.839228,0.9794438481330872,2077,1270,1e-05
-0.10534020513296127,-11.830615997314453,25188,13.054606437683105,154,163,17.16,12.572251,0.9793170690536499,2090,1280,1e-05
-0.10556710511445999,-11.874905586242676,25368,14.84096908569336,154,164,16.86,12.589914,0.9791706800460815,2105,1290,1e-05
-0.10675616562366486,-12.249324798583984,25524,16.038951873779297,154,165,16.44,12.387221,0.9790439009666443,2118,1300,1e-05
-0.10652155429124832,-12.069798469543457,25728,12.000997543334961,154,166,16.29,12.225337,0.9788781404495239,2135,1310,1e-05
-0.1087811067700386,-12.349308967590332,25920,11.721359252929688,154,167,16.61,12.03438,0.9787223935127258,2151,1320,1e-05
-0.10957895219326019,-12.288596153259277,26052,13.279447555541992,154,168,16.95,12.839007,0.9786151647567749,2162,1330,1e-05
-0.1088380217552185,-12.365741729736328,26220,16.477127075195312,154,169,16.61,12.589635,0.978478729724884,2176,1340,1e-05
-0.1104072853922844,-12.7189359664917,26376,14.710908889770508,154,170,16.35,12.409236,0.9783521890640259,2189,1350,1e-05
-0.10956781357526779,-12.75941276550293,26496,15.403787612915039,154,171,16.39,12.213816,0.9782546162605286,2199,1360,1e-05
-0.11134220659732819,-12.586506843566895,26640,12.915823936462402,154,172,16.4,12.089378,0.978137731552124,2211,1370,1e-05
-0.1117379367351532,-12.464258193969727,26796,12.642889022827148,154,173,16.06,11.797306,0.9780109524726868,2224,1380,1e-05
-0.11137702316045761,-12.638586044311523,26916,15.786933898925781,154,173,15.95,11.433001,0.9779133200645447,2234,1390,1e-05
-0.11264908313751221,-12.999433517456055,27060,14.396628379821777,154,174,15.71,11.1506815,0.9777964353561401,2246,1400,1e-05
-0.11339204758405685,-12.793542861938477,27204,15.635869026184082,154,175,15.22,10.80862,0.9776795506477356,2258,1410,1e-05
-0.11389859765768051,-12.98814868927002,27336,18.56924819946289,154,176,15.11,11.078836,0.977572500705719,2269,1420,1e-05
-0.11514938622713089,-13.1320219039917,27492,11.755309104919434,154,177,14.52,10.378005,0.9774458408355713,2282,1430,1e-05
-0.11465715616941452,-12.80941104888916,27672,16.87030792236328,154,178,14.66,10.565699,0.977299690246582,2297,1440,1e-05
-0.1159338653087616,-13.07113265991211,27864,15.074592590332031,155,179,15.0,10.841026,0.9771439433097839,2313,1450,1e-05
-0.11508507281541824,-12.810982704162598,27996,15.15263557434082,155,180,15.01,11.141138,0.9770368337631226,2324,1460,1e-05
-0.11524049937725067,-13.245992660522461,28128,25.045127868652344,155,181,15.0,11.28214,0.9769299626350403,2335,1470,1e-05
-0.117775097489357,-12.944818496704102,28332,13.609847068786621,155,182,15.05,11.281643,0.9767646193504333,2352,1480,1e-05
-0.11806206405162811,-13.604827880859375,28464,13.600167274475098,155,183,15.22,11.49873,0.976657509803772,2363,1490,1e-05
-0.11871357262134552,-13.139326095581055,28608,15.421770095825195,154,184,15.4,11.679591,0.976540744304657,2375,1500,1e-05
-0.11992840468883514,-13.664336204528809,28776,13.788057327270508,154,185,15.77,11.860142,0.9764048457145691,2389,1510,1e-05
-0.12064886838197708,-13.422054290771484,28896,13.21764087677002,154,186,15.53,11.592216,0.9763076901435852,2399,1520,1e-05
-0.1205788403749466,-13.50313663482666,29028,12.713968276977539,154,187,15.48,11.488195,0.9762007594108582,2410,1530,1e-05
-0.120287224650383,-13.817471504211426,29184,18.767047882080078,155,188,15.21,11.112033,0.9760743975639343,2423,1540,1e-05
-0.12113787233829498,-14.049457550048828,29352,20.796812057495117,155,189,14.93,10.905067,0.9759382605552673,2437,1550,1e-05
-0.12221682816743851,-13.940666198730469,29496,16.990570068359375,154,190,14.76,10.67326,0.9758215546607971,2449,1560,1e-05
-0.12365648150444031,-13.81087589263916,29688,16.50511932373047,154,191,15.08,11.114681,0.9756659269332886,2465,1570,1e-05
-0.12296954542398453,-13.889310836791992,29844,13.76917839050293,154,193,15.21,11.617332,0.97553950548172,2478,1580,1e-05
-0.12487621605396271,-13.852571487426758,29952,14.072324752807617,154,193,15.17,11.8121605,0.9754521250724792,2487,1590,1e-05
-0.12427090108394623,-13.96959114074707,30096,12.852424621582031,154,194,14.94,11.435982,0.9753355979919434,2499,1600,1e-05
-0.12546584010124207,-14.162431716918945,30240,18.9592227935791,154,195,14.54,11.179395,0.9752190709114075,2511,1610,1e-05
-0.1270623654127121,-14.219888687133789,30456,22.794597625732422,154,196,14.87,11.48536,0.9750443696975708,2529,1620,1e-05
-0.1277371644973755,-14.364156723022461,30612,14.2805814743042,154,198,15.2,11.862361,0.9749181866645813,2542,1630,1e-05
-0.1259264051914215,-14.473634719848633,30744,17.50082015991211,154,198,15.68,12.6159725,0.9748113751411438,2553,1640,1e-05
-0.1278490573167801,-14.408279418945312,30972,16.142004013061523,154,200,15.63,12.430042,0.9746272563934326,2572,1650,1e-05
-0.1287950575351715,-14.57831859588623,31104,14.896675109863281,154,201,16.21,13.896782,0.9745205640792847,2583,1660,1e-05
-0.13003414869308472,-14.58632755279541,31284,21.446773529052734,154,202,16.03,13.419955,0.9743750691413879,2598,1670,1e-05
-0.12961581349372864,-14.666175842285156,31428,20.431020736694336,154,203,16.04,13.259163,0.9742586016654968,2610,1680,1e-05
-0.13140185177326202,-14.167330741882324,31596,9.292365074157715,154,204,15.98,12.830774,0.9741227030754089,2624,1690,1e-05
-0.13161492347717285,-14.68270206451416,31716,14.974468231201172,154,205,16.13,13.298103,0.9740256071090698,2634,1700,1e-05
-0.13056518137454987,-14.950106620788574,31872,23.680889129638672,154,206,16.38,13.793366,0.9738996624946594,2647,1710,1e-05
-0.13298703730106354,-14.823504447937012,31992,14.113540649414062,154,207,16.34,13.878249,0.973802924156189,2657,1720,1e-05
-0.13394170999526978,-14.658443450927734,32184,15.33778190612793,154,208,16.24,13.749615,0.9736478924751282,2673,1730,1e-05
-0.13302235305309296,-15.15036392211914,32376,16.44261932373047,153,210,15.93,13.1042,0.9734926819801331,2689,1740,1e-05
-0.13439112901687622,-14.87030029296875,32532,10.843868255615234,153,211,15.92,13.077113,0.9733667373657227,2702,1750,1e-05
-0.13591602444648743,-15.124712944030762,32688,15.102563858032227,153,213,15.26,11.584145,0.9732407927513123,2715,1760,1e-05
-0.13637427985668182,-15.051657676696777,32856,15.784866333007812,153,214,15.1,11.55354,0.973105251789093,2729,1770,1e-05
-0.13648836314678192,-15.112950325012207,32964,18.83065414428711,152,215,15.28,11.737129,0.9730181097984314,2738,1780,1e-05
-0.13750901818275452,-14.843131065368652,33156,16.55834197998047,152,216,15.73,12.896772,0.9728631973266602,2754,1790,1e-05
-0.13861653208732605,-15.38892936706543,33264,17.20461654663086,152,217,15.83,12.626828,0.9727760553359985,2763,1800,1e-05
-0.13799656927585602,-15.151966094970703,33432,12.454524993896484,152,218,15.71,12.176231,0.9726405739784241,2777,1810,1e-05
-0.139737069606781,-15.54255485534668,33600,17.898761749267578,152,219,15.44,11.783762,0.9725052118301392,2791,1820,1e-05
-0.14076527953147888,-15.378934860229492,33720,16.046123504638672,152,220,15.29,11.809207,0.9724084138870239,2801,1830,1e-05
-0.13994812965393066,-15.611586570739746,33864,21.432512283325195,152,221,15.28,11.776799,0.9722920656204224,2813,1840,1e-05
-0.14006397128105164,-15.402791976928711,33996,16.805522918701172,152,222,15.07,11.482981,0.9721855521202087,2824,1850,1e-05
-0.14209091663360596,-15.678605079650879,34176,16.824739456176758,152,223,14.93,11.406007,0.9720404148101807,2839,1860,1e-05
-0.1418672353029251,-15.395636558532715,34284,12.350110054016113,152,224,15.42,11.868562,0.9719533324241638,2848,1870,1e-05
-0.14227120578289032,-15.804829597473145,34392,17.34719467163086,152,225,14.96,11.380981,0.9718663096427917,2857,1880,1e-05
-0.14215967059135437,-15.762086868286133,34584,16.468952178955078,152,226,14.35,10.047007,0.9717113971710205,2873,1890,1e-05
-0.14307327568531036,-15.7798490524292,34740,19.31268310546875,153,227,14.04,9.743014,0.9715855717658997,2886,1900,1e-05
-0.1432669311761856,-15.841861724853516,34860,13.156919479370117,152,227,14.5,10.136977,0.9714885950088501,2896,1910,1e-05
-0.14338147640228271,-16.208396911621094,35028,16.281036376953125,153,228,14.76,10.683816,0.9713531732559204,2910,1920,1e-05
-0.14534173905849457,-16.073719024658203,35220,24.539474487304688,152,230,14.46,10.508603,0.9711984992027283,2926,1930,1e-05
-0.14749279618263245,-16.286449432373047,35364,28.775611877441406,152,231,14.74,10.825201,0.9710825085639954,2938,1940,1e-05
-0.14572440087795258,-16.453655242919922,35520,20.3049259185791,152,232,14.76,11.125592,0.9709565043449402,2951,1950,1e-05
-0.14725686609745026,-16.461393356323242,35688,20.976821899414062,152,233,15.16,11.842875,0.9708210229873657,2965,1960,1e-05
-0.1463700830936432,-16.503488540649414,35808,12.15086555480957,152,234,14.91,11.631509,0.9707241654396057,2975,1970,1e-05
-0.1489858627319336,-16.453025817871094,35928,20.625850677490234,152,235,15.12,11.9750185,0.97062748670578,2985,1980,1e-05
-0.15014933049678802,-16.253217697143555,36108,24.941631317138672,152,236,15.15,11.93242,0.9704824090003967,3000,1990,1e-05
-0.15039579570293427,-16.488927841186523,36264,17.60884666442871,152,237,15.55,12.381284,0.9703567624092102,3013,2000,1e-05
-0.15051919221878052,-16.85112953186035,36456,27.804256439208984,152,238,15.6,12.61816,0.9702019095420837,3029,2010,1e-05
-0.15426139533519745,-16.860797882080078,36600,22.44013023376465,152,240,15.7,12.508141,0.9700859785079956,3041,2020,1e-05
-0.15211528539657593,-16.695777893066406,36780,23.633501052856445,152,240,15.77,12.384439,0.969941258430481,3056,2030,1e-05
-0.15223611891269684,-16.474735260009766,36984,18.750690460205078,152,242,15.91,12.72945,0.9697768688201904,3073,2040,1e-05
-0.15211495757102966,-16.983989715576172,37116,23.299976348876953,152,242,16.45,13.394973,0.9696705341339111,3084,2050,1e-05
-0.1531376987695694,-17.325660705566406,37284,25.758647918701172,152,244,16.1,12.544586,0.9695352911949158,3098,2060,1e-05
-0.15476936101913452,-16.743438720703125,37452,20.20938491821289,152,245,16.29,13.331127,0.9694002866744995,3112,2070,1e-05
-0.156740203499794,-17.027467727661133,37668,19.267955780029297,152,246,16.42,13.46661,0.9692266583442688,3130,2080,1e-05
-0.15602612495422363,-17.17913818359375,37884,15.671128273010254,152,249,17.15,15.24693,0.9690530300140381,3148,2090,1e-05
-0.15820860862731934,-16.80890655517578,38028,20.83871841430664,152,250,17.39,16.008488,0.9689372777938843,3160,2100,1e-05
-0.15719769895076752,-17.411256790161133,38196,16.97055435180664,152,251,17.38,16.286999,0.9688021540641785,3174,2110,1e-05
-0.1573265790939331,-16.91485595703125,38340,18.001293182373047,152,251,17.37,16.40193,0.9686864614486694,3186,2120,1e-05
-0.15921911597251892,-17.2991943359375,38532,21.246990203857422,152,253,17.3,16.670532,0.9685322642326355,3202,2130,1e-05
-0.16081243753433228,-17.434022903442383,38736,22.069812774658203,152,254,17.58,17.246836,0.9683682918548584,3219,2140,1e-05
-0.16122174263000488,-17.71857452392578,38916,28.241670608520508,152,255,17.48,17.059778,0.9682236909866333,3234,2150,1e-05
-0.1625778079032898,-17.558813095092773,39144,32.63910675048828,152,256,17.91,17.572895,0.9680406451225281,3253,2160,1e-05
-0.16208787262439728,-17.48182487487793,39324,17.99690055847168,152,258,18.35,17.478365,0.9678961038589478,3268,2170,1e-05
-0.16419562697410583,-17.601821899414062,39540,24.635059356689453,152,259,18.8,18.470867,0.9677225947380066,3286,2180,1e-05
-0.16405723989009857,-18.01693344116211,39756,20.620155334472656,152,260,18.6,17.213516,0.967549204826355,3304,2190,1e-05
-0.16635113954544067,-17.800439834594727,39960,21.555706024169922,152,262,18.54,16.930174,0.967385470867157,3321,2200,1e-05
-0.16641934216022491,-17.714359283447266,40080,13.61950397491455,152,262,18.52,16.536781,0.9672890901565552,3331,2210,1e-05
-0.1670089215040207,-18.356447219848633,40320,16.288766860961914,152,264,19.47,18.211569,0.9670963883399963,3351,2220,1e-05
-0.16642504930496216,-18.013469696044922,40524,18.553144454956055,152,265,19.8,18.330437,0.9669325351715088,3368,2230,1e-05
-0.1671702265739441,-18.592124938964844,40716,22.80249786376953,152,266,19.69,17.906622,0.9667782783508301,3384,2240,1e-05
-0.17016293108463287,-17.92409324645996,40872,16.42136001586914,152,268,19.88,17.90726,0.9666531085968018,3397,2250,1e-05
-0.16961553692817688,-18.48194694519043,41100,30.638134002685547,148,276,19.9,17.856958,0.9664705991744995,3416,2260,1e-05
-0.17021259665489197,-18.5875244140625,41292,24.666831970214844,148,278,19.97,18.409977,0.9663168787956238,3432,2270,1e-05
-0.16977328062057495,-18.441349029541016,41496,16.715686798095703,148,279,19.69,17.722248,0.9661535620689392,3449,2280,1e-05
-0.17263217270374298,-19.237009048461914,41688,20.01174545288086,148,281,19.59,17.991346,0.9660000205039978,3465,2290,1e-05
-0.1716039925813675,-18.83620834350586,41976,14.347173690795898,148,283,19.42,18.141916,0.965769350528717,3489,2300,1e-05
-0.1747744083404541,-18.52356719970703,42228,19.72220230102539,146,288,20.73,19.918554,0.9655678868293762,3510,2310,1e-05
-0.1757405698299408,-18.900096893310547,42528,20.500789642333984,143,297,20.78,20.552078,0.9653284549713135,3535,2320,1e-05
-0.1767977774143219,-19.09595489501953,42732,36.109134674072266,139,306,21.98,23.406807,0.9651656746864319,3552,2330,1e-05
-0.17515002191066742,-18.967931747436523,42972,27.571434020996094,138,310,22.47,23.939949,0.9649742245674133,3572,2340,1e-05
-0.17690642178058624,-19.17123031616211,43164,14.56567096710205,138,311,22.88,24.634207,0.9648213386535645,3588,2350,1e-05
-0.17673489451408386,-19.65692710876465,43452,21.333036422729492,136,317,22.98,25.303211,0.9645918011665344,3612,2360,1e-05
-0.17889389395713806,-19.81385612487793,43656,16.82984161376953,136,319,22.83,24.994823,0.9644292593002319,3629,2370,1e-05
-0.1821897327899933,-19.611848831176758,43992,20.462810516357422,136,322,23.55,25.73524,0.9641616940498352,3657,2380,1e-05
-0.18166989088058472,-20.320138931274414,44160,27.729524612426758,136,324,24.61,27.2208,0.9640280604362488,3671,2390,1e-05
-0.1821582168340683,-19.77552604675293,44496,21.549968719482422,136,327,26.0,29.4616,0.9637603759765625,3699,2400,1e-05
-0.18274416029453278,-19.880508422851562,44820,23.34482765197754,136,329,26.34,31.571465,0.9635026454925537,3726,2410,1e-05
-0.18213976919651031,-20.5440616607666,45144,18.4315185546875,135,333,26.37,30.837183,0.9632461071014404,3753,2420,1e-05
-0.1876610517501831,-20.66486358642578,45468,19.382659912109375,135,336,26.81,31.626133,0.9629901051521301,3780,2430,1e-05
-0.18612268567085266,-20.3255615234375,45792,21.453407287597656,134,339,27.52,33.30721,0.9627336859703064,3807,2440,1e-05
-0.18670140206813812,-20.67336082458496,45912,20.115615844726562,134,340,27.93,34.195957,0.9626388549804688,3817,2450,1e-05
-0.18468213081359863,-20.917407989501953,46260,18.091083526611328,134,343,28.63,35.030113,0.9623646140098572,3846,2460,1e-05
-0.18997591733932495,-21.062355041503906,46560,14.487628936767578,134,345,28.61,35.153996,0.9621286988258362,3871,2470,1e-05
-0.19026562571525574,-20.958162307739258,46824,22.02611541748047,134,347,29.78,36.20956,0.9619207978248596,3893,2480,1e-05
-0.19041594862937927,-22.12998390197754,47196,23.938114166259766,134,350,30.29,38.41392,0.9616279602050781,3924,2490,1e-05
-0.18741370737552643,-21.685636520385742,47436,22.00082778930664,134,352,30.01,37.86504,0.9614402651786804,3944,2500,1e-05
-0.19425900280475616,-22.468778610229492,47880,21.798858642578125,134,355,29.97,36.708664,0.9610933065414429,3981,2510,1e-05
-0.1935063898563385,-22.172243118286133,48288,21.97854995727539,134,358,30.42,37.47182,0.9607748985290527,4015,2520,1e-05
-0.19599758088588715,-22.219823837280273,48600,21.13890838623047,134,360,30.55,37.76877,0.9605320692062378,4041,2530,1e-05
-0.1949225664138794,-22.17234230041504,48888,30.8111629486084,134,362,30.91,38.438046,0.960308849811554,4065,2540,1e-05
-0.19022530317306519,-22.615154266357422,49128,30.132171630859375,135,363,30.86,38.947266,0.9601229429244995,4085,2550,1e-05
-0.19393903017044067,-22.839096069335938,49476,51.4122314453125,134,367,31.39,39.90557,0.9598549008369446,4114,2560,1e-05
-0.1930752545595169,-22.4265193939209,49764,24.903850555419922,134,369,32.83,41.97342,0.9596333503723145,4138,2570,1e-05
-0.20057614147663116,-23.024539947509766,50160,29.844951629638672,134,371,31.68,41.423832,0.9593286514282227,4171,2580,1e-05
-0.19543421268463135,-23.172697067260742,50568,29.87767219543457,135,374,32.32,42.78568,0.9590150713920593,4205,2590,1e-05
-0.1960970163345337,-23.332334518432617,50760,15.844783782958984,135,375,33.22,44.626522,0.9588683247566223,4221,2600,1e-05
-0.19753055274486542,-23.790605545043945,51048,24.353389739990234,135,377,32.46,44.413555,0.9586483240127563,4245,2610,1e-05
-0.19948016107082367,-23.248218536376953,51384,24.69529151916504,134,380,32.33,45.373917,0.9583922028541565,4273,2620,1e-05
-0.20012512803077698,-24.11113929748535,51708,34.0640754699707,135,382,32.07,45.346645,0.958146870136261,4300,2630,1e-05
-0.20193956792354584,-23.390396118164062,52140,22.311237335205078,135,385,31.71,45.324005,0.9578201174736023,4336,2640,1e-05
-0.19666650891304016,-24.77058982849121,52356,28.613136291503906,135,387,32.8,46.637573,0.9576570987701416,4354,2650,1e-05
-0.1989191621541977,-24.88452911376953,52680,19.50676727294922,135,389,32.61,46.646496,0.9574138522148132,4381,2660,1e-05
-0.19877290725708008,-24.73114585876465,53112,14.48503589630127,135,392,32.41,46.43331,0.9570898413658142,4417,2670,1e-05
-0.19489775598049164,-24.876300811767578,53412,44.66912078857422,135,394,33.45,48.575584,0.9568660259246826,4442,2680,1e-05
-0.19874675571918488,-25.454021453857422,53760,37.31681823730469,135,396,32.04,45.649014,0.9566065669059753,4471,2690,1e-05
-0.19461053609848022,-25.48695945739746,53952,28.011436462402344,135,397,32.08,45.09541,0.9564637541770935,4487,2700,1e-05
-0.19741302728652954,-25.625389099121094,54276,36.63683319091797,135,399,32.17,44.813026,0.9562243223190308,4514,2710,1e-05
-0.20231863856315613,-25.236526489257812,54600,32.37907409667969,135,401,31.96,43.445244,0.9559847712516785,4541,2720,1e-05
