rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/ent_coef,train/actor_loss
16.09449868,23,1070,957,22620,20.26,2.782559402207126e-05,-0.08845105022192001,630,4.331762313842773,0.9825936555862427,-7.478910446166992
15.770128630000004,23,1080,958,22840,19.76,2.782559402207126e-05,-0.08967263996601105,641,4.907073974609375,0.9822928309440613,-7.619831085205078
16.74359181,23,1090,958,22980,20.29,2.782559402207126e-05,-0.09102567285299301,648,3.3137505054473877,0.9821012616157532,-7.618490219116211
17.363303,24,1100,959,23160,20.52,2.782559402207126e-05,-0.09204324334859848,657,4.021875381469727,0.9818551540374756,-7.663768768310547
16.46008421,24,1110,958,23400,19.54,2.782559402207126e-05,-0.09429831802845001,669,3.299382209777832,0.9815273284912109,-7.670040130615234
16.85745236,24,1120,959,23600,19.75,2.782559402207126e-05,-0.09559086710214615,679,3.115513324737549,0.9812541007995605,-7.664488792419434
16.69741371,24,1130,959,23840,19.37,2.782559402207126e-05,-0.09699857234954834,691,3.9165453910827637,0.9809264540672302,-7.850626468658447
17.39201667,25,1140,960,24080,19.79,2.782559402207126e-05,-0.09827728569507599,703,4.3195343017578125,0.980599045753479,-7.735262870788574
17.032640729999997,25,1150,961,24200,19.89,2.782559402207126e-05,-0.0996757298707962,709,4.947280406951904,0.9804354310035706,-8.132476806640625
17.154874669999998,25,1160,962,24580,20.03,2.782559402207126e-05,-0.10261520743370056,728,3.6767020225524902,0.9799172282218933,-8.15554428100586
19.2081522,25,1170,962,24760,21.19,2.782559402207126e-05,-0.10328568518161774,737,4.493005752563477,0.9796716570854187,-8.437952041625977
19.586385840000002,25,1180,963,25000,22.12,2.782559402207126e-05,-0.10517476499080658,749,5.532427787780762,0.9793444275856018,-8.50279426574707
18.501338319999995,26,1190,963,25100,21.38,2.782559402207126e-05,-0.10602699220180511,754,4.719206809997559,0.97920823097229,-8.542539596557617
18.09571576,26,1200,964,25320,21.36,2.782559402207126e-05,-0.10779791325330734,765,5.721409797668457,0.9789086580276489,-8.639955520629883
19.309194949999995,26,1210,964,25560,21.85,2.782559402207126e-05,-0.1091109961271286,777,5.659256935119629,0.978581964969635,-8.768543243408203
18.686691569999997,26,1220,964,25700,21.53,2.782559402207126e-05,-0.11009010672569275,784,4.171430587768555,0.9783914685249329,-8.721927642822266
17.903532419999998,26,1230,963,25840,20.72,2.782559402207126e-05,-0.11113530397415161,791,5.186545372009277,0.9782006740570068,-8.878047943115234
16.911089109999995,27,1240,962,26020,20.29,2.782559402207126e-05,-0.11285364627838135,800,4.523221969604492,0.9779558181762695,-8.857280731201172
16.96736377,27,1250,962,26180,19.87,2.782559402207126e-05,-0.11372092366218567,808,4.248102188110352,0.9777383208274841,-8.938482284545898
16.661381179999996,27,1260,963,26340,19.72,2.782559402207126e-05,-0.11481887847185135,816,5.937201499938965,0.9775209426879883,-9.016436576843262
15.2056505,27,1270,961,26560,18.79,2.782559402207126e-05,-0.11525919288396835,827,4.481902122497559,0.9772219061851501,-8.864208221435547
14.756701920000001,27,1280,962,26740,17.91,2.782559402207126e-05,-0.11752457916736603,836,5.989933967590332,0.9769774079322815,-9.364713668823242
14.509499459999999,27,1290,962,26900,17.84,2.782559402207126e-05,-0.1177656352519989,844,5.271130084991455,0.9767601490020752,-9.445150375366211
14.083889339999999,28,1300,961,27060,17.58,2.782559402207126e-05,-0.11878573149442673,852,5.524341583251953,0.9765430688858032,-9.456476211547852
13.249084989999998,28,1310,961,27220,17.02,2.782559402207126e-05,-0.12100302428007126,860,3.3101634979248047,0.976326048374176,-9.284709930419922
13.236197310000001,28,1320,960,27400,16.99,2.782559402207126e-05,-0.12169156968593597,869,5.146496295928955,0.976081907749176,-9.496783256530762
13.981011179999998,28,1330,961,27600,17.34,2.782559402207126e-05,-0.12215416133403778,879,4.921633720397949,0.9758107662200928,-9.548053741455078
14.3151962,28,1340,961,27680,17.47,2.782559402207126e-05,-0.12435589730739594,883,6.278631210327148,0.9757025837898254,-9.736848831176758
14.079733660000004,29,1350,960,27900,17.36,2.782559402207126e-05,-0.12481860816478729,894,4.917378902435303,0.975404679775238,-9.603896141052246
14.349237979999998,29,1360,960,28020,17.15,2.782559402207126e-05,-0.12591466307640076,900,5.083350658416748,0.9752423763275146,-10.02475643157959
13.64962533,29,1370,960,28240,16.69,2.782559402207126e-05,-0.12721523642539978,911,5.70494270324707,0.9749445915222168,-10.068140983581543
13.856563480000002,29,1380,960,28500,16.79,2.782559402207126e-05,-0.12975820899009705,924,3.5215773582458496,0.9745928645133972,-9.872243881225586
15.381313590000001,29,1390,960,28720,17.71,2.782559402207126e-05,-0.13193708658218384,935,5.837904930114746,0.9742953777313232,-10.072783470153809
16.26322424,30,1400,960,28860,18.0,2.782559402207126e-05,-0.13183023035526276,942,7.562641143798828,0.9741060137748718,-10.177077293395996
15.495287080000002,30,1410,960,29040,17.52,2.782559402207126e-05,-0.13217014074325562,951,5.016714096069336,0.9738628268241882,-10.175182342529297
15.741617609999999,30,1420,960,29200,17.59,2.782559402207126e-05,-0.13390496373176575,959,6.770743370056152,0.9736469984054565,-10.332980155944824
15.64273799,30,1430,960,29340,17.44,2.782559402207126e-05,-0.13405001163482666,966,6.758452892303467,0.9734583497047424,-10.448728561401367
14.915760970000001,30,1440,960,29520,16.86,2.782559402207126e-05,-0.13688361644744873,975,6.00836181640625,0.9732158780097961,-10.446503639221191
15.875552830000002,30,1450,960,29700,17.35,2.782559402207126e-05,-0.13694389164447784,984,7.489152908325195,0.972973108291626,-10.316154479980469
15.834402390000001,31,1460,960,29940,17.43,2.782559402207126e-05,-0.13872477412223816,996,4.722841739654541,0.9726496934890747,-10.545331954956055
16.128230779999996,33,1470,895,30060,17.8,2.782559402207126e-05,-0.13941216468811035,1002,3.0031466484069824,0.9724879264831543,-10.700153350830078
17.76859978,33,1480,895,30280,18.53,2.782559402207126e-05,-0.14132021367549896,1013,4.628543376922607,0.9721912741661072,-10.890487670898438
16.23152918,34,1490,895,30480,17.48,2.782559402207126e-05,-0.14345188438892365,1023,4.655585765838623,0.9719218611717224,-10.798033714294434
16.741013909999996,34,1500,896,30720,17.91,2.782559402207126e-05,-0.14497855305671692,1035,7.641233444213867,0.9715986847877502,-10.936537742614746
17.33381004,34,1510,896,30900,18.55,2.782559402207126e-05,-0.14529666304588318,1044,6.221330165863037,0.9713560342788696,-10.970203399658203
16.72360886,34,1520,897,31100,18.36,2.782559402207126e-05,-0.14657586812973022,1054,5.644291877746582,0.9710868000984192,-10.811901092529297
16.958477570000003,34,1530,898,31380,18.79,2.782559402207126e-05,-0.14816559851169586,1068,6.797230243682861,0.9707108736038208,-11.06856918334961
20.113800299999998,35,1540,899,31520,20.41,2.782559402207126e-05,-0.15102067589759827,1075,3.6162970066070557,0.970522940158844,-11.03271484375
20.07601814,35,1550,899,31680,20.35,2.782559402207126e-05,-0.15085987746715546,1083,4.553516387939453,0.9703078269958496,-11.232919692993164
20.00618944,35,1560,900,31900,20.21,2.782559402207126e-05,-0.1529330611228943,1094,8.957597732543945,0.9700127243995667,-11.507136344909668
