time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/n_updates
14340,1558,32.553135,9,560,31.24,0.2661096155643463,0.00615848211066026,-3.9746439456939697,-6.510961532592773,0.1799628585577011,216
15100,1490,38.728394,10,570,34.13,0.2120387703180313,0.00615848211066026,-3.926097869873047,-7.646771430969238,0.15652941167354584,254
15540,1461,47.15061,10,580,38.96,0.1863536536693573,0.00615848211066026,-3.8648035526275635,-8.0145263671875,0.227539524435997,276
15920,1429,50.450634,11,590,40.18,0.1670999974012375,0.00615848211066026,-4.08736515045166,-8.192839622497559,0.16747675836086273,295
16300,1403,54.81492,11,600,42.46,0.14996284246444702,0.00615848211066026,-4.1569414138793945,-8.479538917541504,0.21389535069465637,314
16760,1377,60.368908,12,610,44.67,0.1320769339799881,0.00615848211066026,-4.320817947387695,-9.069971084594727,0.2612314820289612,337
17360,1351,63.22356,12,620,45.25,0.11242068558931351,0.00615848211066026,-4.613997936248779,-8.721820831298828,0.1520259827375412,367
17840,1332,67.0927,13,630,46.96,0.09941235929727554,0.00615848211066026,-4.478186130523682,-8.381383895874023,0.680370569229126,391
18400,1308,73.1444,14,640,49.72,0.08710309118032455,0.00615848211066026,-4.764266490936279,-9.575273513793945,0.34737786650657654,419
19180,1284,77.508606,14,650,50.96,0.07331576198339462,0.00615848211066026,-5.119068622589111,-10.164695739746094,0.20944848656654358,458
19740,1265,83.97695,15,660,52.22,0.06523698568344116,0.00615848211066026,-5.572343826293945,-7.956374168395996,0.14196011424064636,486
20260,1249,90.085556,16,670,53.76,0.05869973823428154,0.00615848211066026,-5.704276084899902,-5.0600104331970215,0.2307426482439041,512
21040,1231,92.40633,17,680,53.09,0.051260579377412796,0.00615848211066026,-5.855410099029541,-5.0789008140563965,0.24148112535476685,551
21960,1208,104.0073,18,690,56.68,0.04455200955271721,0.00615848211066026,-6.181301116943359,-3.251180648803711,0.3530503809452057,597
