time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/n_updates
10060,575,16.01171,17,460,20.87,0.9938604831695557,0.00615848211066026,-3.012843370437622,-0.024615226313471794,3.639540195465088,2
10340,571,16.352816,18,470,20.89,0.9114286303520203,0.00615848211066026,-4.646765232086182,-0.4666445255279541,0.3305536210536957,16
10420,567,16.334364,18,480,20.91,0.8890278935432434,0.00615848211066026,-4.642334938049316,-0.5922600626945496,0.3116550147533417,20
10660,571,16.196651,18,490,20.66,0.8250917792320251,0.00615848211066026,-4.637038707733154,-0.9693150520324707,0.2494012415409088,32
11000,576,16.775566,19,500,20.79,0.7424291968345642,0.00615848211066026,-4.529541492462158,-1.4978327751159668,0.24728286266326904,49
11180,578,17.337286,19,510,21.18,0.7021269202232361,0.00615848211066026,-4.397207736968994,-1.7754104137420654,0.18513241410255432,58
11560,583,17.091196,19,520,20.35,0.6241587400436401,0.00615848211066026,-4.376387119293213,-2.365900754928589,0.17046505212783813,77
11780,586,18.613356,20,530,21.52,0.5831471681594849,0.00615848211066026,-4.19047212600708,-2.732844829559326,0.28600382804870605,88
12000,590,21.110947,20,540,22.8,0.5448566675186157,0.00615848211066026,-4.150943756103516,-3.050123929977417,0.15436667203903198,99
12340,594,21.24114,20,550,22.81,0.4906569719314575,0.00615848211066026,-4.144321918487549,-3.586117744445801,0.15935739874839783,116
12660,597,23.344172,21,560,24.2,0.4446162283420563,0.00615848211066026,-4.09453010559082,-4.04527473449707,0.1806248128414154,132
13080,600,24.142544,21,570,25.14,0.3908683955669403,0.00615848211066026,-3.962883472442627,-4.632741928100586,0.12953539192676544,153
13500,605,27.823902,22,580,27.01,0.3437618613243103,0.00615848211066026,-3.83099627494812,-5.342837810516357,0.09961238503456116,174
13900,608,32.27697,22,590,30.4,0.3045599162578583,0.00615848211066026,-4.073541641235352,-5.869977951049805,0.16854402422904968,194
14500,614,36.225365,23,600,32.62,0.2543066442012787,0.00615848211066026,-4.010899066925049,-6.465559482574463,0.1052362471818924,224
14900,617,41.69711,24,610,35.05,0.22598662972450256,0.00615848211066026,-3.86784029006958,-6.806704998016357,0.1982024610042572,244
15400,622,45.996284,24,620,37.15,0.19534537196159363,0.00615848211066026,-4.12930154800415,-7.213816165924072,0.25833773612976074,269
15820,622,48.35105,25,630,37.63,0.17336471378803253,0.00615848211066026,-3.8515567779541016,-6.877291679382324,0.21432405710220337,290
16180,626,51.304882,25,640,39.08,0.15686367452144623,0.00615848211066026,-4.1024169921875,-8.071248054504395,0.11163951456546783,308
16520,629,55.961395,26,650,40.54,0.142957404255867,0.00615848211066026,-4.234717845916748,-7.946725845336914,0.10902419686317444,325
16880,632,60.155098,26,660,42.61,0.12998220324516296,0.00615848211066026,-4.423879146575928,-7.6130805015563965,0.14694270491600037,343
17160,635,63.21775,27,670,43.26,0.12088293582201004,0.00615848211066026,-4.906190872192383,-7.649287700653076,0.17755715548992157,357
17420,637,63.104935,27,680,42.38,0.1131332740187645,0.00615848211066026,-4.475553035736084,-7.625943183898926,0.25907573103904724,370
17720,638,62.09729,27,690,40.1,0.1049729436635971,0.00615848211066026,-4.41988468170166,-8.722280502319336,0.21564149856567383,385
18120,639,61.42023,28,700,38.72,0.09539271146059036,0.00615848211066026,-4.516182899475098,-7.796483039855957,0.2767055630683899,405
18300,640,58.64383,28,710,36.45,0.09162336587905884,0.00615848211066026,-4.821306228637695,-6.449491500854492,0.30338722467422485,414
18940,646,58.277832,29,720,35.57,0.07987722009420395,0.00615848211066026,-5.0516276359558105,-8.840860366821289,0.19435128569602966,446
19180,647,61.777355,29,730,36.71,0.07601597160100937,0.00615848211066026,-5.035777568817139,-5.939722061157227,0.2753599286079407,458
19640,650,62.15754,30,740,35.8,0.06944233924150467,0.00615848211066026,-5.3370137214660645,-8.641349792480469,0.3460068702697754,481
20760,577,67.633286,35,750,37.15,0.05660010874271393,0.00615848211066026,-5.608607292175293,-5.816718101501465,0.42019712924957275,537
20860,578,74.73566,36,760,39.64,0.05565762519836426,0.00615848211066026,-5.36065673828125,-6.686716079711914,0.34081336855888367,542
22100,590,82.92919,37,770,43.06,0.04522915929555893,0.00615848211066026,-6.374051570892334,-1.1620488166809082,0.3543093800544739,604
22260,592,91.19929,37,780,46.68,0.04430454596877098,0.00615848211066026,-6.343203544616699,-8.055542945861816,0.4718928337097168,612
23660,601,103.16295,39,790,51.72,0.03703099489212036,0.00615848211066026,-7.008938789367676,-5.387795448303223,0.6501749157905579,682
23760,601,114.342,39,800,56.75,0.03655045107007027,0.00615848211066026,-6.69620418548584,-3.0329949855804443,0.6363092660903931,687
25040,611,124.36502,40,810,61.09,0.03208595886826515,0.00615848211066026,-7.306405067443848,-0.626573920249939,0.7923760414123535,751
25080,611,130.42966,41,820,63.95,0.031984493136405945,0.00615848211066026,-8.3240385055542,-0.33354344964027405,0.29637062549591064,753
26680,617,135.69875,43,830,66.43,0.028999414294958115,0.00615848211066026,-8.160001754760742,-1.8826603889465332,0.33548396825790405,833
26760,617,146.24161,43,840,71.17,0.028891267254948616,0.00615848211066026,-8.905966758728027,-3.834030866622925,0.6904125213623047,837
28200,620,150.9953,45,850,73.35,0.02663993090391159,0.00615848211066026,-9.322986602783203,-0.4772394895553589,1.2491133213043213,909
28420,621,153.4506,45,860,74.99,0.0264616496860981,0.00615848211066026,-9.448266983032227,0.3327793478965759,0.8989995718002319,920
29020,625,149.3287,46,870,73.13,0.026168866083025932,0.00615848211066026,-9.46316146850586,-1.5118086338043213,0.7300431132316589,950
30040,538,149.69714,55,880,73.36,0.025399863719940186,0.00615848211066026,-10.317432403564453,0.34437209367752075,0.6907870769500732,1001
30580,541,149.63206,56,890,73.75,0.02523762732744217,0.00615848211066026,-9.722219467163086,5.827895164489746,0.6366695165634155,1028
30940,543,144.89204,56,900,71.52,0.025252439081668854,0.00615848211066026,-10.10529899597168,5.933712005615234,1.0246310234069824,1046
32260,550,144.14441,58,910,71.39,0.024481501430273056,0.00615848211066026,-11.1278657913208,-0.001075148582458496,1.1384824514389038,1112
32560,552,148.71957,58,920,72.98,0.024357963353395462,0.00615848211066026,-11.546653747558594,2.5373318195343018,0.900350034236908,1127
33900,558,148.94427,60,930,72.77,0.02325366623699665,0.00615848211066026,-12.302962303161621,-2.2015719413757324,1.3754591941833496,1194
34140,559,147.3759,60,940,72.24,0.02297160029411316,0.00615848211066026,-11.988182067871094,0.6872454881668091,0.8782171010971069,1206
34780,561,144.64442,61,950,70.96,0.022536523640155792,0.00615848211066026,-12.459123611450195,-1.0026004314422607,1.0203654766082764,1238
35640,564,138.2254,63,960,67.9,0.021627306938171387,0.00615848211066026,-12.439034461975098,-0.9591506719589233,2.0100746154785156,1281
36300,567,142.9701,64,970,70.08,0.02127900719642639,0.00615848211066026,-12.617238998413086,3.399688720703125,1.0625898838043213,1314
37240,571,146.5183,65,980,71.76,0.0211197379976511,0.00615848211066026,-13.502105712890625,0.9723263382911682,0.9036765694618225,1361
38020,574,146.28857,66,990,71.7,0.02173943631350994,0.00615848211066026,-13.381574630737305,4.439723968505859,2.188246250152588,1400
38940,576,152.06091,67,1000,74.27,0.02140011079609394,0.00615848211066026,-13.804773330688477,-1.4631420373916626,2.0156192779541016,1446
39660,578,155.17494,68,1010,75.74,0.020571749657392502,0.00615848211066026,-14.328839302062988,5.216796875,0.8749679327011108,1482
40600,517,154.83354,78,1020,76.05,0.02035653591156006,0.00615848211066026,-14.64580249786377,2.8746232986450195,1.875308871269226,1529
41400,521,157.26459,79,1030,77.39,0.019358282908797264,0.00615848211066026,-15.036823272705078,-1.803331732749939,1.7365742921829224,1569
42240,525,158.92433,80,1040,78.05,0.01962262950837612,0.00615848211066026,-15.560731887817383,-3.025143623352051,2.3280391693115234,1611
43100,529,163.02371,81,1050,79.91,0.01971297524869442,0.00615848211066026,-16.485450744628906,-2.816068649291992,1.9391391277313232,1654
43600,531,167.75957,82,1060,82.24,0.019951755180954933,0.00615848211066026,-16.373348236083984,2.4400463104248047,3.0176968574523926,1679
43740,532,161.563,82,1070,79.47,0.020248260349035263,0.00615848211066026,-16.706016540527344,-2.3757362365722656,1.1616756916046143,1686
45240,538,161.02217,84,1080,79.26,0.0219444390386343,0.00615848211066026,-17.775264739990234,-5.994248390197754,0.7511391043663025,1761
45400,538,161.57838,84,1090,79.48,0.02151312679052353,0.00615848211066026,-16.780174255371094,-3.764723300933838,1.8738821744918823,1769
46880,545,160.03201,85,1100,78.84,0.01776750572025776,0.00615848211066026,-17.623306274414062,3.1660242080688477,2.9087493419647217,1843
47100,546,160.82259,86,1110,79.17,0.01776537112891674,0.00615848211066026,-18.640277862548828,1.385819435119629,1.9162275791168213,1854
48460,551,160.7464,87,1120,78.96,0.01788112334907055,0.00615848211066026,-18.795284271240234,-1.1193392276763916,1.177060604095459,1922
48820,553,160.98364,88,1130,79.05,0.01793067902326584,0.00615848211066026,-18.846118927001953,1.5080969333648682,2.651836395263672,1940
