rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/learning_rate,train/ent_coef,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss
47.200962,640,40.39,16400,35,464,0.00379269019073225,0.30165302753448486,319,-4.635311126708984,-5.536366939544678,0.24917423725128174
52.6751,650,43.02,16960,35,471,0.00379269019073225,0.27251750230789185,347,-4.987456321716309,-5.9965972900390625,0.17643499374389648
59.514595,660,47.35,17520,36,478,0.00379269019073225,0.2465379685163498,375,-5.157477855682373,-6.203518867492676,0.18475398421287537
64.622246,670,49.26,18060,37,485,0.00379269019073225,0.22405458986759186,402,-5.072014331817627,-6.783359527587891,0.43207788467407227
70.64394,680,51.67,18600,37,491,0.00379269019073225,0.2039412558078766,429,-5.355916976928711,-6.563507556915283,0.38179734349250793
73.7019,690,53.21,19020,38,495,0.00379269019073225,0.18999359011650085,450,-5.299989223480225,-7.134876251220703,0.6116063594818115
77.2061,700,54.33,19340,38,498,0.00379269019073225,0.18010051548480988,466,-5.470591068267822,-7.308346271514893,0.371710866689682
79.415085,710,54.02,19840,39,503,0.00379269019073225,0.16592159867286682,491,-5.922707557678223,-7.996918201446533,0.4528436064720154
77.48789,720,51.93,20220,42,475,0.00379269019073225,0.15602289140224457,510,-6.052802085876465,-8.147683143615723,0.4135330617427826
77.93922,730,50.37,21300,43,485,0.00379269019073225,0.13152353465557098,564,-6.274474143981934,-7.855434417724609,0.6402869820594788
82.80716,740,51.72,21460,44,487,0.00379269019073225,0.1283053159713745,572,-6.188799858093262,-6.168820858001709,0.36737027764320374
87.03851,750,52.52,21880,44,491,0.00379269019073225,0.12057184427976608,593,-6.703778266906738,-6.700267314910889,0.19225797057151794
