time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/n_updates,train/critic_loss
23174,275.15868867,617,117.54,37,600,-118.95150756835938,0.0011288378916846883,0.12042489647865295,-0.6364980340003967,13173,9.903593063354492
24254,289.49639385,645,122.15,37,610,-119.63429260253906,0.0011288378916846883,0.12866856157779694,-0.5714417695999146,14253,22.148561477661133
25216,288.70340309,680,120.71,37,620,-130.18716430664062,0.0011288378916846883,0.12842528522014618,-0.18762019276618958,15215,13.839736938476562
26474,285.20312887999995,719,119.15,36,630,-132.51651000976562,0.0011288378916846883,0.12341108173131943,-0.4525369107723236,16473,15.271456718444824
27578,284.25081327,771,118.96,35,640,-130.84571838378906,0.0011288378916846883,0.12356025725603104,-0.6725664734840393,17577,14.56808853149414
28803,294.71772966000003,814,122.04,35,650,-140.25128173828125,0.0011288378916846883,0.11053038388490677,-0.315066397190094,18802,12.741963386535645
30406,309.66373328,879,126.17,34,660,-143.28854370117188,0.0011288378916846883,0.12693095207214355,-0.15422454476356506,20405,9.315439224243164
31658,311.09743926,927,124.94,34,670,-148.24734497070312,0.0011288378916846883,0.12983351945877075,-0.40451961755752563,21657,13.171859741210938
32776,312.66389952000003,970,123.64,33,680,-154.8570556640625,0.0011288378916846883,0.11899545043706894,0.45166683197021484,22775,13.233357429504395
34429,321.62327451,1051,124.42,32,690,-152.72207641601562,0.0011288378916846883,0.12265285104513168,-0.0718880295753479,24428,31.910280227661133
36096,340.75890219999997,1135,129.22,31,700,-159.89199829101562,0.0011288378916846883,0.12119997292757034,-0.3892524540424347,26095,12.353650093078613
38032,374.22807124999997,1232,137.78,30,710,-159.84136962890625,0.0011288378916846883,0.11661844700574875,0.44146668910980225,28031,15.77030086517334
40429,417.91841468,1349,152.13,29,720,-170.1459197998047,0.0011288378916846883,0.13543559610843658,0.3208908438682556,30428,21.00306510925293
42092,420.09880245,1529,156.18,27,730,-176.98345947265625,0.0011288378916846883,0.14288127422332764,-0.19903209805488586,32091,23.977890014648438
44127,434.94359725000004,1657,165.49,26,740,-185.03118896484375,0.0011288378916846883,0.125111922621727,0.14849188923835754,34126,43.14484405517578
46772,475.97064595000006,1834,179.69,25,750,-183.9083251953125,0.0011288378916846883,0.10180918872356415,0.4086673855781555,36771,27.548885345458984
49172,507.65966785000006,1998,187.66,24,760,-184.73468017578125,0.0011288378916846883,0.10543131828308105,-0.06027160584926605,39171,15.858041763305664
