time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/n_updates,train/critic_loss
11222,27.24528543,27,26.78,406,460,-11.704147338867188,0.0011288378916846883,0.2696848511695862,-4.676186561584473,1221,0.8596876859664917
11923,39.22790603000001,41,32.02,290,470,-16.69732093811035,0.0011288378916846883,0.15310914814472198,-3.761582851409912,1922,1.0127270221710205
12819,56.21818118,58,38.82,219,480,-24.661340713500977,0.0011288378916846883,0.08685975521802902,-4.049309730529785,2818,4.2237701416015625
13802,76.21377294,76,46.58,181,490,-33.239322662353516,0.0011288378916846883,0.05868096277117729,-0.857067346572876,3801,5.072591304779053
14948,99.41674399999998,96,56.04,155,500,-44.894935607910156,0.0011288378916846883,0.05586880072951317,-1.605898141860962,4947,2.2315142154693604
16339,125.64492656999997,122,67.98,133,510,-57.75341033935547,0.0011288378916846883,0.06510645151138306,0.5178471803665161,6338,7.519914150238037
18210,159.92690038,156,84.26,116,520,-72.02899169921875,0.0011288378916846883,0.07846049219369888,-0.8176050186157227,8209,7.973384857177734
19563,185.92677560000004,183,95.39,106,530,-84.4520492553711,0.0011288378916846883,0.08464935421943665,-0.027166754007339478,9562,3.2178688049316406
20739,210.09138119000002,206,105.42,100,540,-90.9728012084961,0.0011288378916846883,0.0793507993221283,-0.4495460093021393,10738,15.693403244018555
21811,226.09119371,225,110.4,96,550,-99.2742691040039,0.0011288378916846883,0.09534481912851334,-0.5251595973968506,11810,14.051006317138672
22814,239.72892303,240,115.92,94,560,-108.40359497070312,0.0011288378916846883,0.1102924644947052,0.002425640821456909,12813,29.257522583007812
23737,245.31128137,253,118.14,93,570,-111.19383239746094,0.0011288378916846883,0.10181159526109695,-0.7117524147033691,13736,21.097461700439453
24644,246.38391943000002,267,118.25,92,580,-111.86137390136719,0.0011288378916846883,0.08989039808511734,0.019672006368637085,14643,31.025146484375
26262,260.00591122000003,289,124.6,90,590,-121.17059326171875,0.0011288378916846883,0.0945148766040802,0.430049866437912,16261,11.335702896118164
27907,270.89654145000003,307,129.59,90,600,-127.36849975585938,0.0011288378916846883,0.08329704403877258,-0.45530715584754944,17906,7.108026504516602
29689,280.00977263,326,133.5,90,610,-130.989501953125,0.0011288378916846883,0.07763149589300156,-0.2890509366989136,19688,6.491742134094238
31287,278.50258103,344,130.77,90,620,-127.06971740722656,0.0011288378916846883,0.07733051478862762,-0.1880415827035904,21286,9.404424667358398
34206,294.2430178000001,382,146.43,89,630,-131.51405334472656,0.0011288378916846883,0.061526890844106674,0.4038400650024414,24205,7.877320766448975
35764,303.55003924,399,150.25,89,640,-131.92611694335938,0.0011288378916846883,0.05471131578087807,-0.7217918634414673,25763,16.54562759399414
37250,314.14619177000003,419,154.39,88,650,-131.44631958007812,0.0011288378916846883,0.05905257537961006,0.5094219446182251,27249,5.7812957763671875
38871,327.72286994,439,160.57,88,660,-130.614013671875,0.0011288378916846883,0.06312735378742218,0.7168066501617432,28870,6.625941276550293
41023,347.8030691200001,461,172.86,88,670,-127.31706237792969,0.0011288378916846883,0.05083056911826134,-0.6510976552963257,31022,11.768692016601562
42448,362.13104735,479,178.04,88,680,-131.08360290527344,0.0011288378916846883,0.04751364514231682,0.5892844796180725,32447,4.094176769256592
43627,354.4567796700001,494,173.65,88,690,-133.34530639648438,0.0011288378916846883,0.04926532506942749,-0.8878476023674011,33626,7.565009117126465
44909,350.618919,508,170.02,88,700,-135.62744140625,0.0011288378916846883,0.047213755548000336,0.09392786026000977,34908,8.035775184631348
46382,348.36568787000004,526,166.93,88,710,-131.92227172851562,0.0011288378916846883,0.04893079772591591,-0.6557583808898926,36381,7.72919225692749
48010,350.8727288900001,544,167.23,88,720,-132.34722900390625,0.0011288378916846883,0.0389181524515152,0.664025068283081,38009,15.17520523071289
49237,334.82392003,563,150.31,87,730,-134.21841430664062,0.0011288378916846883,0.03972528502345085,1.488945484161377,39236,12.436113357543945
