time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef_loss
1044,61800,59,243.79416082999995,106.09,1200,0.03964126110076904,0.0016681005372000592,2589,1.4137370586395264,-26.669906616210938,-3.895455837249756
1041,63780,61,245.20386967000005,106.75,1210,0.037966806441545486,0.0016681005372000592,2688,3.207848072052002,-27.689300537109375,-0.5444658994674683
1039,64200,61,250.62292417,108.92,1220,0.03780471533536911,0.0016681005372000592,2709,2.4008724689483643,-28.824525833129883,-2.511847734451294
1035,66080,63,251.56601892000003,109.49,1230,0.03672012686729431,0.0016681005372000592,2803,4.303033828735352,-29.073226928710938,-1.2696893215179443
1033,66400,64,251.47058936999997,109.52,1240,0.03653550520539284,0.0016681005372000592,2819,2.215214729309082,-29.278772354125977,-3.977558135986328
1030,68340,66,251.81947018,109.82,1250,0.03511257469654083,0.0016681005372000592,2916,3.983595132827759,-30.73436737060547,-0.8019570112228394
1029,68600,66,253.22009417,110.35,1260,0.03495895862579346,0.0016681005372000592,2929,4.194336891174316,-32.168251037597656,-1.2664403915405273
1027,70620,68,255.50442094,110.94,1270,0.033873241394758224,0.0016681005372000592,3030,1.6721265316009521,-31.71412467956543,-0.10573633015155792
1025,70940,69,259.31488057999996,111.74,1280,0.03382699936628342,0.0016681005372000592,3046,2.42744517326355,-31.77688217163086,-1.250011682510376
1023,72880,71,262.20342123,112.37,1290,0.032732054591178894,0.0016681005372000592,3143,2.6142594814300537,-33.1307373046875,-3.0507140159606934
1023,73260,71,263.16466485999996,113.46,1300,0.03243096545338631,0.0016681005372000592,3162,2.7443251609802246,-34.494937896728516,-1.4586398601531982
1019,75420,73,263.97313796,114.32,1310,0.031194454059004784,0.0016681005372000592,3270,4.263294219970703,-34.58586883544922,-1.7544424533843994
1019,75680,74,264.19705544,114.56,1320,0.03104834072291851,0.0016681005372000592,3283,4.123098850250244,-34.64057159423828,1.0456798076629639
1016,77760,76,266.71143758,115.93,1330,0.030459508299827576,0.0016681005372000592,3387,2.8304524421691895,-35.553592681884766,1.9418785572052002
1016,78100,76,267.18451924,116.68,1340,0.030384982004761696,0.0016681005372000592,3404,7.087495803833008,-36.816654205322266,-0.9634753465652466
1014,80120,79,270.20284052999995,117.48,1350,0.02967170439660549,0.0016681005372000592,3505,1.7711915969848633,-36.421173095703125,-1.3817061185836792
1014,80440,79,273.98503525000007,118.31,1360,0.029573392122983932,0.0016681005372000592,3521,6.948380470275879,-37.0185432434082,0.08091044425964355
1011,82620,81,279.13082804000004,119.14,1370,0.0290811900049448,0.0016681005372000592,3630,3.561412811279297,-38.40127944946289,-0.8260905742645264
1010,83420,82,284.3664586,120.42,1380,0.028701502829790115,0.0016681005372000592,3670,3.6975228786468506,-38.79362487792969,0.6423541307449341
1009,85260,84,290.64313071,122.23,1390,0.028309844434261322,0.0016681005372000592,3762,1.4332106113433838,-40.7099609375,-2.3112282752990723
1008,85780,85,296.20386877000004,123.47,1400,0.02827022783458233,0.0016681005372000592,3788,8.159941673278809,-41.592674255371094,1.1769719123840332
1007,87600,86,300.58169512,124.38,1410,0.028230823576450348,0.0016681005372000592,3879,7.783852577209473,-41.125579833984375,0.991675615310669
1006,88340,87,303.43894577,125.05,1420,0.028688449412584305,0.0016681005372000592,3916,12.267611503601074,-40.7271614074707,1.5662492513656616
1006,90180,89,303.79399717999996,125.17,1430,0.02956981770694256,0.0016681005372000592,4008,2.301671028137207,-43.7614860534668,1.09153413772583
1006,90640,90,308.04257307999995,125.56,1440,0.02974112518131733,0.0016681005372000592,4031,2.062133312225342,-44.19776153564453,0.7650005221366882
1004,92740,92,312.11329252999997,126.16,1450,0.030466850847005844,0.0016681005372000592,4136,8.026117324829102,-43.91541290283203,-0.7762262225151062
1003,93020,92,314.4838804099999,126.28,1460,0.030400501564145088,0.0016681005372000592,4150,2.8006954193115234,-43.99169158935547,0.4760039150714874
