time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/actor_loss,train/ent_coef,train/critic_loss,train/ent_coef_loss,train/n_updates
33700,1050,34,78.48,158.8977,987,0.01,-10.82104206085205,0.030237331986427307,1.2083500623703003,-1.1403555870056152,1184
34960,1060,35,79.11,160.42609,998,0.01,-11.777618408203125,0.03250148519873619,1.200383186340332,-0.4507904052734375,1247
35340,1070,35,80.43,163.44415,1000,0.01,-12.242947578430176,0.0328809916973114,1.177650809288025,0.5203143954277039,1266
36660,1080,36,81.17,165.14928,1002,0.01,-12.856213569641113,0.03396936133503914,1.3026164770126343,0.7040319442749023,1332
36980,1090,36,81.69,166.21394,1003,0.01,-12.402507781982422,0.03396028280258179,1.644134759902954,3.445721387863159,1348
38300,1100,37,81.15,165.41142,1008,0.01,-13.253741264343262,0.03445001691579819,1.1512744426727295,1.0309231281280518,1414
38500,1110,38,81.17,165.5302,1009,0.01,-13.256891250610352,0.03473609313368797,1.0436968803405762,-0.5260008573532104,1424
39940,1120,39,81.32,165.78232,1003,0.01,-14.398845672607422,0.03343511000275612,0.8156914710998535,-0.12217524647712708,1496
40060,1130,44,81.2,165.39076,891,0.01,-14.464653968811035,0.03339039534330368,1.0907492637634277,2.0711238384246826,1502
41560,1140,46,81.07,165.06656,897,0.01,-14.680431365966797,0.03399031236767769,2.1982550621032715,2.670620918273926,1577
41740,1150,46,80.98,164.84694,896,0.01,-15.100584030151367,0.03432087600231171,1.1912221908569336,0.20779377222061157,1586
43240,1160,48,81.36,165.68687,898,0.01,-15.680654525756836,0.028071807697415352,1.1976304054260254,0.542877733707428,1661
43420,1170,48,81.23,165.3786,899,0.01,-15.133363723754883,0.028345951810479164,1.7023345232009888,3.737501859664917,1670
44880,1180,49,80.22,163.2548,905,0.01,-16.465831756591797,0.03126078471541405,2.8032522201538086,0.9484326839447021,1743
45120,1190,49,80.25,163.24535,905,0.01,-16.36745834350586,0.03182884305715561,2.8261260986328125,2.4774022102355957,1755
46560,1200,51,81.03,164.93633,908,0.01,-16.68177604675293,0.03263453394174576,2.136465311050415,-0.4975927472114563,1827
46840,1210,51,81.71,166.47662,907,0.01,-17.37364387512207,0.031849414110183716,3.003584861755371,-0.06475549936294556,1841
48160,1220,52,81.64,166.37784,913,0.01,-17.472976684570312,0.03355169668793678,1.488743782043457,2.1744816303253174,1907
48560,1230,53,81.98,167.19615,915,0.01,-18.47618293762207,0.03527150675654411,1.3348145484924316,-2.1442203521728516,1927
49880,1240,54,82.21,167.69789,921,0.01,-19.080074310302734,0.02855781838297844,2.334346294403076,-0.32065796852111816,1993
