time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss
24570,786,590,119.37,299.62557301,31,0.0006951927961775605,14569,0.5620123744010925,-134.56924438476562,0.11552482098340988,12.455225944519043
25728,827,600,120.79,303.20848838000006,31,0.0006951927961775605,15727,0.17168712615966797,-141.89984130859375,0.1171535924077034,24.805591583251953
27067,886,610,123.54,313.9086796,30,0.0006951927961775605,17066,-0.7414861917495728,-148.292724609375,0.11080043017864227,12.772923469543457
28375,931,620,124.5,315.88581534,30,0.0006951927961775605,18374,-0.061522454023361206,-149.74581909179688,0.10969386994838715,19.94833755493164
29664,990,630,123.78,314.77849041,29,0.0006951927961775605,19663,0.13671138882637024,-148.02081298828125,0.11336091160774231,29.949085235595703
30932,1035,640,124.26,316.37033636,29,0.0006951927961775605,20931,-0.04828646779060364,-151.75538635253906,0.11830541491508484,53.12548065185547
32290,1094,650,125.76,322.05718714,29,0.0006951927961775605,22289,0.9294690489768982,-158.70230102539062,0.12351669371128082,21.309541702270508
33791,1155,660,129.26,335.88107562,29,0.0006951927961775605,23790,0.14059916138648987,-164.65798950195312,0.12537889182567596,21.106395721435547
35594,1244,670,135.47,362.25231073000003,28,0.0006951927961775605,25593,0.30458176136016846,-171.749267578125,0.1404108703136444,26.704814910888672
37446,1335,680,140.97,382.72311535,28,0.0006951927961775605,27445,-0.3693545162677765,-181.5953826904297,0.1511768102645874,38.484764099121094
40328,1500,690,157.58,432.42249731,26,0.0006951927961775605,30327,-0.1779031902551651,-186.2845458984375,0.15936648845672607,33.71426010131836
42227,1617,700,164.99,451.8905230000001,26,0.0006951927961775605,32226,0.3467010259628296,-194.9678955078125,0.14761777222156525,22.321949005126953
44855,1782,710,177.88,488.13239795999993,25,0.0006951927961775605,34854,-0.26969844102859497,-191.1254425048828,0.1472868025302887,104.82394409179688
46617,1887,720,182.42,492.48520332999993,24,0.0006951927961775605,36616,-0.36238622665405273,-201.97857666015625,0.13303013145923615,20.08110809326172
47600,1926,730,179.36,479.95931817999997,24,0.0006951927961775605,37599,0.43538594245910645,-198.91696166992188,0.1299152374267578,35.8111457824707
49046,1989,740,181.14,489.78393252,24,0.0006951927961775605,39045,-0.09272968769073486,-201.93850708007812,0.1293753683567047,36.9578857421875
