time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/n_updates,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/learning_rate,train/ent_coef
518,44.35,34,63.83177,17840,690,391,-7.549001693725586,-4.841811656951904,0.28968584537506104,0.004641588833612777,0.17049165070056915
525,45.16,34,66.0501,18380,700,418,-6.699397087097168,-5.245196342468262,0.2508850395679474,0.004641588833612777,0.1528579294681549
529,46.27,35,71.270515,18740,710,436,-7.499968528747559,-5.2657246589660645,0.5672855377197266,0.004641588833612777,0.1425073891878128
533,44.68,35,71.3488,19100,720,454,-7.244202613830566,-5.592376708984375,0.20142266154289246,0.004641588833612777,0.1328728049993515
536,45.39,36,73.05321,19340,730,466,-7.882134437561035,-5.593813896179199,0.13691183924674988,0.004641588833612777,0.12703052163124084
514,44.24,38,72.08115,20000,740,499,-7.252922534942627,-5.681283950805664,0.3655140995979309,0.004641588833612777,0.11267375200986862
520,45.52,39,75.92422,20560,750,527,-7.056746959686279,-5.808672904968262,0.30227500200271606,0.004641588833612777,0.10234004259109497
526,46.4,40,81.80017,21080,760,553,-8.754972457885742,-5.796531677246094,0.48366132378578186,0.004641588833612777,0.09386294335126877
531,47.8,40,86.6117,21660,770,582,-5.069454669952393,-6.24299430847168,0.7187638878822327,0.004641588833612777,0.08509955555200577
536,48.29,41,88.78903,22080,780,603,-4.590640544891357,-6.679926872253418,0.1447814404964447,0.004641588833612777,0.07971695065498352
539,47.32,41,87.80808,22360,790,617,-9.432548522949219,-6.334774494171143,0.4170890748500824,0.004641588833612777,0.07672550529241562
547,50.27,43,95.729485,23680,800,683,-7.574795722961426,-7.542148113250732,0.270537793636322,0.004641588833612777,0.06393995136022568
549,53.42,43,104.46363,24000,810,699,-6.596809387207031,-7.517665863037109,0.4403272271156311,0.004641588833612777,0.061433106660842896
560,58.75,45,116.49529,25220,820,760,-3.0595712661743164,-7.815703392028809,0.36620789766311646,0.004641588833612777,0.053644586354494095
562,61.9,45,124.74343,25480,830,773,-5.147724151611328,-7.989921569824219,1.0075560808181763,0.004641588833612777,0.05239010602235794
572,66.77,46,136.14412,26740,840,836,-2.814699172973633,-8.91624641418457,0.6453739404678345,0.004641588833612777,0.04636897146701813
575,67.6,47,139.36635,27180,850,858,-3.523813009262085,-8.977426528930664,0.6762455701828003,0.004641588833612777,0.04451431706547737
582,69.6,48,143.04146,28360,860,917,-2.210236072540283,-9.004562377929688,1.1762821674346924,0.004641588833612777,0.04095205292105675
585,72.58,49,149.2444,28900,870,944,1.2717593908309937,-9.359325408935547,0.6648415327072144,0.004641588833612777,0.039537131786346436
519,76.24,57,156.73969,30060,880,1002,-0.1411534547805786,-10.396398544311523,0.8558574318885803,0.004641588833612777,0.036332547664642334
524,80.22,58,165.28667,30600,890,1029,-4.144057273864746,-10.079248428344727,0.8725741505622864,0.004641588833612777,0.03543197736144066
533,81.27,59,167.32646,31720,900,1085,-4.47398042678833,-11.041467666625977,1.4172585010528564,0.004641588833612777,0.03327058628201485
536,81.18,59,166.31717,32120,910,1105,-4.583491802215576,-11.196260452270508,0.6810383200645447,0.004641588833612777,0.0324297733604908
544,81.25,61,166.30289,33320,920,1165,1.2782654762268066,-11.40151596069336,0.7654098272323608,0.004641588833612777,0.030596496537327766
547,81.44,61,166.62616,33780,930,1188,-1.6261588335037231,-11.524089813232422,1.4516032934188843,0.004641588833612777,0.02998574823141098
553,81.76,63,166.8757,34920,940,1245,-0.18245626986026764,-12.356317520141602,0.8188915252685547,0.004641588833612777,0.02948954328894615
555,81.94,63,167.15439,35340,950,1266,3.381495952606201,-12.348581314086914,1.2951877117156982,0.004641588833612777,0.029176369309425354
562,81.85,64,166.58083,36500,960,1324,2.098458766937256,-13.250511169433594,2.4777464866638184,0.004641588833612777,0.02822558768093586
565,81.66,65,165.9223,37040,970,1351,-1.5310287475585938,-13.475835800170898,1.2506310939788818,0.004641588833612777,0.028833655640482903
571,81.51,66,165.56766,38160,980,1407,-4.7076334953308105,-14.41952133178711,1.8379031419754028,0.004641588833612777,0.029035236686468124
574,81.28,67,164.96736,38640,990,1431,-2.8274154663085938,-14.400490760803223,0.4937981069087982,0.004641588833612777,0.028270017355680466
578,80.88,68,163.94588,39780,1000,1488,3.0315017700195312,-15.25855827331543,1.4766411781311035,0.004641588833612777,0.025840431451797485
526,81.11,76,164.32898,40300,1010,1514,-0.3924591541290283,-15.831995010375977,0.8996991515159607,0.004641588833612777,0.025555480271577835
532,81.02,77,163.92523,41380,1020,1568,3.192046880722046,-15.46576976776123,1.554203748703003,0.004641588833612777,0.02470255456864834
535,81.15,78,164.2526,41940,1030,1596,-1.5019817352294922,-15.885712623596191,1.3944778442382812,0.004641588833612777,0.02444951981306076
542,81.27,79,164.4555,43040,1040,1651,1.0031064748764038,-16.22222137451172,1.7372124195098877,0.004641588833612777,0.023423556238412857
545,81.22,79,164.47253,43520,1050,1675,-4.6732258796691895,-17.067020416259766,2.047971487045288,0.004641588833612777,0.02359505370259285
550,81.28,81,164.60454,44740,1060,1736,-0.35680872201919556,-17.384506225585938,1.1836986541748047,0.004641588833612777,0.0222142543643713
552,81.14,81,164.1599,45160,1070,1757,2.0031070709228516,-17.867618560791016,1.3663978576660156,0.004641588833612777,0.022055111825466156
558,81.82,83,166.17682,46360,1080,1817,-1.6908299922943115,-17.797931671142578,0.9648309350013733,0.004641588833612777,0.022303123027086258
560,81.75,83,165.9795,46740,1090,1836,-2.621305465698242,-17.944984436035156,1.139336347579956,0.004641588833612777,0.02192653715610504
564,82.16,85,167.10724,48040,1100,1901,-0.9180343747138977,-18.939929962158203,1.560455083847046,0.004641588833612777,0.021703705191612244
565,82.2,85,167.26624,48440,1110,1921,-0.7120477557182312,-19.034570693969727,0.9244555234909058,0.004641588833612777,0.02142978459596634
571,82.46,86,168.10391,49640,1120,1981,2.8931314945220947,-19.541183471679688,3.1063804626464844,0.004641588833612777,0.02115516923367977
