time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/n_updates,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/learning_rate,train/ent_coef
2256,20.84,5,16.144829,11620,540,80,-1.8608506917953491,-4.562875747680664,0.2757056653499603,0.004641588833612777,0.6916051506996155
2082,20.81,5,16.271822,11840,550,91,-2.116446018218994,-4.425127029418945,0.2521398067474365,0.004641588833612777,0.6570696234703064
2014,20.79,6,16.364614,12120,560,105,-2.4457831382751465,-4.446911811828613,0.23224899172782898,0.004641588833612777,0.6156824827194214
1884,21.48,6,17.72731,12400,570,119,-2.787933588027954,-4.405947685241699,0.15768738090991974,0.004641588833612777,0.5768683552742004
1847,22.44,6,18.99876,12640,580,131,-3.057321548461914,-4.3822221755981445,0.1262795329093933,0.004641588833612777,0.545561671257019
1811,23.19,7,19.51464,12920,590,145,-3.3596065044403076,-4.253922939300537,0.281067430973053,0.004641588833612777,0.5112417340278625
1719,24.03,7,20.802729,13440,600,171,-3.9713425636291504,-4.249828338623047,0.1898694634437561,0.004641588833612777,0.45324093103408813
1646,25.98,8,23.660158,13880,610,193,-4.421300888061523,-4.251503944396973,0.15229551494121552,0.004641588833612777,0.4094216823577881
1597,29.17,8,28.131432,14260,620,212,-4.856219291687012,-4.276620864868164,0.20780159533023834,0.004641588833612777,0.37522080540657043
1543,31.43,9,31.598478,14740,630,236,-5.41886043548584,-4.205685615539551,0.135930135846138,0.004641588833612777,0.3361351490020752
1498,33.6,10,35.05258,15240,640,261,-5.881429672241211,-4.33219051361084,0.15670110285282135,0.004641588833612777,0.29993829131126404
1459,35.69,10,39.13716,15880,650,293,-6.507122039794922,-4.422673225402832,0.13912788033485413,0.004641588833612777,0.2595455050468445
1419,40.15,11,47.093056,16300,660,314,-6.9573869705200195,-4.686648845672607,0.08649033308029175,0.004641588833612777,0.23633241653442383
1386,41.98,12,50.86323,16920,670,345,-7.1497602462768555,-4.656247138977051,0.20179417729377747,0.004641588833612777,0.206081360578537
1362,44.86,12,57.06698,17500,680,374,-8.117107391357422,-4.724148273468018,0.301827073097229,0.004641588833612777,0.18183661997318268
1335,46.53,13,62.055214,17960,690,397,-7.336801528930664,-4.916587829589844,0.19191232323646545,0.004641588833612777,0.16500914096832275
1319,49.72,13,68.28635,18280,700,413,-7.58059024810791,-5.116472244262695,0.20926716923713684,0.004641588833612777,0.15444885194301605
1294,51.3,14,71.64444,18840,710,441,-7.704684734344482,-4.903345108032227,0.3401786684989929,0.004641588833612777,0.13789820671081543
1285,49.81,14,71.58068,19240,720,461,-8.96424388885498,-5.158511161804199,0.3021596670150757,0.004641588833612777,0.12767617404460907
1279,48.64,15,71.37831,19580,730,478,-8.491100311279297,-5.610894680023193,0.13433614373207092,0.004641588833612777,0.11956345289945602
1260,50.68,16,78.67869,20680,740,533,-7.108222007751465,-5.737652778625488,0.33262038230895996,0.004641588833612777,0.09741434454917908
1252,54.36,16,89.99881,21180,750,558,-7.462948322296143,-5.883866786956787,0.32440313696861267,0.004641588833612777,0.08955322951078415
1231,53.51,17,90.97793,21900,760,594,-9.167692184448242,-6.049096584320068,0.3573570251464844,0.004641588833612777,0.07978302240371704
1225,54.01,18,93.12672,22140,770,606,-6.288456916809082,-6.317426681518555,0.6851909756660461,0.004641588833612777,0.07683917135000229
1199,56.23,19,100.102684,23400,780,669,-5.513106346130371,-6.513431549072266,0.2840067148208618,0.004641588833612777,0.06386104226112366
1187,59.97,20,109.296425,23880,790,693,-6.515755653381348,-6.872809886932373,0.2851947844028473,0.004641588833612777,0.05980994179844856
