rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/n_updates
171.56679802,164,18685,80.72,113,570,-78.63013458251953,12.523153305053711,0.5028418302536011,0.0008858667904100823,0.08954421430826187,8684
186.2346139,181,19634,85.42,108,580,-83.9179916381836,10.758907318115234,0.4679288864135742,0.0008858667904100823,0.09665074944496155,9633
196.46313287,198,20546,89.83,103,590,-87.70968627929688,7.0491533279418945,0.20595768094062805,0.0008858667904100823,0.10175823420286179,10545
199.94329388000003,213,21444,90.94,100,600,-94.7134017944336,45.0219612121582,-0.33640605211257935,0.0008858667904100823,0.0950884148478508,11443
205.86830917,230,22503,92.89,97,610,-96.90412902832031,10.078495025634766,0.8530464172363281,0.0008858667904100823,0.08913370221853256,12502
213.78529279000003,251,23618,95.62,94,620,-102.99238586425781,10.286846160888672,0.9008404016494751,0.0008858667904100823,0.08895710855722427,13617
224.05560067000002,275,24996,100.98,90,630,-109.63700866699219,6.759276390075684,-0.2126387357711792,0.0008858667904100823,0.08756369352340698,14995
240.90758862,310,26873,110.93,86,640,-119.39380645751953,5.131401538848877,-0.09876351058483124,0.0008858667904100823,0.09023311734199524,16872
256.05943215,347,28913,121.98,83,650,-125.30606842041016,36.39928436279297,-0.1669241487979889,0.0008858667904100823,0.08656855672597885,18912
266.26773864,378,30622,129.17,81,660,-127.53663635253906,8.518656730651855,-0.397926926612854,0.0008858667904100823,0.09263131767511368,20621
274.51041660999994,401,31990,133.05,79,670,-131.966796875,10.590473175048828,-0.9355849623680115,0.0008858667904100823,0.08821352571249008,21989
285.63828007999996,424,33393,137.59,78,680,-131.06982421875,21.7896728515625,0.19376757740974426,0.0008858667904100823,0.08770796656608582,23392
303.41987702,451,35022,144.76,77,690,-135.67189025878906,7.599435329437256,-0.8071766495704651,0.0008858667904100823,0.08101017773151398,25021
319.86531549999995,477,36662,152.18,76,700,-139.43637084960938,10.97014331817627,0.3581126928329468,0.0008858667904100823,0.09417182952165604,26661
326.10118752999995,502,38246,157.43,76,710,-145.26849365234375,7.480343818664551,-0.554349958896637,0.0008858667904100823,0.0890854075551033,28245
325.71073838999996,532,39888,162.7,74,720,-139.32858276367188,22.753463745117188,0.16154175996780396,0.0008858667904100823,0.09238497912883759,29887
