time/fps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef,train/ent_coef_loss
533,88.96,1150,191.14168,42080,78,0.000545559478116852,1603,4.80565881729126,-19.888534545898438,0.4324667155742645,-3.24288272857666
537,87.88,1160,191.1889,42840,79,0.000545559478116852,1641,5.38790225982666,-20.104755401611328,0.42471620440483093,-3.418168783187866
542,87.37,1170,190.93536,43780,80,0.000545559478116852,1688,3.056680202484131,-20.65825653076172,0.4153560996055603,-3.2942047119140625
546,86.44,1180,189.46967,44580,81,0.000545559478116852,1728,6.962377548217773,-21.362808227539062,0.4074387848377228,-3.5168263912200928
551,85.85,1190,188.41318,45480,82,0.000545559478116852,1773,6.679099082946777,-21.82992935180664,0.39898213744163513,-3.478283405303955
554,85.36,1200,187.43039,46220,83,0.000545559478116852,1810,6.545792579650879,-21.751943588256836,0.39211973547935486,-3.4176573753356934
559,84.77,1210,187.10956,47180,84,0.000545559478116852,1858,6.759791374206543,-22.642242431640625,0.3834739625453949,-3.4044244289398193
562,84.67,1220,187.2177,47900,85,0.000545559478116852,1894,3.823686122894287,-22.75522232055664,0.3770707845687866,-3.6601967811584473
567,84.47,1230,187.02232,48840,86,0.000545559478116852,1941,7.718113422393799,-24.143630981445312,0.3689150810241699,-3.5486793518066406
570,84.25,1240,186.37053,49540,86,0.000545559478116852,1976,4.178601264953613,-24.698509216308594,0.36285269260406494,-3.732416868209839
