rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/n_updates,train/actor_loss
17.739344,5,11420,22.25,2244,520,0.0011288378916846883,0.9249469041824341,-0.39455559849739075,0.4280962347984314,70,-5.253662109375
17.906208,5,11680,22.5,2155,530,0.0011288378916846883,0.9114481806755066,-0.47048431634902954,0.2381887435913086,83,-5.318778991699219
18.091734,5,11820,22.33,2101,540,0.0011288378916846883,0.9042598605155945,-0.504981279373169,0.3630293607711792,90,-5.316776275634766
17.456795,6,12100,22.07,2002,550,0.0011288378916846883,0.8900668025016785,-0.5900986194610596,0.4715210795402527,104,-5.514805793762207
16.926546,6,12400,22.02,1914,560,0.0011288378916846883,0.8750923871994019,-0.6737176179885864,0.2792116701602936,119,-5.472531318664551
19.471674,6,12640,23.2,1864,570,0.0011288378916846883,0.8633072376251221,-0.7441035509109497,0.4434925317764282,131,-5.35109806060791
19.414248,6,12740,23.15,1840,580,0.0011288378916846883,0.8584433794021606,-0.7686120867729187,0.37938448786735535,136,-5.517760753631592
20.40948,7,13040,23.86,1789,590,0.0011288378916846883,0.8440115451812744,-0.8583294153213501,0.4154714047908783,151,-5.604079723358154
20.668373,7,13300,23.78,1749,600,0.0011288378916846883,0.8317142724990845,-0.9293639659881592,0.5606763362884521,164,-5.764647483825684
20.84628,8,13660,23.96,1702,610,0.0011288378916846883,0.8149716258049011,-1.0295560359954834,0.3971954584121704,182,-5.71923828125
21.363144,8,13880,24.88,1675,620,0.0011288378916846883,0.8049060106277466,-1.0904655456542969,0.30860888957977295,193,-5.785586357116699
21.424719,8,14160,24.78,1647,630,0.0011288378916846883,0.7922849059104919,-1.1674245595932007,0.4018395245075226,207,-5.825590133666992
21.145964,8,14520,24.57,1613,640,0.0011288378916846883,0.7763752341270447,-1.2747092247009277,0.5858538150787354,225,-5.9435038566589355
22.760643,9,14860,25.4,1580,650,0.0011288378916846883,0.7616316676139832,-1.3636016845703125,0.43933922052383423,242,-5.944004058837891
26.580784,9,15120,27.53,1563,660,0.0011288378916846883,0.7505581974983215,-1.4390884637832642,0.4835837483406067,255,-6.005458354949951
26.581858,10,15400,27.78,1537,670,0.0011288378916846883,0.7388080954551697,-1.5315144062042236,0.30802884697914124,269,-6.209940433502197
27.54821,10,15820,28.64,1503,680,0.0011288378916846883,0.7215612530708313,-1.6323494911193848,0.4114782214164734,290,-6.236811637878418
29.829842,10,16160,29.26,1479,690,0.0011288378916846883,0.7078862190246582,-1.736559510231018,0.26844221353530884,307,-6.460477828979492
31.16954,11,16440,30.23,1461,700,0.0011288378916846883,0.6968398690223694,-1.8129305839538574,0.6303832530975342,321,-6.39007568359375
32.423832,11,16660,30.28,1447,710,0.0011288378916846883,0.6882785558700562,-1.8608925342559814,0.3542722463607788,332,-6.60897970199585
32.18669,11,17080,29.87,1429,720,0.0011288378916846883,0.6722425818443298,-1.9871646165847778,0.6213152408599854,353,-6.574382305145264
34.2718,12,17580,31.25,1404,730,0.0011288378916846883,0.6536528468132019,-2.1116127967834473,0.24360662698745728,378,-6.682142734527588
37.78252,13,18080,33.97,1386,740,0.0011288378916846883,0.6356265544891357,-2.269713878631592,0.8163249492645264,403,-6.816143989562988
39.71911,13,18460,35.28,1370,750,0.0011288378916846883,0.6222972273826599,-2.3447213172912598,0.5479471683502197,422,-7.1214799880981445
41.0677,14,19040,36.09,1351,760,0.0011288378916846883,0.6024817228317261,-2.470787525177002,0.6563848257064819,451,-7.100697994232178
43.35878,14,19600,37.04,1333,770,0.0011288378916846883,0.583959698677063,-2.6303439140319824,0.46273893117904663,479,-7.541390419006348
47.423683,15,20120,39.51,1318,780,0.0011288378916846883,0.5673200488090515,-2.807861804962158,1.0582950115203857,505,-7.45938777923584
52.79468,15,20700,43.19,1302,790,0.0011288378916846883,0.549435555934906,-2.959977149963379,0.5014111995697021,534,-7.60385274887085
57.572735,16,21240,45.72,1284,800,0.0011288378916846883,0.533304750919342,-3.1340808868408203,0.3552907109260559,561,-8.04638385772705
62.882614,17,22040,49.27,1266,810,0.0011288378916846883,0.5103765726089478,-3.243624210357666,0.3611658215522766,601,-8.34321403503418
71.840576,18,22800,53.96,1249,820,0.0011288378916846883,0.48952600359916687,-3.4131264686584473,0.9176536798477173,639,-8.240198135375977
77.229,19,23580,57.44,1234,830,0.0011288378916846883,0.4691186249256134,-3.6372337341308594,1.3249250650405884,678,-8.635515213012695
82.26961,19,24040,59.99,1222,840,0.0011288378916846883,0.4575309753417969,-3.771803855895996,1.3945149183273315,701,-8.787879943847656
85.8516,20,24680,61.6,1210,850,0.0011288378916846883,0.4419310986995697,-3.8122072219848633,0.9224349856376648,733,-8.937161445617676
89.56532,21,25660,63.42,1195,860,0.0011288378916846883,0.41928383708000183,-4.090485572814941,1.2864208221435547,782,-9.466388702392578
94.31114,21,26140,66.35,1188,870,0.0011288378916846883,0.40869492292404175,-4.041446208953857,0.5423027276992798,806,-9.832950592041016
98.13666,23,27140,67.93,1178,880,0.0011288378916846883,0.38744571805000305,-4.284521102905273,0.8098227977752686,856,-10.293429374694824
101.635574,23,27840,69.14,1170,890,0.0011288378916846883,0.37336787581443787,-4.570827007293701,1.07072913646698,891,-10.592757225036621
106.39555,24,28780,70.03,1161,900,0.0011288378916846883,0.35535135865211487,-4.53352165222168,0.6145915985107422,938,-10.244523048400879
117.72151,25,29200,74.67,1156,910,0.0011288378916846883,0.34764060378074646,-4.591598033905029,1.3083641529083252,959,-11.37413215637207
119.18261,26,30340,74.55,1146,920,0.0011288378916846883,0.3276854455471039,-4.827632904052734,1.5698130130767822,1016,-11.228808403015137
130.2072,27,31100,77.04,1139,930,0.0011288378916846883,0.3151684105396271,-4.801629066467285,1.1668083667755127,1054,-11.717159271240234
140.69347,28,32320,78.98,1127,940,0.0011288378916846883,0.2963365912437439,-4.751189708709717,2.1251490116119385,1115,-13.176029205322266
153.19312,29,33080,82.68,1124,950,0.0011288378916846883,0.28528857231140137,-5.304168701171875,0.8235518932342529,1153,-13.004353523254395
162.47012,30,34300,85.07,1116,960,0.0011288378916846883,0.2687568664550781,-4.944005012512207,1.8319010734558105,1214,-13.54364013671875
173.6816,31,35140,87.78,1111,970,0.0011288378916846883,0.2582554817199707,-5.115016937255859,0.7433109283447266,1256,-13.794557571411133
183.47221,32,36080,90.08,1105,980,0.0011288378916846883,0.24708053469657898,-5.5572357177734375,3.1040217876434326,1303,-14.505843162536621
194.29057,33,37020,92.62,1100,990,0.0011288378916846883,0.2363010197877884,-5.443376064300537,0.8864331245422363,1350,-15.095362663269043
199.67548,34,37920,94.3,1095,1000,0.0011288378916846883,0.22661347687244415,-5.252813339233398,0.7631726264953613,1395,-14.882601737976074
203.1226,35,38880,93.76,1090,1010,0.0011288378916846883,0.21670638024806976,-5.736150741577148,1.5828006267547607,1443,-15.732795715332031
209.47858,36,39740,95.55,1086,1020,0.0011288378916846883,0.20842735469341278,-4.690801620483398,2.0502614974975586,1486,-16.5168399810791
208.86758,37,40600,94.84,1083,1030,0.0011288378916846883,0.20047765970230103,-5.913634300231934,4.753960609436035,1529,-16.562049865722656
209.05255,38,41600,94.56,1079,1040,0.0011288378916846883,0.1914704144001007,-5.428954601287842,0.628955066204071,1579,-17.55674934387207
210.34018,39,42560,94.47,1074,1050,0.0011288378916846883,0.1836058646440506,-5.837803840637207,2.482086181640625,1627,-18.393451690673828
211.68402,40,43400,94.31,1069,1060,0.0011288378916846883,0.17688418924808502,-5.427682399749756,4.889555931091309,1669,-18.475971221923828
207.92131,41,44260,92.72,1066,1070,0.0011288378916846883,0.1703428477048874,-6.039908409118652,4.320165634155273,1712,-18.672351837158203
208.20406,42,45420,92.38,1061,1080,0.0011288378916846883,0.16187065839767456,-5.966305732727051,2.264212131500244,1770,-20.044946670532227
207.306,43,46060,92.06,1057,1090,0.0011288378916846883,0.157363161444664,-5.5543212890625,11.349034309387207,1802,-19.387920379638672
204.83665,45,47300,91.27,1049,1100,0.0011288378916846883,0.14931023120880127,-5.851815223693848,1.9068944454193115,1864,-20.093421936035156
203.93263,45,47820,91.0,1047,1110,0.0011288378916846883,0.14613576233386993,-5.829967498779297,2.208089828491211,1890,-20.8763427734375
203.56117,47,49120,90.83,1042,1120,0.0011288378916846883,0.1385779231786728,-6.907271385192871,4.486946105957031,1955,-21.328693389892578
203.69496,47,49560,90.84,1043,1130,0.0011288378916846883,0.1360430270433426,-5.290452003479004,2.5707058906555176,1977,-21.273805618286133
