rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/n_updates,train/actor_loss
18.27001,2,8780,22.62,3669,390,,,,,,
18.029678,2,9040,21.91,3668,400,,,,,,
17.46728,2,9240,21.8,3667,410,,,,,,
17.32594,2,9460,21.37,3668,420,,,,,,
18.311207,2,9620,21.68,3670,430,,,,,,
17.342144,2,9880,21.35,3688,440,,,,,,
17.660772,22,10080,21.48,448,450,0.0011288378916846883,0.9977442026138306,-0.011286389082670212,4.937421798706055,3,-3.010077953338623
16.40964,22,10260,20.63,451,460,0.0011288378916846883,0.9876518249511719,-0.06271223723888397,1.6994776725769043,12,-5.090394496917725
16.490026,23,10520,20.82,455,470,0.0011288378916846883,0.9732398986816406,-0.13727924227714539,0.9612616300582886,25,-4.432090759277344
15.91542,23,10720,20.75,457,480,0.0011288378916846883,0.9622925519943237,-0.19262483716011047,0.7854475975036621,35,-5.025001049041748
16.202803,23,11060,20.87,464,490,0.0011288378916846883,0.9439693093299866,-0.289791077375412,0.5522279739379883,52,-5.122414588928223
16.502613,24,11240,21.61,467,500,0.0011288378916846883,0.9344066381454468,-0.34426945447921753,0.491011381149292,61,-5.080955505371094
16.63792,24,11580,21.78,472,510,0.0011288378916846883,0.9166040420532227,-0.43765944242477417,0.39873236417770386,78,-5.227221488952637
17.655973,24,11760,22.69,475,520,0.0011288378916846883,0.9073230624198914,-0.4886854887008667,0.42159271240234375,87,-5.273563385009766
17.020342,25,12040,22.39,479,530,0.0011288378916846883,0.8930796384811401,-0.5713753700256348,0.3096317648887634,101,-5.400007247924805
17.160637,25,12340,22.36,484,540,0.0011288378916846883,0.8780583143234253,-0.6572064757347107,0.354382187128067,116,-5.4720258712768555
18.733515,25,12540,23.18,487,550,0.0011288378916846883,0.8681868314743042,-0.7151889801025391,0.3903930187225342,126,-5.586324691772461
21.650734,26,12800,24.9,491,560,0.0011288378916846883,0.8555286526679993,-0.7851290702819824,0.4295613765716553,139,-5.664681434631348
21.723242,26,13040,25.03,496,570,0.0011288378916846883,0.8440094590187073,-0.8563535809516907,0.3446776270866394,151,-5.645857810974121
23.011282,26,13360,25.46,501,580,0.0011288378916846883,0.8289095163345337,-0.9405726790428162,0.47935763001441956,167,-5.6287055015563965
22.889019,27,13700,25.98,506,590,0.0011288378916846883,0.8131489753723145,-1.046090841293335,0.3797120451927185,184,-5.745217800140381
23.07293,27,14000,25.84,510,600,0.0011288378916846883,0.7994917035102844,-1.1161994934082031,0.27491626143455505,199,-5.811354637145996
25.722387,27,14280,26.97,514,610,0.0011288378916846883,0.7869777679443359,-1.1956212520599365,0.3265410363674164,213,-5.735144138336182
25.566998,28,14580,26.96,519,620,0.0011288378916846883,0.7737851142883301,-1.2846546173095703,0.43306970596313477,228,-5.927222728729248
28.566734,28,14980,28.68,525,630,0.0011288378916846883,0.7565561532974243,-1.3974401950836182,0.3888269066810608,248,-6.000710487365723
30.379545,28,15360,29.39,530,640,0.0011288378916846883,0.7405571341514587,-1.5061756372451782,0.3231844902038574,267,-6.287195682525635
34.632996,29,15760,31.79,535,650,0.0011288378916846883,0.72410649061203,-1.5982046127319336,0.5095987915992737,287,-6.187350273132324
34.41541,29,16120,31.62,539,660,0.0011288378916846883,0.7096275091171265,-1.7137837409973145,0.3821297883987427,305,-6.3786211013793945
37.310127,30,16460,32.89,543,670,0.0011288378916846883,0.696227490901947,-1.7959036827087402,0.6503826379776001,322,-6.48776388168335
38.87068,30,16700,33.82,546,680,0.0011288378916846883,0.6869413256645203,-1.9020166397094727,0.4670378267765045,334,-6.514863014221191
39.482777,31,17220,34.0,553,690,0.0011288378916846883,0.6672431230545044,-2.018728733062744,0.6156983375549316,360,-6.6507368087768555
43.63898,31,17540,36.14,556,700,0.0011288378916846883,0.6554014086723328,-2.107459545135498,0.5825120210647583,376,-6.871612548828125
43.71256,32,18120,36.23,564,710,0.0011288378916846883,0.634522557258606,-2.2890257835388184,0.6695146560668945,405,-6.9149370193481445
48.143795,32,18480,38.19,567,720,0.0011288378916846883,0.6219029426574707,-2.3348958492279053,0.31764957308769226,423,-6.931845188140869
49.84136,33,19040,39.29,573,730,0.0011288378916846883,0.6028643846511841,-2.4468541145324707,0.6219085454940796,451,-7.2470784187316895
51.38616,33,19440,40.27,578,740,0.0011288378916846883,0.5896525979042053,-2.6287055015563965,0.4240308105945587,471,-7.467024326324463
51.366154,38,20320,40.35,532,750,0.0011288378916846883,0.5617060661315918,-2.860954999923706,0.631125807762146,515,-7.624214172363281
56.410038,38,21020,44.77,540,760,0.0011288378916846883,0.5404711365699768,-2.992429256439209,0.8494176268577576,550,-7.74717378616333
62.778255,39,21760,48.87,548,770,0.0011288378916846883,0.5189617276191711,-3.131131410598755,0.8799521923065186,587,-8.460846900939941
70.103516,40,22360,52.34,554,780,0.0011288378916846883,0.5023234486579895,-3.3804922103881836,0.5540775656700134,617,-8.680885314941406
75.70207,40,22780,55.77,556,790,0.0011288378916846883,0.4909977316856384,-3.3637919425964355,0.32551926374435425,638,-8.77197265625
77.88263,41,23500,56.26,561,800,0.0011288378916846883,0.47228655219078064,-3.5914602279663086,0.3291791081428528,674,-8.641410827636719
83.75878,42,23980,58.61,564,810,0.0011288378916846883,0.4602133631706238,-3.6634082794189453,1.3103041648864746,698,-9.05500602722168
85.25596,43,24680,59.3,565,820,0.0011288378916846883,0.4431881308555603,-3.8492591381073,1.0467188358306885,733,-9.254817962646484
88.2321,44,25280,60.7,569,830,0.0011288378916846883,0.4291993975639343,-3.987096071243286,0.7761787176132202,763,-9.013741493225098
95.28739,45,25920,63.9,571,840,0.0011288378916846883,0.41483214497566223,-3.9424941539764404,1.4231562614440918,795,-9.294723510742188
96.9019,46,26620,64.13,574,850,0.0011288378916846883,0.3996914029121399,-4.1412458419799805,0.24211958050727844,830,-10.165599822998047
99.633095,47,27260,63.08,578,860,0.0011288378916846883,0.38646066188812256,-3.987987518310547,1.4431040287017822,862,-9.956128120422363
100.944855,48,27960,62.24,580,870,0.0011288378916846883,0.37259769439697266,-4.416913986206055,1.4244379997253418,897,-10.891534805297852
104.01462,49,28620,63.09,582,880,0.0011288378916846883,0.36006879806518555,-4.579507827758789,1.7390378713607788,930,-11.318441390991211
108.8477,49,29140,63.14,584,890,0.0011288378916846883,0.350524365901947,-4.916991233825684,2.399412155151367,956,-11.411858558654785
112.95664,50,29840,64.14,590,900,0.0011288378916846883,0.33804288506507874,-4.7175798416137695,0.8636507987976074,991,-11.410852432250977
115.12588,59,30460,64.39,513,910,0.0011288378916846883,0.3274052143096924,-4.767155647277832,0.5410993695259094,1022,-12.282585144042969
123.77159,60,31560,66.78,520,920,0.0011288378916846883,0.3096664547920227,-4.459127902984619,0.5462756752967834,1077,-12.90526294708252
134.94629,61,32160,69.84,524,930,0.0011288378916846883,0.3006165325641632,-4.90476131439209,0.9734349846839905,1107,-12.524168014526367
143.52173,62,33380,72.27,531,940,0.0011288378916846883,0.28326287865638733,-5.119750022888184,2.2480173110961914,1168,-13.201574325561523
153.6417,63,33920,74.7,534,950,0.0011288378916846883,0.27599772810935974,-4.8918843269348145,1.2581087350845337,1195,-14.06666088104248
159.77199,64,35060,76.14,541,960,0.0011288378916846883,0.2613268196582794,-5.324141025543213,0.575463056564331,1252,-14.841768264770508
166.20796,65,35560,77.58,542,970,0.0011288378916846883,0.2552337348461151,-5.025851726531982,1.2072089910507202,1277,-14.99030876159668
171.66547,67,36820,78.94,547,980,0.0011288378916846883,0.24079126119613647,-5.7398552894592285,3.0788872241973877,1340,-15.2908935546875
177.88042,68,37480,81.1,550,990,0.0011288378916846883,0.23339371383190155,-5.200605392456055,2.991328239440918,1373,-15.744132041931152
185.44952,69,38560,84.03,556,1000,0.0011288378916846883,0.22237563133239746,-5.277902126312256,3.6411099433898926,1427,-15.990391731262207
192.0959,70,39220,86.77,559,1010,0.0011288378916846883,0.21604520082473755,-5.352107524871826,0.5399518013000488,1460,-17.110198974609375
193.38942,78,40240,87.3,510,1020,0.0011288378916846883,0.20649302005767822,-4.808413505554199,3.2770097255706787,1511,-17.922409057617188
191.94966,79,40920,86.79,513,1030,0.0011288378916846883,0.20040416717529297,-5.0443267822265625,2.905567169189453,1545,-17.089414596557617
190.45781,80,42060,86.73,519,1040,0.0011288378916846883,0.19058099389076233,-5.503958225250244,1.9322572946548462,1602,-18.558216094970703
189.36871,81,42720,86.68,523,1050,0.0011288378916846883,0.18509095907211304,-5.272459030151367,4.051481246948242,1635,-18.154499053955078
189.16986,82,43700,86.74,527,1060,0.0011288378916846883,0.1773669272661209,-5.27995491027832,3.8188157081604004,1684,-19.597766876220703
188.71236,83,44400,86.56,531,1070,0.0011288378916846883,0.17201155424118042,-5.308668613433838,2.951233386993408,1719,-18.999191284179688
187.77924,84,45500,86.48,536,1080,0.0011288378916846883,0.16390258073806763,-5.445513725280762,1.749518632888794,1774,-19.875205993652344
186.70068,85,46060,86.54,539,1090,0.0011288378916846883,0.1600112020969391,-4.570209503173828,2.811117649078369,1802,-20.55264663696289
185.02798,86,47180,86.22,545,1100,0.0011288378916846883,0.15269169211387634,-5.173297882080078,2.253408193588257,1858,-21.394710540771484
183.89996,87,47820,85.92,548,1110,0.0011288378916846883,0.14866600930690765,-5.237504959106445,2.7779178619384766,1890,-21.316959381103516
184.18236,88,48920,86.31,554,1120,0.0011288378916846883,0.1420099437236786,-5.575108528137207,0.9475017786026001,1945,-21.93096160888672
183.77051,89,49560,86.41,556,1130,0.0011288378916846883,0.13827164471149445,-4.843823432922363,2.5395846366882324,1977,-21.663095474243164
