time/episodes,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef,train/actor_loss,train/ent_coef_loss
1210,1159,42.18,27,53.14186803,31960,7.742636826811278e-05,1097,2.5509116649627686,0.9193561673164368,-14.881156921386719,-0.4077264666557312
1220,1154,42.66,28,55.13099439999999,32440,7.742636826811278e-05,1121,2.634213924407959,0.9177070260047913,-15.458715438842773,-0.4078444838523865
1230,1150,44.0,28,57.63478345000001,32880,7.742636826811278e-05,1143,2.331727981567383,0.9162007570266724,-15.545605659484863,-0.4142840504646301
1240,1143,43.1,29,56.455557410000004,33480,7.742636826811278e-05,1173,2.528430938720703,0.9141589403152466,-15.931102752685547,-0.4141363799571991
1250,1141,44.39,29,57.506532729999996,33780,7.742636826811278e-05,1188,4.694728851318359,0.9131391644477844,-16.190710067749023,-0.4202912747859955
1260,1138,43.87,30,56.7271918,34320,7.742636826811278e-05,1215,2.4772868156433105,0.9113146662712097,-16.026681900024414,-0.4405404329299927
1270,1136,44.73,30,58.837064469999994,34740,7.742636826811278e-05,1236,2.7475528717041016,0.9098964929580688,-16.550029754638672,-0.4465770125389099
1280,1132,45.94,31,60.243616550000006,35220,7.742636826811278e-05,1260,2.8535895347595215,0.9082731604576111,-17.00290298461914,-0.46074971556663513
1290,1127,46.85,31,60.38378467999999,35820,7.742636826811278e-05,1290,3.773568630218506,0.9062462449073792,-16.97732925415039,-0.4711167514324188
1300,1126,48.76,32,59.701188249999994,36140,7.742636826811278e-05,1306,3.138195037841797,0.9051720499992371,-17.61161231994629,-0.4749000072479248
1310,1121,48.53,32,60.14386261999999,36960,7.742636826811278e-05,1347,5.6984148025512695,0.9024190902709961,-17.711074829101562,-0.47685641050338745
1320,1117,49.98,33,61.082393599999996,37480,7.742636826811278e-05,1373,9.255657196044922,0.9006779789924622,-17.784008026123047,-0.4817468822002411
1330,1115,51.05,34,61.979323629999996,37940,7.742636826811278e-05,1396,4.149825096130371,0.8991410136222839,-18.11927032470703,-0.49321773648262024
1340,1111,50.53,34,62.366613320000006,38480,7.742636826811278e-05,1423,6.807163238525391,0.8973438739776611,-18.139297485351562,-0.5202475786209106
1350,1108,50.11,34,62.87044187999999,38780,7.742636826811278e-05,1438,4.008294105529785,0.8963455557823181,-18.59142303466797,-0.5165307521820068
1360,1103,51.07,35,63.91391834,39300,7.742636826811278e-05,1464,4.863311767578125,0.8946175575256348,-19.23617935180664,-0.5215203762054443
1370,1101,50.7,36,62.54385486,39820,7.742636826811278e-05,1490,13.46200942993164,0.892891526222229,-19.43830108642578,-0.5380089282989502
1380,1099,50.66,36,64.10451852,40340,7.742636826811278e-05,1516,2.7334370613098145,0.8911733627319336,-18.993486404418945,-0.5158458352088928
1390,1096,48.75,37,62.51119012,40740,7.742636826811278e-05,1536,2.76947021484375,0.8898576498031616,-19.996965408325195,-0.5422566533088684
1400,1095,48.65,37,63.71004880999999,41160,7.742636826811278e-05,1557,4.897706508636475,0.8884796500205994,-20.054542541503906,-0.5413756370544434
1410,1094,47.82,38,62.95283085000001,41620,7.742636826811278e-05,1580,5.122999668121338,0.8869649171829224,-20.075788497924805,-0.5462310910224915
1420,1093,46.44,38,63.15412891,42060,7.742636826811278e-05,1602,5.34788179397583,0.8855209350585938,-20.450475692749023,-0.55801922082901
1430,1092,45.79,39,64.22309029000002,42620,7.742636826811278e-05,1630,7.095714569091797,0.8836920857429504,-21.36959457397461,-0.5618422627449036
1440,1090,46.23,39,64.42614998,43000,7.742636826811278e-05,1649,3.3731136322021484,0.882452666759491,-22.08729362487793,-0.5816587209701538
1450,1089,46.3,39,66.25926394,43500,7.742636826811278e-05,1674,3.6770224571228027,0.8808199167251587,-21.641101837158203,-0.5947213172912598
1460,1088,46.62,40,66.8396982,43880,7.742636826811278e-05,1693,6.848838806152344,0.879575788974762,-21.367420196533203,-0.5930693745613098
1470,1086,46.18,40,67.82291590999999,44260,7.742636826811278e-05,1712,13.915337562561035,0.8783397674560547,-22.411741256713867,-0.5935832858085632
1480,1081,46.19,41,68.18204348,44680,7.742636826811278e-05,1733,5.06935977935791,0.8769823908805847,-22.20351791381836,-0.5730696320533752
1490,1080,46.78,41,69.48871689,45040,7.742636826811278e-05,1751,10.54187297821045,0.8758203387260437,-22.784900665283203,-0.5779668688774109
1500,1077,44.68,42,68.90658184,45500,7.742636826811278e-05,1774,11.945898056030273,0.8743358850479126,-22.946409225463867,-0.6203596591949463
1510,1076,44.54,42,69.76229766,46000,7.742636826811278e-05,1799,7.269919395446777,0.8727193474769592,-23.021484375,-0.6054472327232361
1520,1074,45.96,43,72.50449825,46460,7.742636826811278e-05,1822,7.193909645080566,0.8712370991706848,-23.450931549072266,-0.6296472549438477
1530,1070,45.63,43,72.71405561,47100,7.742636826811278e-05,1854,10.105886459350586,0.8691793084144592,-23.664661407470703,-0.6236152648925781
1540,1068,44.93,44,73.72492611,47500,7.742636826811278e-05,1874,8.453958511352539,0.867888867855072,-23.674049377441406,-0.6268585920333862
1550,1066,44.25,44,73.78603093999999,47900,7.742636826811278e-05,1894,13.173929214477539,0.8666076064109802,-24.5714054107666,-0.656444787979126
1560,1064,45.39,45,76.7863384,48440,7.742636826811278e-05,1921,13.071981430053711,0.8648731112480164,-24.668601989746094,-0.660701334476471
1570,1062,45.67,46,77.75778584,48960,7.742636826811278e-05,1947,11.491930961608887,0.8632075190544128,-24.710811614990234,-0.649803638458252
1580,1061,46.68,46,80.96983948,49460,7.742636826811278e-05,1972,13.168123245239258,0.8616189956665039,-25.298147201538086,-0.6848005056381226
1590,1059,47.82,47,83.57828307,50000,7.742636826811278e-05,1999,4.290343284606934,0.8598999381065369,-25.913299560546875,-0.6915711760520935
1600,1058,48.65,47,85.33561579,50460,7.742636826811278e-05,2022,11.717584609985352,0.8584306240081787,-26.032917022705078,-0.6912962794303894
1610,1055,50.0,48,87.95920388000002,51380,7.742636826811278e-05,2068,12.176589965820312,0.8554994463920593,-26.48605728149414,-0.6943579316139221
1620,1053,51.34,49,90.91771287000002,51840,7.742636826811278e-05,2091,10.629634857177734,0.8540468811988831,-26.960498809814453,-0.711859941482544
1630,1051,54.04,49,98.02345585,52500,7.742636826811278e-05,2124,8.071393966674805,0.8519770503044128,-27.655506134033203,-0.7089617252349854
1640,1049,54.71,50,99.89391098999998,52960,7.742636826811278e-05,2147,8.335129737854004,0.8505303263664246,-27.11931610107422,-0.7127753496170044
1650,1047,56.25,51,103.65218597999996,53780,7.742636826811278e-05,2188,20.96786117553711,0.8479672074317932,-27.526273727416992,-0.7389397621154785
1660,1046,59.05,52,110.53605888999999,54620,7.742636826811278e-05,2230,24.894855499267578,0.8453464508056641,-28.498062133789062,-0.7590412497520447
1670,1044,62.67,53,119.05021065999998,55440,7.742636826811278e-05,2271,24.11094856262207,0.8427945375442505,-28.821563720703125,-0.7566763162612915
1680,1041,65.72,54,127.25545827,56300,7.742636826811278e-05,2314,4.3914008140563965,0.8401382565498352,-29.11138916015625,-0.7563861012458801
1690,1038,68.93,54,134.53891066999998,57020,7.742636826811278e-05,2350,12.606849670410156,0.8379158973693848,-29.269784927368164,-0.7578363418579102
1700,1036,73.13,56,145.00178024,58100,7.742636826811278e-05,2404,17.250263214111328,0.8345965147018433,-30.291507720947266,-0.790892481803894
1710,1033,76.28,57,153.73290334,58940,7.742636826811278e-05,2446,15.805726051330566,0.83203125,-31.116531372070312,-0.8036306500434875
1720,1032,78.42,57,158.94229353999998,59820,7.742636826811278e-05,2490,5.906043529510498,0.8293349146842957,-31.877809524536133,-0.819452702999115
1730,1030,80.13,58,162.58482303,60680,7.742636826811278e-05,2533,8.700284957885742,0.826740026473999,-31.695327758789062,-0.8247936964035034
1740,1029,83.46,59,170.29178177999998,61660,7.742636826811278e-05,2582,19.117523193359375,0.8237791061401367,-32.765316009521484,-0.8257573246955872
1750,1027,86.33,60,176.63661077000003,62460,7.742636826811278e-05,2622,19.862884521484375,0.821377694606781,-32.336238861083984,-0.8611745238304138
1760,1026,86.85,61,177.70475824000002,63500,7.742636826811278e-05,2674,10.80685043334961,0.8182744979858398,-34.317962646484375,-0.8823763728141785
1770,1025,87.02,62,178.20486934000002,64220,7.742636826811278e-05,2710,8.482834815979004,0.8161284327507019,-33.166160583496094,-0.8671736121177673
1780,1024,87.45,63,178.65887653000004,65180,7.742636826811278e-05,2758,6.909605026245117,0.8132738471031189,-34.42633056640625,-0.8579757809638977
1790,1021,87.62,64,179.72930552000003,65860,7.742636826811278e-05,2792,18.30913543701172,0.8112695813179016,-35.11927032470703,-0.8614323139190674
1800,1019,87.56,65,178.66010746999996,67040,7.742636826811278e-05,2851,3.009819984436035,0.8077961206436157,-36.462738037109375,-0.9354627728462219
1810,1018,87.96,66,179.34761918,67680,7.742636826811278e-05,2883,21.725391387939453,0.8059197068214417,-35.895751953125,-0.9048450589179993
1820,1016,87.19,67,177.80897571000006,68620,7.742636826811278e-05,2930,14.79086685180664,0.8031735420227051,-36.449363708496094,-0.9262588024139404
1830,1015,86.85,68,176.91718798000002,69240,7.742636826811278e-05,2961,6.469444751739502,0.8013830780982971,-36.644676208496094,-0.9007298350334167
1840,1013,85.32,69,172.65952848,70140,7.742636826811278e-05,3006,36.90116882324219,0.7987847328186035,-38.14305877685547,-0.9384012222290039
1850,1012,84.37,69,170.71851219,70880,7.742636826811278e-05,3043,20.461761474609375,0.79664546251297,-38.684776306152344,-0.926217794418335
1860,1012,84.24,70,170.04304451,71800,7.742636826811278e-05,3089,11.013989448547363,0.7939887642860413,-38.3792724609375,-0.9561761617660522
1870,1011,84.03,71,169.71265983,72520,7.742636826811278e-05,3125,31.08423614501953,0.7919071316719055,-38.0147590637207,-0.9498769640922546
1880,1010,83.86,72,169.25522421000002,73580,7.742636826811278e-05,3178,23.025737762451172,0.7888392210006714,-39.730674743652344,-0.959870457649231
1890,1009,83.83,73,168.69793473000001,74220,7.742636826811278e-05,3210,14.981971740722656,0.7869942784309387,-39.836124420166016,-1.0213472843170166
1900,1007,83.65,74,168.36135690999996,75340,7.742636826811278e-05,3266,15.592073440551758,0.7837826609611511,-41.215145111083984,-1.027538537979126
1910,1006,83.0,75,166.46519249999997,76000,7.742636826811278e-05,3299,14.972038269042969,0.7818937301635742,-40.754920959472656,-1.0105950832366943
1920,1005,83.77,76,168.22299272999996,77200,7.742636826811278e-05,3359,20.383163452148438,0.7784538865089417,-41.805076599121094,-1.0475596189498901
1930,1004,84.39,77,170.35988328,77780,7.742636826811278e-05,3388,34.07335662841797,0.7768008708953857,-42.11683654785156,-1.0462706089019775
1940,1003,85.48,78,174.07557750999996,78620,7.742636826811278e-05,3430,9.310888290405273,0.7744309902191162,-42.256168365478516,-1.055952787399292
1950,1002,86.22,79,176.00749456000005,79380,7.742636826811278e-05,3468,13.593172073364258,0.7722702026367188,-43.146724700927734,-1.1214475631713867
1960,1000,86.12,80,176.02608084999997,80220,7.742636826811278e-05,3510,12.874137878417969,0.7698901295661926,-43.85702896118164,-1.0760986804962158
1970,1000,86.58,81,178.09253425,81140,7.742636826811278e-05,3556,19.66605567932129,0.7672943472862244,-44.46379852294922,-1.1124718189239502
1980,998,86.78,82,179.40075542000005,82100,7.742636826811278e-05,3604,23.154525756835938,0.7645923495292664,-44.23719024658203,-1.0986156463623047
1990,998,87.09,82,180.86655444999997,82840,7.742636826811278e-05,3641,41.309295654296875,0.7625090479850769,-45.34882736206055,-1.1290884017944336
2000,997,87.32,84,182.23018957999994,83840,7.742636826811278e-05,3691,36.449424743652344,0.7596870064735413,-45.11221694946289,-1.1422970294952393
2010,996,87.64,84,183.51413843000003,84680,7.742636826811278e-05,3733,19.787113189697266,0.7573387026786804,-46.15520477294922,-1.118948221206665
2020,994,87.85,86,184.47127488,85680,7.742636826811278e-05,3783,20.803068161010742,0.7545557618141174,-47.05815124511719,-1.130791187286377
2030,993,87.35,87,183.76708782999998,86420,7.742636826811278e-05,3820,35.3682975769043,0.7525016665458679,-47.71858215332031,-1.0940451622009277
2040,992,87.77,88,184.84136765999995,87460,7.742636826811278e-05,3872,23.290752410888672,0.7496560215950012,-46.559776306152344,-1.2042559385299683
2050,991,87.74,88,184.81583751,88220,7.742636826811278e-05,3910,11.508331298828125,0.7475477457046509,-47.87226104736328,-1.1330101490020752
2060,990,88.37,90,186.54447814,89220,7.742636826811278e-05,3960,31.930370330810547,0.7447714805603027,-48.915367126464844,-1.2054414749145508
2070,990,88.36,90,186.65043020000002,90020,7.742636826811278e-05,4000,19.031780242919922,0.7425869703292847,-49.77264404296875,-1.225389003753662
2080,990,87.83,91,185.15539812999995,90840,7.742636826811278e-05,4041,31.485132217407227,0.7403203248977661,-47.99696731567383,-1.258926272392273
2090,989,88.04,92,185.82224425000004,91820,7.742636826811278e-05,4090,16.90190887451172,0.7376580834388733,-50.079071044921875,-1.201330304145813
2100,989,88.0,93,186.17782159,92600,7.742636826811278e-05,4129,43.68975067138672,0.7355338931083679,-50.392112731933594,-1.234130859375
2110,988,88.29,94,186.93225576,93600,7.742636826811278e-05,4179,36.565155029296875,0.7328182458877563,-50.86441421508789,-1.2022546529769897
2120,987,87.91,95,186.54972067,94320,7.742636826811278e-05,4215,3.1736629009246826,0.7308539152145386,-51.61284255981445,-1.2607368230819702
