time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/episodes,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/n_updates
8720,2,20.05,3691,15.971355,390,,,,,,
8960,2,21.35,3702,17.557674,400,,,,,,
9260,2,21.51,3705,17.654291,410,,,,,,
9420,2,22.6,3687,19.800104,420,,,,,,
9640,2,22.72,3683,19.952747,430,,,,,,
9900,2,23.3,3694,20.438313,440,,,,,,
10080,2,23.41,3556,20.764542,450,0.9956995844841003,0.002154434690031882,-0.021313775330781937,-3.8495116233825684,3.107144832611084,3
10360,3,23.89,3232,21.40082,460,0.9660642743110657,0.002154434690031882,-0.17256784439086914,-4.601001739501953,0.7399250268936157,17
10580,3,23.59,3050,20.817049,470,0.9433622360229492,0.002154434690031882,-0.29227373003959656,-4.703906536102295,0.5062410831451416,28
10880,3,24.03,2728,21.089703,480,0.9132505655288696,0.002154434690031882,-0.4566514492034912,-5.0135297775268555,0.4009436070919037,43
11120,4,24.76,2534,22.433714,490,0.8898511528968811,0.002154434690031882,-0.5882624387741089,-5.031972408294678,0.2940713167190552,55
11380,4,23.36,2335,20.534935,500,0.8651803731918335,0.002154434690031882,-0.7296037673950195,-5.0855607986450195,0.2942717671394348,68
11640,5,23.91,2230,20.902946,510,0.841210663318634,0.002154434690031882,-0.8750467300415039,-5.021323204040527,0.354356050491333,81
11820,5,22.96,2088,19.257978,520,0.8250091075897217,0.002154434690031882,-0.9665412902832031,-5.098847389221191,0.23106786608695984,90
12080,6,23.88,2003,20.474268,530,0.8021829724311829,0.002154434690031882,-1.1145203113555908,-5.124834060668945,0.25912249088287354,103
12240,6,24.06,1960,21.488577,540,0.7884443998336792,0.002154434690031882,-1.1960994005203247,-5.128640174865723,0.34561264514923096,111
12500,6,23.76,1885,21.049942,550,0.766621470451355,0.002154434690031882,-1.3402209281921387,-5.2514543533325195,0.23269221186637878,124
12780,7,23.81,1819,21.311464,560,0.7438332438468933,0.002154434690031882,-1.491408109664917,-5.101595401763916,0.37017107009887695,138
13040,7,24.62,1777,22.218533,570,0.7232851982116699,0.002154434690031882,-1.642211675643921,-5.262075424194336,0.3046302795410156,151
13400,7,24.45,1713,21.968512,580,0.6957702040672302,0.002154434690031882,-1.8242342472076416,-5.196377754211426,0.3051353096961975,169
13680,8,24.78,1677,21.943298,590,0.6750847101211548,0.002154434690031882,-1.9673452377319336,-5.201149940490723,0.3079104423522949,183
14020,8,26.73,1641,24.872417,600,0.650810956954956,0.002154434690031882,-2.15731143951416,-5.470579147338867,0.21262972056865692,200
14280,8,26.67,1610,25.431303,610,0.6328677535057068,0.002154434690031882,-2.2856178283691406,-5.337169170379639,0.37357455492019653,213
14580,9,27.58,1583,26.458677,620,0.6127875447273254,0.002154434690031882,-2.454071521759033,-5.546723365783691,0.3144409656524658,228
14940,9,27.62,1547,26.790289,630,0.5895406603813171,0.002154434690031882,-2.643975257873535,-5.439910888671875,0.28945523500442505,246
15500,10,28.07,1500,27.315205,640,0.5551627278327942,0.002154434690031882,-2.944913148880005,-5.562447547912598,0.409848690032959,274
15940,10,31.2,1472,31.721113,650,0.5296502113342285,0.002154434690031882,-3.1354238986968994,-5.657903671264648,0.1953396201133728,296
16440,11,34.35,1444,36.872547,660,0.5020803809165955,0.002154434690031882,-3.431334972381592,-5.693902969360352,0.37492308020591736,321
16760,11,35.53,1416,39.703823,670,0.4852510094642639,0.002154434690031882,-3.595402240753174,-5.875732898712158,0.24267558753490448,337
17240,12,37.17,1380,41.378036,680,0.46107766032218933,0.002154434690031882,-3.7917795181274414,-5.642535209655762,0.36531609296798706,361
17780,13,38.99,1355,45.01018,690,0.43540823459625244,0.002154434690031882,-4.046070575714111,-6.058284759521484,0.40354758501052856,388
18220,13,39.92,1342,47.331333,700,0.4156000316143036,0.002154434690031882,-4.281766891479492,-6.031228065490723,0.5403305292129517,410
18680,14,42.43,1325,51.367584,710,0.39599066972732544,0.002154434690031882,-4.476239204406738,-6.018814563751221,0.5494558811187744,433
19300,14,44.63,1310,53.618275,720,0.371083527803421,0.002154434690031882,-4.77488374710083,-6.496713638305664,0.660777747631073,464
19900,15,47.2,1295,56.58274,730,0.34863051772117615,0.002154434690031882,-5.048942565917969,-6.519258975982666,0.18423330783843994,494
20480,16,50.29,1275,62.851334,740,0.32834118604660034,0.002154434690031882,-5.328725814819336,-6.915369510650635,0.18206992745399475,523
21140,16,50.88,1256,65.085,750,0.3069191575050354,0.002154434690031882,-5.429680824279785,-7.096923828125,0.8098015785217285,556
21720,17,51.63,1238,67.2409,760,0.2894478440284729,0.002154434690031882,-5.717468738555908,-7.001760959625244,0.5928520560264587,585
22520,18,53.3,1213,70.05497,770,0.26700863242149353,0.002154434690031882,-5.810214996337891,-6.917651176452637,0.15991155803203583,625
23120,19,56.31,1197,76.89969,780,0.2516036331653595,0.002154434690031882,-5.913265228271484,-7.4669599533081055,0.20604455471038818,655
23820,20,57.05,1178,79.490616,790,0.2350165843963623,0.002154434690031882,-6.3378496170043945,-7.288407325744629,0.5726178288459778,690
24160,20,57.4,1165,80.84223,800,0.22737731039524078,0.002154434690031882,-6.034418106079102,-7.645167350769043,0.659683108329773,707
25020,21,58.95,1149,84.091995,810,0.20955975353717804,0.002154434690031882,-6.777361869812012,-8.05481243133545,0.719372034072876,750
25760,22,62.28,1142,92.90912,820,0.19539880752563477,0.002154434690031882,-5.972293376922607,-8.538217544555664,0.7572520971298218,787
26060,22,63.05,1139,99.232735,830,0.19004355370998383,0.002154434690031882,-6.806399345397949,-8.524203300476074,0.3892010450363159,802
27140,23,63.61,1132,102.69074,840,0.17204596102237701,0.002154434690031882,-6.900629043579102,-8.882638931274414,0.9836157560348511,856
27760,24,66.24,1120,112.16403,850,0.16292332112789154,0.002154434690031882,-6.336440563201904,-9.069459915161133,1.5928258895874023,887
28900,26,69.46,1107,122.996895,860,0.14769090712070465,0.002154434690031882,-6.762158393859863,-10.029313087463379,0.3597431182861328,944
29560,26,72.54,1099,133.25806,870,0.13960127532482147,0.002154434690031882,-5.2239251136779785,-10.45241928100586,0.6660127639770508,977
30720,28,74.24,1089,140.8244,880,0.12733094394207,0.002154434690031882,-7.293856620788574,-10.661149978637695,0.717477560043335,1035
31440,29,77.1,1075,150.73663,890,0.12020954489707947,0.002154434690031882,-6.8481035232543945,-11.73315715789795,0.3194039463996887,1071
32500,30,81.05,1068,163.06172,900,0.11105083674192429,0.002154434690031882,-6.76910400390625,-11.34289836883545,1.0086569786071777,1124
33120,31,83.1,1064,171.81566,910,0.10594892501831055,0.002154434690031882,-7.303708076477051,-11.779870986938477,1.051849126815796,1155
34280,32,83.17,1060,175.94421,920,0.09712285548448563,0.002154434690031882,-5.440821647644043,-12.691030502319336,0.6205435991287231,1213
34900,33,86.21,1055,183.32622,930,0.09297274053096771,0.002154434690031882,-6.089754104614258,-12.882925033569336,2.1238863468170166,1244
36000,34,87.73,1046,186.7887,940,0.08554764837026596,0.002154434690031882,-4.970076560974121,-13.422511100769043,1.4312084913253784,1299
36640,35,87.94,1039,187.65887,950,0.08170459419488907,0.002154434690031882,-6.3719258308410645,-13.82894515991211,0.9453385472297668,1331
37660,36,87.34,1034,186.68439,960,0.07635047286748886,0.002154434690031882,-6.721461296081543,-13.786026000976562,2.0439932346343994,1382
38420,37,87.16,1017,186.46942,970,0.07238765060901642,0.002154434690031882,-5.269406318664551,-14.93062973022461,2.3447632789611816,1420
39340,38,87.44,1009,187.13939,980,0.06812502443790436,0.002154434690031882,-3.377089738845825,-14.572471618652344,0.49120932817459106,1466
40100,39,86.79,1005,184.30559,990,0.06486813724040985,0.002154434690031882,-5.780547142028809,-15.58685302734375,1.073768973350525,1504
41060,41,86.29,1000,182.83238,1000,0.06096603348851204,0.002154434690031882,-5.756590843200684,-15.837638854980469,1.570207953453064,1552
41800,41,86.06,996,181.91066,1010,0.05817931517958641,0.002154434690031882,-6.52163028717041,-15.190871238708496,2.2800517082214355,1589
42820,43,86.22,994,181.8658,1020,0.05483557656407356,0.002154434690031882,-6.313886642456055,-16.531871795654297,1.2554287910461426,1640
43520,44,86.15,988,180.84625,1030,0.0526120588183403,0.002154434690031882,-5.779628276824951,-17.549846649169922,1.8698759078979492,1675
44660,45,86.25,986,181.16756,1040,0.049006883054971695,0.002154434690031882,-4.001339912414551,-18.15723991394043,3.0836663246154785,1732
45120,45,86.07,985,180.02301,1050,0.04773830994963646,0.002154434690031882,-7.656500339508057,-17.855350494384766,1.9697345495224,1755
46320,47,86.06,979,179.3662,1060,0.0446176677942276,0.002154434690031882,-3.9862613677978516,-18.83951759338379,1.5222864151000977,1815
46860,47,85.97,976,178.3409,1070,0.04337039217352867,0.002154434690031882,-0.33518484234809875,-18.86455535888672,2.335913896560669,1842
48000,49,85.75,975,177.33125,1080,0.04082268476486206,0.002154434690031882,-1.4533731937408447,-19.37456512451172,0.6585351228713989,1899
48560,49,85.58,974,177.5266,1090,0.03972525894641876,0.002154434690031882,-6.208178520202637,-19.52269744873047,1.5777344703674316,1927
49740,51,85.99,971,178.13922,1100,0.03735378384590149,0.002154434690031882,-3.1416454315185547,-20.164823532104492,2.914041042327881,1986
