rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/time_elapsed,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef,train/critic_loss,train/ent_coef_loss
302.84738253999996,98,119.06,24119,620,244,14118,0.002335721469090121,-125.36361694335938,0.11391693353652954,17.344722747802734,-0.9039473533630371
322.23135558,94,123.37,25407,630,267,15406,0.002335721469090121,-138.77207946777344,0.11033985763788223,20.93596076965332,-0.1056082546710968
336.02406496,91,126.06,26661,640,289,16660,0.002335721469090121,-148.58816528320312,0.1318744271993637,48.47430419921875,0.235965296626091
357.91148352000005,89,131.43,28153,650,316,18152,0.002335721469090121,-161.93746948242188,0.1355702131986618,14.424643516540527,0.5373268127441406
363.76122833999995,86,133.56,29527,660,340,19526,0.002335721469090121,-161.9661865234375,0.12926584482192993,25.539688110351562,0.14187444746494293
370.8194306500001,84,133.64,31099,670,369,21098,0.002335721469090121,-172.16058349609375,0.11191786080598831,17.205942153930664,-0.7625654935836792
345.7864321,83,126.03,31844,680,383,21843,0.002335721469090121,-178.58328247070312,0.1551007181406021,19.606351852416992,0.7769774198532104
317.73701571,82,119.24,32306,690,392,22305,0.002335721469090121,-193.48178100585938,0.1775253713130951,18.986068725585938,0.6358350515365601
301.1517486700001,81,120.51,33471,700,412,23470,0.002335721469090121,-191.15383911132812,0.1964375376701355,22.749736785888672,0.26718586683273315
315.40801928999997,78,140.46,36821,710,470,26820,0.002335721469090121,-203.416015625,0.1516733318567276,27.23369598388672,0.2609597444534302
319.4907053,77,150.84,39203,720,508,29202,0.002335721469090121,-213.99252319335938,0.1414855271577835,25.406463623046875,0.48481225967407227
325.9054851700001,76,161.07,41514,730,540,31513,0.002335721469090121,-197.53074645996094,0.12505324184894562,18.14626693725586,-0.9115258455276489
356.6520427100001,76,178.25,44486,740,580,34485,0.002335721469090121,-210.88197326660156,0.1703665852546692,76.15287780761719,-0.7470723986625671
361.28457930999997,76,184.28,46581,750,610,36580,0.002335721469090121,-231.74520874023438,0.26400116086006165,42.9815673828125,0.15838636457920074
369.10140728,75,203.56,49883,760,657,39882,0.002335721469090121,-243.3695831298828,0.17053940892219543,34.30392074584961,0.02684638649225235
