rollout/ep_len_mean,time/total_timesteps,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/actor_loss,train/n_updates
83.47,41120,1040,77,529,177.364,0.0018329807108324356,0.8386908769607544,0.08989198505878448,-4.795114517211914,-17.911113739013672,1555
83.9,41980,1050,78,534,177.19308,0.0018329807108324356,2.219602108001709,0.08579305559396744,-6.195616722106934,-17.553192138671875,1598
84.14,42720,1060,79,538,176.7607,0.0018329807108324356,2.096681594848633,0.08216721564531326,-3.628624677658081,-17.927959442138672,1635
84.21,43620,1070,80,542,176.58807,0.0018329807108324356,2.983936071395874,0.07842377573251724,-5.915118217468262,-18.36761474609375,1680
84.19,44500,1080,81,547,177.1573,0.0018329807108324356,1.9597402811050415,0.07446835935115814,-4.469326019287109,-18.894359588623047,1724
84.47,45340,1090,82,551,177.52478,0.0018329807108324356,2.214301824569702,0.07151105254888535,-5.662374496459961,-19.444522857666016,1766
84.61,46240,1100,83,555,176.81352,0.0018329807108324356,2.4376254081726074,0.068148672580719,-4.867860317230225,-19.179115295410156,1811
85.04,47200,1110,84,560,179.00056,0.0018329807108324356,1.544248342514038,0.064780592918396,-1.7679591178894043,-19.844467163085938,1859
85.09,47900,1120,85,562,179.01826,0.0018329807108324356,1.2901434898376465,0.0628998652100563,-5.847180366516113,-20.200040817260742,1894
84.93,48840,1130,86,566,178.24483,0.0018329807108324356,1.960338830947876,0.0597807876765728,-5.055075645446777,-21.375362396240234,1941
85.18,49680,1140,87,570,178.878,0.0018329807108324356,2.451965808868408,0.05749751627445221,-5.60739803314209,-21.1553955078125,1983
