rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/ent_coef_loss,train/n_updates,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate
19.3,41,400,8278,197,15.236481680000002,,,,,,
18.8,42,410,8425,200,14.81811425,,,,,,
18.96,43,420,8620,195,14.719829559999999,,,,,,
19.07,44,430,8838,200,14.81544718,,,,,,
19.73,46,440,9054,196,15.092885849999998,,,,,,
19.59,46,450,9271,201,14.433651329999998,,,,,,
20.05,48,460,9530,196,15.49295993,,,,,,
20.57,48,470,9736,200,16.080528349999998,,,,,,
21.27,51,480,10032,195,16.57466028,-0.21844661235809326,31,0.9577105641365051,0.4762086272239685,-5.035655975341797,0.0014384498882876629
22.8,55,490,10348,185,18.59052584,-2.481808662414551,347,0.6085294485092163,0.43240636587142944,-6.122033596038818,0.0014384498882876629
25.84,67,500,10862,160,23.455847879999993,-4.661917209625244,861,0.303733766078949,0.5351895093917847,-8.594217300415039,0.0014384498882876629
29.75,78,510,11400,145,33.18537826,-4.20263671875,1399,0.17101284861564636,1.0217580795288086,-13.534740447998047,0.0014384498882876629
36.02,103,520,12222,118,49.86138398999999,-3.069260597229004,2221,0.09848309308290482,3.6077847480773926,-20.878437042236328,0.0014384498882876629
43.16,136,530,13154,96,69.11835703,-2.0047056674957275,3153,0.07081735134124756,5.880301475524902,-33.03045654296875,0.0014384498882876629
50.39,168,540,14093,83,88.39151296,1.5968091487884521,4092,0.07610161602497101,3.8749208450317383,-41.84284210205078,0.0014384498882876629
57.57,202,550,15028,74,109.98747258000002,-0.37148401141166687,5027,0.07868558913469315,4.80419921875,-52.17909622192383,0.0014384498882876629
65.28,236,560,16058,67,134.9488022,-0.11801563203334808,6057,0.08531627058982849,7.24479866027832,-60.07072448730469,0.0014384498882876629
74.75,273,570,17211,62,162.77740326,0.8627922534942627,7210,0.08852122724056244,9.310911178588867,-72.54944610595703,0.0014384498882876629
83.08,310,580,18340,59,189.48744018999997,0.17366215586662292,8339,0.09244513511657715,9.139056205749512,-81.92340087890625,0.0014384498882876629
91.67,359,590,19515,54,216.69935766000003,-1.3683526515960693,9514,0.10042396932840347,11.487099647521973,-89.77133178710938,0.0014384498882876629
98.35,398,600,20697,51,240.65357297000003,1.340179204940796,10696,0.10538261383771896,11.218528747558594,-99.25311279296875,0.0014384498882876629
104.25,433,610,21825,50,257.3347898100001,-0.42368900775909424,11824,0.09121588617563248,7.37856388092041,-107.36197662353516,0.0014384498882876629
106.23,466,620,22845,48,263.48781543,1.7128711938858032,12844,0.09222380071878433,8.654614448547363,-111.85765075683594,0.0014384498882876629
107.76,504,630,23930,47,267.73254602000003,0.03543420881032944,13929,0.0990239679813385,7.173514366149902,-117.25033569335938,0.0014384498882876629
110.62,553,640,25155,45,277.88485275,1.1384830474853516,15154,0.10379708558320999,25.571998596191406,-119.24105834960938,0.0014384498882876629
113.78,593,650,26406,44,285.57923229,0.1871882677078247,16405,0.10215072333812714,6.40023136138916,-127.5328598022461,0.0014384498882876629
116.28,647,660,27686,42,291.3090975400001,-0.08133390545845032,17685,0.09614782780408859,16.134639739990234,-132.91139221191406,0.0014384498882876629
115.34,687,670,28745,41,289.55481821999996,-0.3725157380104065,18744,0.09155134856700897,14.533513069152832,-137.18435668945312,0.0014384498882876629
115.51,725,680,29891,41,290.52594498999997,-0.1377088725566864,19890,0.08726050704717636,17.29474449157715,-140.9369659423828,0.0014384498882876629
116.81,778,690,31196,40,294.56129132,-1.1924266815185547,21195,0.08258224278688431,7.1775712966918945,-143.20721435546875,0.0014384498882876629
119.47,844,700,32644,38,302.89968447,-0.3458837866783142,22643,0.08533810079097748,17.913082122802734,-141.69317626953125,0.0014384498882876629
126.67,914,710,34492,37,322.28943997000005,-0.41971778869628906,24491,0.07760033756494522,9.930388450622559,-147.18234252929688,0.0014384498882876629
136.33,1008,720,36478,36,348.0369291299999,-0.7834172248840332,26477,0.07973354309797287,11.239760398864746,-151.49148559570312,0.0014384498882876629
138.98,1060,730,37828,35,356.91422386,1.1211349964141846,27827,0.08216174691915512,13.243330955505371,-151.61683654785156,0.0014384498882876629
140.53,1118,740,39208,35,362.37927821,0.05246680974960327,29207,0.06393708288669586,8.514909744262695,-152.38961791992188,0.0014384498882876629
144.91,1186,750,40897,34,375.52063734999996,0.6399063467979431,30896,0.06526858359575272,9.23887825012207,-155.27786254882812,0.0014384498882876629
150.53,1277,760,42739,33,383.28054199999997,0.39144110679626465,32738,0.06946032494306564,41.02988052368164,-151.54571533203125,0.0014384498882876629
160.11,1455,770,44756,30,404.32287364999996,-0.1569364070892334,34755,0.07026936858892441,9.016683578491211,-150.2000732421875,0.0014384498882876629
166.46,1541,780,46537,30,423.66793520999994,-0.487562358379364,36536,0.07041776180267334,28.485748291015625,-149.13087463378906,0.0014384498882876629
168.21,1594,790,48017,30,431.9240829900001,0.03939780592918396,38016,0.05819976329803467,10.67668628692627,-150.36317443847656,0.0014384498882876629
166.66,1640,800,49310,30,431.03364485000003,0.49624550342559814,39309,0.061052627861499786,10.122749328613281,-151.28074645996094,0.0014384498882876629
