time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss
199560,1302,8570,22.09,38.84280364,153,0.09,-10.176926612854004,5208.2197265625,5.949160838299769e-35,9477,5.110838413238525
199840,1302,8580,22.11,38.8702115,153,0.09,-10.462903022766113,5212.7763671875,2.0537263841307733e-34,9491,4.469625949859619
200000,1298,8590,22.15,38.93836293000001,154,0.09,-10.311454772949219,5274.9091796875,4.180988205100135e-34,9499,5.35478401184082
200280,1298,8600,22.14,38.92919387999999,154,0.09,-10.018011093139648,5279.5478515625,1.4592525341325451e-33,9513,6.082962512969971
200440,1297,8610,22.13,38.910878399999994,154,0.09,-10.053680419921875,5209.6240234375,2.979402838806385e-33,9521,6.490119457244873
200720,1297,8620,22.12,38.89760132,154,0.09,-10.365114212036133,5109.1455078125,1.0420739787624316e-32,9535,4.7899065017700195
200900,1297,8630,22.11,38.87419361,154,0.09,-10.45228099822998,5234.2021484375,2.3386057502794253e-32,9544,4.1654181480407715
201160,1297,8640,22.11,38.87858687999999,155,0.09,-10.278657913208008,5359.2001953125,7.886091260860092e-32,9557,5.127481460571289
201320,1297,8650,22.13,38.906887069999996,155,0.09,-10.25847339630127,5398.572265625,1.7063142156140692e-31,9565,6.303038597106934
201580,1297,8660,22.08,38.82698523,155,0.09,-10.473636627197266,5222.3046875,6.086165729772244e-31,9578,4.666116714477539
201760,1297,8670,22.04,38.752619679999995,155,0.09,-10.406402587890625,5180.8427734375,1.4712217401388802e-30,9587,5.166767597198486
202020,1297,8680,22.06,38.782359109999994,155,0.09,-10.125345230102539,5101.923828125,5.279632254401874e-30,9600,4.344967842102051
202200,1297,8690,21.98,38.64404648,155,0.09,-10.21060848236084,5044.3232421875,1.2796788853334072e-29,9609,4.166394233703613
202460,1297,8700,21.96,38.615162409999996,156,0.09,-10.119157791137695,4935.13916015625,4.5746719293323847e-29,9622,5.870476722717285
202620,1297,8710,21.94,38.588560660000006,156,0.09,-10.33115291595459,4875.00634765625,9.992993859684952e-29,9630,5.473592281341553
202880,1297,8720,21.91,38.53076265,156,0.09,-10.202737808227539,4784.2158203125,3.555713252344692e-28,9643,4.1905412673950195
203060,1297,8730,21.93,38.57841146,156,0.09,-10.325773239135742,4731.78271484375,8.561627197206182e-28,9652,5.08582878112793
203340,1297,8740,21.91,38.539931849999995,156,0.09,-10.23826789855957,4599.6123046875,3.361196879818758e-27,9666,5.288986682891846
203500,1297,8750,21.88,38.48856777,156,0.09,-10.276598930358887,4519.75634765625,7.338840023633138e-27,9674,4.252877712249756
203780,1297,8760,21.92,38.551131070000004,157,0.09,-9.984197616577148,4462.93359375,2.8692223896081137e-26,9688,4.837733268737793
203940,1297,8770,21.97,38.621444,157,0.09,-10.134832382202148,4486.708984375,6.254777044693921e-26,9696,5.150871753692627
204200,1297,8780,21.99,38.64814898,157,0.09,-10.173910140991211,4342.16015625,2.219669451498233e-25,9709,5.425173282623291
204380,1296,8790,22.03,38.725089679999996,157,0.09,-9.98482608795166,4246.84765625,5.331091922161586e-25,9718,4.784938812255859
204660,1296,8800,22.09,38.81935217,157,0.09,-10.205404281616211,4162.92529296875,2.0767887456733076e-24,9732,4.4721527099609375
204840,1296,8810,22.09,38.81081876,157,0.09,-9.998014450073242,4174.67822265625,4.977948575785698e-24,9741,5.452550411224365
205100,1296,8820,22.15,38.91895915,158,0.09,-10.106616973876953,3998.864013671875,1.758901387810306e-23,9754,5.782501220703125
205260,1296,8830,22.13,38.87795051,158,0.09,-10.0208740234375,3944.64208984375,3.812521840899906e-23,9762,4.49796199798584
205540,1296,8840,22.16,38.93746139,158,0.09,-10.176871299743652,3849.938232421875,1.4752234090871023e-22,9776,3.615793466567993
205700,1296,8850,22.17,38.94233381,158,0.09,-10.247598648071289,3776.48828125,3.1964992240531144e-22,9784,4.308200836181641
205980,1296,8860,22.18,38.94281569,158,0.09,-10.174482345581055,3663.81298828125,1.236608459553263e-21,9798,4.182122230529785
206160,1296,8870,22.14,38.88973019,158,0.09,-9.849600791931152,3629.87646484375,2.9437102237226557e-21,9807,5.624075412750244
206420,1296,8880,22.12,38.85126150000001,159,0.09,-10.212453842163086,3507.0771484375,1.0304938523003192e-20,9820,3.968491315841675
206600,1296,8890,22.11,38.84272391,159,0.09,-10.296880722045898,3434.14501953125,2.4538371032522386e-20,9829,4.523409366607666
206860,1296,8900,22.11,38.837078909999995,159,0.09,-10.104696273803711,3348.86328125,8.5789899857595e-20,9842,4.719628810882568
207040,1296,8910,22.09,38.81624191,159,0.09,-10.024888038635254,3254.5751953125,2.0429667994743464e-19,9851,4.96857213973999
207320,1296,8920,22.05,38.750518819999996,159,0.09,-10.123542785644531,3142.505859375,7.827967375216347e-19,9865,5.202134609222412
207500,1296,8930,22.07,38.78083762,160,0.09,-10.033869743347168,3143.392578125,1.857781894935402e-18,9874,4.5389909744262695
207760,1296,8940,22.04,38.73826958,160,0.09,-10.080218315124512,3033.6943359375,6.469396941570093e-18,9887,4.410212516784668
207920,1296,8950,22.04,38.751938679999995,160,0.09,-10.063825607299805,2978.02783203125,1.393204920163671e-17,9895,4.672720909118652
208180,1296,8960,22.0,38.688876099999995,160,0.09,-9.953348159790039,2876.7666015625,4.8687956733989616e-17,9908,4.455015659332275
208360,1296,8970,22.01,38.7054939,160,0.09,-9.820974349975586,2797.185546875,1.1563835409236577e-16,9917,5.299013137817383
208600,1296,8980,22.0,38.70698886,160,0.09,-9.937564849853516,2706.881591796875,3.6507927354938196e-16,9929,4.266749858856201
208820,1296,8990,22.01,38.7136712,161,0.09,-10.079809188842773,2623.37060546875,1.0452242573517033e-15,9940,4.507892608642578
209060,1296,9000,22.0,38.709614970000004,161,0.09,-9.828158378601074,2558.339111328125,3.2954384325003215e-15,9952,4.167031288146973
209260,1296,9010,22.0,38.69114629,161,0.09,-10.084775924682617,2465.750732421875,8.587720615735924e-15,9962,4.809424877166748
209500,1296,9020,21.98,38.667041139999995,161,0.09,-10.001855850219727,2381.492431640625,2.699996293437177e-14,9974,4.521595478057861
209700,1296,9030,21.97,38.64302967,161,0.09,-9.853460311889648,2334.4296875,7.013175305249642e-14,9984,5.167621612548828
209940,1296,9040,21.99,38.673219710000005,161,0.09,-10.055538177490234,2202.36572265625,2.2034174344039842e-13,9996,3.8907885551452637
210140,1296,9050,21.98,38.64058178,162,0.09,-9.959152221679688,2154.2294921875,5.721665545868615e-13,10006,4.439836502075195
210380,1296,9060,22.04,38.75522137,162,0.09,-10.111604690551758,2048.82421875,1.7970336590317215e-12,10018,3.2642433643341064
210560,1296,9070,22.04,38.77197941,162,0.09,-10.203042030334473,1988.338623046875,4.2335319277997385e-12,10027,3.307471990585327
210820,1296,9080,22.05,38.75822746,162,0.09,-9.955427169799805,1899.3333740234375,1.459310623730392e-11,10040,5.041030406951904
211020,1296,9090,22.08,38.79785098000001,162,0.09,-9.989838600158691,1810.35888671875,3.778318283242932e-11,10050,4.666091442108154
211260,1296,9100,22.06,38.76156334,163,0.09,-9.918594360351562,1717.987548828125,1.1818088174742059e-10,10062,4.093052387237549
211460,1295,9110,22.08,38.82486594,163,0.09,-9.703363418579102,1675.641357421875,3.0540051043637106e-10,10072,5.297262668609619
211700,1295,9120,22.12,38.88139301,163,0.09,-9.530904769897461,1590.719482421875,9.543570378411914e-10,10084,5.101696014404297
211900,1295,9130,22.11,38.863065510000006,163,0.09,-9.973470687866211,1498.9647216796875,2.461684189825064e-09,10094,4.151586532592773
212140,1295,9140,22.11,38.85138638,163,0.09,-10.041851997375488,1428.45263671875,7.66720553713185e-09,10106,3.763619899749756
212340,1295,9150,22.11,38.862211359999996,163,0.09,-9.796249389648438,1364.13623046875,1.9780387106038688e-08,10116,4.460105895996094
212580,1295,9160,22.1,38.83170992,164,0.09,-10.162731170654297,1267.2589111328125,6.158425946978241e-08,10128,4.46294641494751
212780,1295,9170,22.09,38.80094512,164,0.09,-9.832329750061035,1199.7437744140625,1.5871108871579054e-07,10138,4.273187637329102
213040,1295,9180,22.07,38.78335740000001,164,0.09,-9.795607566833496,1104.0826416015625,5.436956485027622e-07,10151,4.788514614105225
213220,1295,9190,22.08,38.7985962,164,0.09,-9.902044296264648,1039.5035400390625,1.275445356441196e-06,10160,3.4480903148651123
213480,1295,9200,22.12,38.86052064,164,0.09,-10.09575080871582,932.288818359375,4.3675613596860785e-06,10173,3.695807933807373
213680,1295,9210,22.14,38.88523706,164,0.09,-10.119283676147461,863.7296142578125,1.119949320127489e-05,10183,3.2192559242248535
213920,1295,9220,22.12,38.858904270000004,165,0.09,-9.758544921875,352.9811706542969,3.170974014210515e-05,10195,5.141390323638916
214120,1294,9230,22.14,38.89297095,165,0.09,-9.967962265014648,275.77215576171875,5.7715435104910284e-05,10205,4.78087043762207
214380,1294,9240,22.14,38.89549324000001,165,0.09,-9.650169372558594,260.0603332519531,0.00010079929779749364,10218,4.152942180633545
214560,1294,9250,22.14,38.90031389,165,0.09,-9.914058685302734,249.1082763671875,0.00014154739619698375,10227,4.280004501342773
214800,1294,9260,22.13,38.891353099999996,165,0.09,-9.898832321166992,236.95635986328125,0.00021897275291848928,10239,4.235374450683594
215020,1294,9270,22.16,38.92229179,166,0.09,-9.820757865905762,225.9041748046875,0.00032519426895305514,10250,4.284379959106445
215240,1294,9280,22.16,38.93155064,166,0.09,-9.786978721618652,215.77102661132812,0.0004830530670005828,10261,3.6271235942840576
215460,1294,9290,22.15,38.92541802,166,0.09,-9.69144344329834,203.9151153564453,0.0007187534356489778,10272,5.147434711456299
215680,1294,9300,22.13,38.89955475,166,0.09,-9.930007934570312,192.08506774902344,0.0010711222421377897,10283,3.58323073387146
215900,1294,9310,22.09,38.83081366,166,0.09,-9.667089462280273,181.60421752929688,0.001599028124473989,10294,5.381297588348389
216140,1294,9320,22.1,38.84275601,166,0.09,-9.800544738769531,169.0176239013672,0.002479850547388196,10306,3.9461803436279297
216320,1294,9330,22.09,38.833812040000005,167,0.09,-9.820417404174805,160.43206787109375,0.003450787626206875,10315,3.565403938293457
216580,1294,9340,22.09,38.828807760000004,167,0.09,-9.596687316894531,146.30105590820312,0.005575044080615044,10328,3.794977903366089
216760,1294,9350,22.1,38.818188209999995,167,0.09,-9.52665901184082,136.67909240722656,0.007782661356031895,10337,2.8664305210113525
217020,1294,9360,22.08,38.78811582,167,0.09,-8.780223846435547,123.13780212402344,0.012629278935492039,10350,6.061499118804932
