time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/time_elapsed,train/n_updates,train/ent_coef,train/critic_loss,train/ent_coef_loss,train/actor_loss,train/learning_rate
3220,7584,16.96115469,21.26,350,2,,,,,,
3218,7750,16.03180816,20.66,360,2,,,,,,
3232,8018,16.84609499,21.11,370,2,,,,,,
3220,8241,16.20395678,21.08,380,2,,,,,,
3211,8427,15.688613660000001,20.92,390,2,,,,,,
3218,8644,15.167704019999999,20.91,400,2,,,,,,
3219,8882,15.588783470000001,20.94,410,2,,,,,,
3181,9086,15.853016380000001,21.09,420,2,,,,,,
3177,9282,15.859451849999997,21.01,430,2,,,,,,
3173,9509,16.458269329999997,21.63,440,2,,,,,,
3172,9724,16.11500798,21.4,450,3,,,,,,
3174,9950,16.72733128,22.0,460,3,,,,,,
2069,10113,15.569332519999998,20.95,470,4,112,0.41569915413856506,0.1587149202823639,-4.437968730926514,-3.587447166442871,0.007847599703514606
1084,10486,19.34055841,22.45,480,9,485,0.04124478995800018,0.1417352855205536,-4.869121551513672,-4.168508529663086,0.007847599703514606
810,10759,22.748719089999998,23.32,490,13,758,0.029222561046481133,0.2478572428226471,1.5806900262832642,-6.215660095214844,0.007847599703514606
666,11005,25.371466540000007,23.61,500,16,1004,0.030737079679965973,0.5140910148620605,-4.179320335388184,-7.147975444793701,0.007847599703514606
462,11699,37.08378605,28.17,510,25,1698,0.0352034717798233,1.093178153038025,6.728246212005615,-12.159035682678223,0.007847599703514606
327,12660,55.512215839999996,35.74,520,38,2659,0.06054622307419777,2.055962085723877,1.2102621793746948,-19.66853141784668,0.007847599703514606
270,13570,73.41818633999999,42.88,530,50,3569,0.0621376596391201,2.457852840423584,0.03855523467063904,-29.30116081237793,0.007847599703514606
237,14393,88.91331803000001,48.84,540,60,4392,0.06597739458084106,3.5065970420837402,-1.1538639068603516,-36.141326904296875,0.007847599703514606
213,15233,104.80683403,55.09,550,71,5232,0.05059831961989403,2.8239614963531494,-0.8607473969459534,-43.60465621948242,0.007847599703514606
188,16256,124.90696209,63.06,560,86,6255,0.053284283727407455,15.047958374023438,1.3005049228668213,-50.045753479003906,0.007847599703514606
171,17378,147.72032872999998,72.65,570,101,7377,0.05971433222293854,4.878482818603516,-0.0990074872970581,-58.69099426269531,0.007847599703514606
160,18483,166.24704531,79.97,580,115,8482,0.06779897958040237,33.136844635009766,2.8511171340942383,-65.28086853027344,0.007847599703514606
151,19613,186.42109961999998,88.54,590,129,9612,0.08102566748857498,9.152740478515625,-0.9767708778381348,-71.28390502929688,0.007847599703514606
143,20726,206.99345398999998,97.21,600,144,10725,0.07003507763147354,8.568500518798828,-0.6591368913650513,-76.00921630859375,0.007847599703514606
137,21758,217.44010026,100.59,610,157,11757,0.06829485297203064,11.26576042175293,-0.35236263275146484,-82.11505126953125,0.007847599703514606
132,22791,221.6842375,101.31,620,172,12790,0.05427715182304382,19.217668533325195,0.3917829990386963,-88.77129364013672,0.007847599703514606
126,24120,232.96660434,105.5,630,190,14119,0.07054261118173599,30.6209716796875,-0.1959838569164276,-89.44224548339844,0.007847599703514606
122,25204,239.97292138999998,108.11,640,205,15203,0.08698077499866486,14.577162742614746,1.0875837802886963,-94.90260314941406,0.007847599703514606
119,26368,251.84601894000002,111.35,650,221,16367,0.08911635726690292,13.11480712890625,-1.0180020332336426,-102.30706787109375,0.007847599703514606
115,27656,262.06962675,114.0,660,238,17655,0.07038228958845139,17.510452270507812,-0.4749024212360382,-109.14908599853516,0.007847599703514606
112,28841,267.05994017,114.63,670,255,18840,0.09148919582366943,14.764191627502441,-0.1063641607761383,-112.75076293945312,0.007847599703514606
110,30095,273.78361849,116.12,680,272,20094,0.08923617005348206,8.361092567443848,1.0046098232269287,-119.21196746826172,0.007847599703514606
107,31499,282.03176069,118.86,690,291,21498,0.07739592343568802,48.30860900878906,0.12002918124198914,-124.6688003540039,0.007847599703514606
105,32928,290.60664589,122.02,700,311,22927,0.06723488122224808,20.189138412475586,-2.0643913745880127,-123.22653198242188,0.007847599703514606
103,34630,304.83812975999996,128.72,710,335,24629,0.07604917883872986,10.369441986083984,0.798891544342041,-126.42059326171875,0.007847599703514606
100,37198,326.8296135,144.07,720,368,27197,0.07807222753763199,13.283272743225098,-0.6275519132614136,-127.75614929199219,0.007847599703514606
97,41563,351.08104586,174.43,730,427,31562,0.06252674013376236,6.142159461975098,2.2356152534484863,-127.18251037597656,0.007847599703514606
95,43744,373.24185026000015,185.4,740,458,33743,0.04821529611945152,8.54838752746582,-0.5320676565170288,-132.56808471679688,0.007847599703514606
94,45316,387.30188280999994,189.48,750,480,35315,0.06059543415904045,6.407858848571777,0.7938271760940552,-133.9677734375,0.007847599703514606
93,46556,391.03108017,189.0,760,498,36555,0.0539388433098793,13.748756408691406,0.2667115032672882,-129.44635009765625,0.007847599703514606
92,47939,402.87621679999995,190.98,770,518,37938,0.04669041559100151,15.064107894897461,-0.5683311820030212,-130.4396209716797,0.007847599703514606
91,49366,415.0771220099999,192.71,780,539,39365,0.051991336047649384,14.689804077148438,0.8968772292137146,-133.385009765625,0.007847599703514606
