time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/critic_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/actor_loss,train/n_updates
490,231840,127.28,472,349.48276470999997,2960,15.166380882263184,0.00021544346900318823,0.12724851071834564,-0.2598342001438141,-116.83781433105469,11091
491,232840,127.14,473,349.11723488,2970,18.424314498901367,0.00021544346900318823,0.12652364373207092,-2.5079073905944824,-117.68131256103516,11141
493,234320,126.53,475,346.18340519,2980,25.638111114501953,0.00021544346900318823,0.12537308037281036,-1.3859610557556152,-115.8582763671875,11215
494,235380,125.89,476,344.55402620999996,2990,58.58343505859375,0.00021544346900318823,0.124557264149189,-1.2697527408599854,-116.82156372070312,11268
495,236680,124.83,477,340.52819779999993,3000,29.734020233154297,0.00021544346900318823,0.12336359918117523,-1.4916749000549316,-118.99822998046875,11333
496,237820,124.83,478,339.56003031,3010,91.34671020507812,0.00021544346900318823,0.12237577140331268,-1.583261251449585,-119.46534729003906,11390
498,239160,124.97,480,339.96876261000006,3020,34.233848571777344,0.00021544346900318823,0.12127931416034698,-1.073406457901001,-121.7320785522461,11457
488,240260,124.67,491,339.2684574500001,3030,99.18423461914062,0.00021544346900318823,0.12025000154972076,-1.0543103218078613,-121.1954574584961,11512
489,241660,124.36,493,337.02029972,3040,13.85661792755127,0.00021544346900318823,0.11908704042434692,-1.6401336193084717,-120.49888610839844,11582
490,242680,124.18,494,335.29454243,3050,22.360544204711914,0.00021544346900318823,0.1183229386806488,-2.597144365310669,-121.28962707519531,11633
492,244040,123.87,495,333.49354697,3060,33.53631591796875,0.00021544346900318823,0.11713439971208572,-1.9021366834640503,-122.09384155273438,11701
493,245060,123.1,496,329.86157004,3070,65.98439025878906,0.00021544346900318823,0.11641287803649902,-1.710742712020874,-120.49252319335938,11752
494,246400,122.72,498,329.18380361999994,3080,51.122291564941406,0.00021544346900318823,0.11547037959098816,-0.4879109561443329,-120.51158905029297,11819
495,247540,122.09,499,326.62607627,3090,64.70970916748047,0.00021544346900318823,0.11492322385311127,-1.7157666683197021,-121.79785919189453,11876
496,248960,122.85,501,326.85564519,3100,13.607866287231445,0.00021544346900318823,0.11386139690876007,-1.3895419836044312,-123.2474594116211,11947
497,249880,122.58,501,324.66343328000005,3110,58.245601654052734,0.00021544346900318823,0.1131596565246582,0.3199532628059387,-121.2249755859375,11993
489,251560,122.78,513,321.19363632,3120,71.53094482421875,0.00021544346900318823,0.11216350644826889,-0.819844126701355,-125.50663757324219,12077
490,252440,123.32,514,317.29331079,3130,37.489952087402344,0.00021544346900318823,0.11165669560432434,-0.018492281436920166,-123.65536499023438,12121
491,254020,122.96,516,314.69371940999997,3140,57.03232955932617,0.00021544346900318823,0.11068657785654068,-1.0840272903442383,-124.57037353515625,12200
492,254900,122.84,517,311.39511480000004,3150,35.3945198059082,0.00021544346900318823,0.10996329039335251,-1.6168241500854492,-128.63815307617188,12244
493,256440,122.76,519,309.00167597,3160,32.13227081298828,0.00021544346900318823,0.10886404663324356,-1.1334699392318726,-124.70976257324219,12321
494,257380,122.7,520,305.8833515,3170,27.449504852294922,0.00021544346900318823,0.10835736989974976,-0.9726648926734924,-124.25935363769531,12368
495,258600,121.98,521,300.87883126,3180,17.529888153076172,0.00021544346900318823,0.10770605504512787,-0.42859548330307007,-126.66168212890625,12429
496,259620,121.68,522,298.54118655999997,3190,48.630516052246094,0.00021544346900318823,0.10726149380207062,-0.4754081964492798,-128.7114715576172,12480
489,260860,119.92,532,292.66562137,3200,12.806265830993652,0.00021544346900318823,0.1065932884812355,-0.9446580410003662,-127.43307495117188,12542
490,261900,118.94,533,289.23966623999996,3210,16.123428344726562,0.00021544346900318823,0.10601671040058136,-2.6401214599609375,-126.9082260131836,12594
491,263100,117.19,535,285.23363709000006,3220,38.359432220458984,0.00021544346900318823,0.10511254519224167,-0.013456851243972778,-126.45429992675781,12654
492,264040,115.42,536,283.11727252000003,3230,18.780122756958008,0.00021544346900318823,0.10460144281387329,-1.469383955001831,-126.15760803222656,12701
493,265360,114.4,537,280.88235927000005,3240,39.851837158203125,0.00021544346900318823,0.10373520106077194,-0.9710608124732971,-124.44258117675781,12767
494,266260,113.82,538,280.10624631999997,3250,72.96123504638672,0.00021544346900318823,0.10327233374118805,-0.22039972245693207,-132.3302001953125,12812
495,267620,112.86,539,277.44049678000005,3260,88.476806640625,0.00021544346900318823,0.10283180326223373,-0.1583494395017624,-131.9139404296875,12880
496,268380,111.51,540,274.67941932,3270,50.25401306152344,0.00021544346900318823,0.10252663493156433,-1.286145567893982,-125.82875061035156,12918
497,269720,111.53,541,274.46830718,3280,40.196632385253906,0.00021544346900318823,0.10199179500341415,-2.0013818740844727,-125.75281524658203,12985
488,270500,110.57,553,272.35161058000006,3290,42.559417724609375,0.00021544346900318823,0.10132399201393127,-0.6913466453552246,-131.13983154296875,13024
490,271900,110.28,554,271.86435289,3300,39.74071502685547,0.00021544346900318823,0.10047999024391174,-1.2780112028121948,-129.8915557861328,13094
490,272660,109.99,555,271.59175466,3310,72.24422454833984,0.00021544346900318823,0.10020409524440765,-1.1586624383926392,-131.30210876464844,13132
491,273980,108.83,557,268.50555834000005,3320,105.31493377685547,0.00021544346900318823,0.0999893918633461,-0.4210796058177948,-135.13079833984375,13198
492,274760,108.11,557,266.09152825999996,3330,127.78123474121094,0.00021544346900318823,0.09943129867315292,-0.9050388932228088,-131.92816162109375,13237
493,276160,107.95,559,264.3491171,3340,48.59174346923828,0.00021544346900318823,0.09890290349721909,-0.9666925668716431,-130.2980499267578,13307
494,277120,107.36,560,261.3265305,3350,74.79515075683594,0.00021544346900318823,0.09825479984283447,-0.9029840230941772,-133.032470703125,13355
495,278260,106.8,561,259.74732682999996,3360,47.75269317626953,0.00021544346900318823,0.09780055284500122,-1.0229448080062866,-128.98251342773438,13412
495,279160,106.25,562,258.36267781000004,3370,36.00518798828125,0.00021544346900318823,0.09739885479211807,-0.6691960096359253,-132.0173797607422,13457
489,280220,105.26,572,256.48393502,3380,38.66875076293945,0.00021544346900318823,0.09674113988876343,-0.6013959646224976,-130.85748291015625,13510
490,281300,104.72,573,255.78467293000003,3390,53.285369873046875,0.00021544346900318823,0.09602487832307816,-0.40461552143096924,-132.53176879882812,13564
491,282280,104.51,574,256.00391494,3400,27.37220001220703,0.00021544346900318823,0.0955943614244461,-0.8324368596076965,-134.84439086914062,13613
492,283300,104.06,575,255.27696743,3410,14.14802360534668,0.00021544346900318823,0.09528864175081253,-1.2418732643127441,-130.48452758789062,13664
492,284280,104.06,576,255.63367453999996,3420,23.48666000366211,0.00021544346900318823,0.09496037662029266,0.11308090388774872,-131.667724609375,13713
493,285340,104.1,577,255.80049195,3430,9.55306339263916,0.00021544346900318823,0.09467244893312454,-1.1876142024993896,-137.30966186523438,13766
494,286380,103.58,578,254.99634287,3440,82.37035369873047,0.00021544346900318823,0.09399305284023285,-0.3350590765476227,-136.41238403320312,13818
495,287420,103.47,579,256.83887844000003,3450,131.5460662841797,0.00021544346900318823,0.09371614456176758,-0.5511534214019775,-133.58847045898438,13870
496,288380,103.01,580,256.03126616000003,3460,16.38347625732422,0.00021544346900318823,0.09304753690958023,-0.9447973966598511,-133.885986328125,13918
497,289400,103.35,581,258.09282763000004,3470,16.844005584716797,0.00021544346900318823,0.0926581546664238,0.32100391387939453,-133.82095336914062,13969
490,290240,102.87,591,256.70460052000004,3480,78.13569641113281,0.00021544346900318823,0.09248928725719452,-0.26569682359695435,-136.191162109375,14011
492,291480,102.12,592,254.00849208000002,3490,10.52284049987793,0.00021544346900318823,0.09209161251783371,0.22745788097381592,-134.51004028320312,14073
492,292080,100.95,592,250.32386314,3500,81.69349670410156,0.00021544346900318823,0.09200175106525421,-0.0003654658794403076,-135.2308349609375,14103
493,293460,100.29,594,248.35881804000005,3510,36.44296646118164,0.00021544346900318823,0.09180966764688492,0.3237161636352539,-140.65841674804688,14172
494,294040,99.85,594,247.20883132000003,3520,13.124679565429688,0.00021544346900318823,0.09186087548732758,1.5126917362213135,-136.02651977539062,14201
495,295580,100.04,596,248.52611301000002,3530,20.46780776977539,0.00021544346900318823,0.09133032709360123,-0.10754658281803131,-138.1302032470703,14278
496,296300,100.54,597,249.30272907,3540,69.43208312988281,0.00021544346900318823,0.09128417074680328,0.6350931525230408,-133.65914916992188,14314
497,297500,100.32,598,249.30882542999996,3550,49.10084533691406,0.00021544346900318823,0.09113910049200058,-0.5760922431945801,-142.54725646972656,14374
498,298500,100.35,599,249.68675324999995,3560,16.09164810180664,0.00021544346900318823,0.09065072238445282,-1.0607070922851562,-139.30686950683594,14424
499,299900,101.33,600,254.79161673000002,3570,11.675517082214355,0.00021544346900318823,0.09042909741401672,-0.518962025642395,-143.94857788085938,14494
491,300820,103.8,611,264.35097584000005,3580,46.66082000732422,0.00021544346900318823,0.09014768153429031,-0.3395528495311737,-137.67599487304688,14540
493,302240,106.01,612,273.11826386999996,3590,59.12411117553711,0.00021544346900318823,0.0898335799574852,-0.2919136881828308,-136.59521484375,14611
493,303240,108.72,614,283.4139484,3600,112.3843994140625,0.00021544346900318823,0.08953742682933807,-0.9781313538551331,-142.8140869140625,14661
495,304660,111.3,615,294.25741602,3610,77.78424072265625,0.00021544346900318823,0.08932178467512131,-0.13784736394882202,-143.140380859375,14732
495,305540,113.31,616,302.56567134,3620,16.491426467895508,0.00021544346900318823,0.08953885734081268,-0.24566839635372162,-145.95578002929688,14776
497,307100,114.86,617,309.64944341,3630,17.0760498046875,0.00021544346900318823,0.08943096548318863,0.5177412629127502,-139.8895263671875,14854
497,307880,115.96,618,317.39905008,3640,34.86936950683594,0.00021544346900318823,0.08943358808755875,-0.5517659187316895,-145.97821044921875,14893
498,309400,116.81,620,322.3400476,3650,95.24188232421875,0.00021544346900318823,0.08936107903718948,1.3434399366378784,-143.19967651367188,14969
492,310320,118.77,629,330.75980942,3660,37.41780090332031,0.00021544346900318823,0.08941937237977982,0.703637957572937,-142.09524536132812,15015
493,311620,118.75,631,330.88369758,3670,20.44285011291504,0.00021544346900318823,0.08982803672552109,-0.3155105710029602,-146.03517150878906,15080
494,312800,119.16,632,333.29903184,3680,18.676836013793945,0.00021544346900318823,0.08979730308055878,-0.506340503692627,-141.77053833007812,15139
495,313840,118.8,633,332.22030806999993,3690,76.0876235961914,0.00021544346900318823,0.09012681990861893,-0.4021804630756378,-143.96131896972656,15191
496,315220,118.42,634,332.4983446299999,3700,23.337688446044922,0.00021544346900318823,0.09050215035676956,0.9147202968597412,-140.71153259277344,15260
497,316300,118.16,635,331.62190150999993,3710,61.04970932006836,0.00021544346900318823,0.09080138057470322,-0.30866169929504395,-148.30239868164062,15314
498,317220,117.54,636,330.10359782,3720,74.79034423828125,0.00021544346900318823,0.090969517827034,0.39491620659828186,-147.0900421142578,15360
499,318740,117.29,638,328.65006731,3730,49.905418395996094,0.00021544346900318823,0.09113983809947968,0.6810281872749329,-143.73793029785156,15436
500,319780,117.89,639,329.14864451,3740,12.303433418273926,0.00021544346900318823,0.09156271815299988,0.41560059785842896,-145.9232635498047,15488
