time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,train/n_updates,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/learning_rate
6,17.232891,15360,690,22.11,2449,267,-2.9065160751342773,-0.013374704867601395,0.997331440448761,5.628545761108398,1e-05
6,16.982178,15520,700,22.06,2422,275,-2.9564101696014404,-0.013845191337168217,0.9972512722015381,5.629828453063965,1e-05
6,17.865602,15800,710,22.31,2390,289,-2.993957042694092,-0.014514679089188576,0.9971112012863159,5.567297458648682,1e-05
6,17.773497,16060,720,21.87,2358,302,-3.070000171661377,-0.015252811834216118,0.9969810843467712,5.323541641235352,1e-05
6,17.754904,16220,730,21.81,2339,310,-3.0519356727600098,-0.015630198642611504,0.9969010353088379,5.482717514038086,1e-05
7,17.81233,16360,740,21.52,2324,317,-3.0950372219085693,-0.015974905341863632,0.9968309998512268,5.255484580993652,1e-05
7,18.72986,16560,750,21.77,2304,327,-3.138923168182373,-0.016433294862508774,0.9967308640480042,5.3818840980529785,1e-05
7,18.737232,16780,760,21.62,2284,338,-3.2006616592407227,-0.01699267141520977,0.9966207146644592,5.245089530944824,1e-05
7,17.865927,16980,770,20.71,2266,348,-3.2448630332946777,-0.017694998532533646,0.9965206980705261,5.170869827270508,1e-05
7,18.29475,17220,780,20.77,2243,360,-3.31514310836792,-0.01817922294139862,0.9964006543159485,4.808927059173584,1e-05
7,17.509184,17380,790,20.27,2229,368,-3.3440654277801514,-0.018754716962575912,0.9963207244873047,5.078572750091553,1e-05
8,18.109432,17700,800,20.58,2206,384,-3.360748291015625,-0.01944020576775074,0.9961605668067932,5.197484493255615,1e-05
8,18.076609,17860,810,20.68,2193,392,-3.4550275802612305,-0.019792821258306503,0.9960805773735046,4.625558376312256,1e-05
8,18.401037,18080,820,20.89,2175,403,-3.50966215133667,-0.02034313604235649,0.9959707260131836,4.8199896812438965,1e-05
8,18.21131,18260,830,20.79,2163,412,-3.468682289123535,-0.02084285020828247,0.9958807826042175,5.166827201843262,1e-05
8,17.602552,18520,840,20.55,2147,425,-3.6144556999206543,-0.02139877714216709,0.9957508444786072,4.641120910644531,1e-05
8,17.687458,18720,850,21.1,2131,435,-3.663543462753296,-0.022011451423168182,0.9956510663032532,4.812546253204346,1e-05
8,17.796247,18860,860,21.27,2121,442,-3.647761821746826,-0.022271009162068367,0.9955812096595764,5.002233505249023,1e-05
9,17.713354,19140,870,21.14,2105,456,-3.742391347885132,-0.023055963218212128,0.9954414963722229,4.8082075119018555,1e-05
9,17.942324,19340,880,21.18,2089,466,-3.833893299102783,-0.023601137101650238,0.9953415989875793,4.350838661193848,1e-05
