rollout/ep_len_mean,time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates
20.53,440,9740,1905,15.718578,5,,,,,,
21.14,450,9960,1927,17.391562,5,,,,,,
21.39,460,10200,425,17.362816,23,0.0001,0.9991997480392456,-0.004007604904472828,6.98270845413208,-2.3488266468048096,9
21.95,470,10320,427,17.99683,24,0.0001,0.9985992312431335,-0.007047470659017563,6.079423427581787,-2.540498733520508,15
21.88,480,10580,432,18.15735,24,0.0001,0.9972977638244629,-0.013590189628303051,4.742709636688232,-2.9360013008117676,28
21.04,490,10760,435,17.533493,24,0.0001,0.9963974952697754,-0.018193155527114868,3.785571575164795,-3.202789306640625,37
21.39,500,11020,439,17.959776,25,0.0001,0.995097815990448,-0.024767830967903137,2.5733885765075684,-3.6335582733154297,50
21.51,510,11200,442,18.231735,25,0.0001,0.9941990375518799,-0.02919362485408783,2.4692530632019043,-3.8743982315063477,59
21.76,520,11400,445,18.821535,25,0.0001,0.9932021498680115,-0.0345785990357399,2.5508384704589844,-4.223698139190674,69
21.36,530,11620,450,17.773514,25,0.0001,0.9921071529388428,-0.03985004127025604,1.9955216646194458,-4.432514190673828,80
21.1,540,11780,451,17.161192,26,0.0001,0.9913122057914734,-0.04405064880847931,1.926223635673523,-4.587038516998291,88
20.74,550,12000,454,16.24444,26,0.0001,0.9902209043502808,-0.04992621764540672,1.4709491729736328,-4.797972679138184,99
20.38,560,12220,457,16.040222,26,0.0001,0.989130437374115,-0.055382438004016876,1.429513692855835,-4.910737991333008,110
19.84,570,12380,460,15.293436,26,0.0001,0.9883373975753784,-0.059262506663799286,1.4519319534301758,-4.928127765655518,118
20.08,580,12620,463,15.64637,27,0.0001,0.9871497750282288,-0.065047487616539,1.2485604286193848,-5.065804481506348,130
20.36,590,12780,465,16.650799,27,0.0001,0.9863594770431519,-0.06943267583847046,1.441009759902954,-5.147796154022217,138
19.94,600,12980,469,16.13516,27,0.0001,0.9853720664978027,-0.07460692524909973,1.2974629402160645,-5.245009899139404,148
20.49,610,13180,472,16.494162,27,0.0001,0.9843855500221252,-0.0795559361577034,1.2841811180114746,-5.334716320037842,158
20.15,620,13400,475,16.035063,28,0.0001,0.9833017587661743,-0.08464370667934418,1.1764440536499023,-5.414734840393066,169
20.11,630,13580,478,15.835655,28,0.0001,0.9824160933494568,-0.09005182981491089,1.502641201019287,-5.50216007232666,178
20.0,640,13760,481,16.00088,28,0.0001,0.9815309047698975,-0.09450769424438477,1.1641696691513062,-5.607520580291748,187
19.59,650,14000,485,15.622368,28,0.0001,0.9803512692451477,-0.09942357242107391,1.1185213327407837,-5.802739143371582,199
20.21,660,14200,488,15.747379,29,0.0001,0.9793708920478821,-0.10534975677728653,1.1657483577728271,-5.766940593719482,209
20.0,670,14420,491,15.612875,29,0.0001,0.9782934188842773,-0.11057598888874054,1.3608713150024414,-5.868376731872559,220
20.01,680,14600,493,15.606793,29,0.0001,0.9774127006530762,-0.1147865280508995,1.3717293739318848,-5.956287384033203,229
20.44,690,14880,497,15.721604,29,0.0001,0.9760451316833496,-0.12275642156600952,1.7166380882263184,-6.114993095397949,243
20.24,700,15120,500,15.69158,30,0.0001,0.9748749136924744,-0.12809813022613525,0.928465723991394,-6.363375663757324,255
20.34,710,15400,505,15.79409,30,0.0001,0.9735104441642761,-0.1362534463405609,1.3397974967956543,-6.345580577850342,269
21.53,720,15580,507,18.08667,30,0.0001,0.9726337790489197,-0.13966073095798492,0.9371058940887451,-6.3333282470703125,278
22.34,730,15840,510,19.285454,30,0.0001,0.971369743347168,-0.1460619866847992,1.6910264492034912,-6.6462907791137695,291
22.39,740,16060,513,19.57978,31,0.0001,0.970302402973175,-0.152439147233963,1.2302379608154297,-6.647602081298828,302
22.22,750,16300,517,18.980867,31,0.0001,0.9691385626792908,-0.15743544697761536,0.9257982969284058,-6.647794723510742,314
22.46,760,16400,518,20.287474,31,0.0001,0.9686540961265564,-0.16060428321361542,1.4453086853027344,-6.753598213195801,319
