rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,train/actor_loss
86.24465302,92,149,520,48.59,13866,-2.3515632152557373,3865,3.339296817779541,0.0594295896589756,0.002976351441631319,-37.05213165283203
106.85825197,81,181,530,56.07,14819,0.6680924296379089,4818,7.066462516784668,0.05053512379527092,0.002976351441631319,-44.90425109863281
126.84165273999997,72,216,540,63.05,15760,1.1401852369308472,5759,2.4831225872039795,0.048497363924980164,0.002976351441631319,-53.80575180053711
153.36828481000003,66,253,550,72.15,16867,-0.24814599752426147,6866,4.444647789001465,0.04505196958780289,0.002976351441631319,-61.89856719970703
173.51111783999997,61,289,560,79.82,17899,0.6558674573898315,7898,8.192779541015625,0.051328256726264954,0.002976351441631319,-70.06075286865234
192.01750284000005,58,320,570,87.05,18875,-0.390283465385437,8874,5.528804302215576,0.06311921030282974,0.002976351441631319,-74.17528533935547
207.98250328999998,56,350,580,93.07,19791,0.7213672995567322,9790,5.289938926696777,0.0720037892460823,0.002976351441631319,-85.5983657836914
217.49320538999996,54,384,590,95.82,20765,-0.49738064408302307,10764,2.697256326675415,0.0649888813495636,0.002976351441631319,-90.38212585449219
226.29536960000001,52,418,600,97.97,21760,2.7964730262756348,11759,12.525296211242676,0.0643792450428009,0.002976351441631319,-91.5489730834961
234.47479425000006,50,449,610,99.32,22804,-0.3725340962409973,12803,15.829079627990723,0.07259733974933624,0.002976351441631319,-100.1729736328125
238.65473544,48,488,620,99.79,23845,-1.7564398050308228,13844,15.791102409362793,0.07471006363630295,0.002976351441631319,-108.76808166503906
246.67394501,46,542,630,102.53,25072,-0.3637051582336426,15071,11.187949180603027,0.08289838582277298,0.002976351441631319,-115.00341796875
250.29214808999998,44,582,640,103.71,26131,-0.5839561223983765,16130,18.113265991210938,0.09579477459192276,0.002976351441631319,-118.6546630859375
253.30957564,43,623,650,104.27,27294,-0.5276369452476501,17293,8.686776161193848,0.0957942008972168,0.002976351441631319,-124.43035888671875
266.7357625,42,680,660,107.21,28620,0.6302530765533447,18619,14.611063957214355,0.0813753753900528,0.002976351441631319,-127.78584289550781
292.84755788,40,742,670,113.23,30198,-0.7289916276931763,20197,15.83733081817627,0.08344288170337677,0.002976351441631319,-141.63223266601562
320.38427960999996,38,823,680,121.18,31909,1.4607951641082764,21908,112.51609802246094,0.0855562686920166,0.002976351441631319,-147.15133666992188
324.70324183,38,864,690,122.2,32985,-0.9473970532417297,22984,55.02197265625,0.10112722218036652,0.002976351441631319,-153.75927734375
339.86514516000005,37,915,700,126.14,34374,1.5460435152053833,24373,41.458580017089844,0.09234952181577682,0.002976351441631319,-158.0822296142578
351.71437353,36,967,710,129.11,35715,-0.3376522660255432,25714,21.442672729492188,0.09708287566900253,0.002976351441631319,-164.15719604492188
375.09648254,36,1029,720,134.7,37315,-0.582274317741394,27314,21.273662567138672,0.09829449653625488,0.002976351441631319,-165.78282165527344
407.22340837,35,1124,730,143.0,39372,-0.8404632806777954,29371,21.94214630126953,0.09283950179815292,0.002976351441631319,-168.50198364257812
463.13979830999995,33,1252,740,157.9,41921,0.2427876591682434,31920,54.07416915893555,0.09600420296192169,0.002976351441631319,-168.3080596923828
508.63981801,31,1403,750,172.51,44545,0.5024294853210449,34544,70.2443618774414,0.0983063280582428,0.002976351441631319,-174.4207000732422
551.2438906599999,30,1525,760,186.07,47227,-0.5045366883277893,37226,26.637508392333984,0.10195374488830566,0.002976351441631319,-180.01673889160156
570.22959367,30,1613,770,192.14,49412,0.04486668109893799,39411,33.98395538330078,0.07208026200532913,0.002976351441631319,-179.8502655029297
