time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef
12,880,16.084454,19000,18.89,1520,-0.10424346476793289,2.6076791286468506,-7.211968421936035,449,4.641588833612782e-05,0.9793840050697327
12,890,15.909396,19220,18.45,1505,-0.10671357810497284,3.2608370780944824,-7.520116329193115,460,4.641588833612782e-05,0.9788843989372253
12,900,16.713167,19360,19.06,1500,-0.10860589891672134,2.3896055221557617,-7.3990478515625,467,4.641588833612782e-05,0.9785664081573486
13,910,17.020617,19560,19.08,1493,-0.11177171766757965,2.220128059387207,-7.487651824951172,477,4.641588833612782e-05,0.9781125783920288
13,920,16.173386,19740,18.89,1488,-0.11337777972221375,3.0989997386932373,-7.580256462097168,486,4.641588833612782e-05,0.9777044653892517
13,930,15.635702,19880,18.56,1480,-0.11514411866664886,2.5761947631835938,-7.660599708557129,493,4.641588833612782e-05,0.9773874282836914
13,940,15.7806,20040,18.65,1472,-0.1170712262392044,2.3105063438415527,-7.568416595458984,501,4.641588833612782e-05,0.9770250916481018
13,950,14.5530205,20240,17.92,1464,-0.11874783039093018,2.4254555702209473,-7.848784446716309,511,4.641588833612782e-05,0.9765719771385193
13,960,13.765228,20340,17.51,1462,-0.11998230218887329,2.297990322113037,-7.897972583770752,516,4.641588833612782e-05,0.9763453602790833
14,970,13.507421,20560,17.32,1453,-0.12320423126220703,2.7891252040863037,-8.00497817993164,527,4.641588833612782e-05,0.9758471250534058
14,980,13.544892,20760,17.4,1448,-0.12524989247322083,3.4327173233032227,-8.074949264526367,537,4.641588833612782e-05,0.9753944873809814
14,990,13.421203,20900,17.4,1443,-0.12740561366081238,2.7098445892333984,-8.008146286010742,544,4.641588833612782e-05,0.9750779271125793
14,1000,12.326076,21100,16.83,1435,-0.12940675020217896,2.306304931640625,-8.152922630310059,554,4.641588833612782e-05,0.9746257066726685
14,1010,13.140327,21300,17.27,1431,-0.1315997689962387,3.8107142448425293,-8.329124450683594,564,4.641588833612782e-05,0.9741740226745605
15,1020,13.167854,21520,17.4,1425,-0.13503682613372803,2.8902416229248047,-8.38798999786377,575,4.641588833612782e-05,0.9736777544021606
15,1030,13.392159,21640,17.53,1420,-0.13493600487709045,3.194819927215576,-8.3267822265625,581,4.641588833612782e-05,0.9734069108963013
15,1040,13.108494,21860,17.3,1411,-0.1388424038887024,4.103103160858154,-8.474908828735352,592,4.641588833612782e-05,0.9729112386703491
15,1050,14.030475,22100,17.96,1398,-0.14098605513572693,2.4555439949035645,-8.826517105102539,604,4.641588833612782e-05,0.9723700881004333
16,1060,15.599347,22340,19.16,1387,-0.143346905708313,2.3668079376220703,-8.792166709899902,616,4.641588833612782e-05,0.9718286395072937
16,1070,15.711339,22500,19.18,1378,-0.1461174190044403,3.9840006828308105,-8.978473663330078,624,4.641588833612782e-05,0.9714679718017578
16,1080,15.715981,22680,19.19,1372,-0.1479889452457428,3.6819281578063965,-8.925692558288574,633,4.641588833612782e-05,0.9710623025894165
16,1090,16.889418,22880,19.79,1366,-0.1500069797039032,3.0373411178588867,-8.961748123168945,643,4.641588833612782e-05,0.9706122875213623
16,1100,16.846395,23100,19.76,1362,-0.15277555584907532,3.788045883178711,-9.120210647583008,654,4.641588833612782e-05,0.9701178669929504
17,1110,15.856061,23240,19.17,1360,-0.15306301414966583,2.9944067001342773,-9.238067626953125,661,4.641588833612782e-05,0.9698031544685364
17,1120,16.652939,23460,19.48,1356,-0.1564861685037613,2.4963059425354004,-9.34847640991211,672,4.641588833612782e-05,0.9693086743354797
17,1130,17.431978,23700,19.85,1351,-0.16017451882362366,3.2218830585479736,-9.446815490722656,684,4.641588833612782e-05,0.9687695503234863
17,1140,18.208017,23940,20.43,1347,-0.16189774870872498,3.6362884044647217,-9.514244079589844,696,4.641588833612782e-05,0.9682308435440063
17,1150,18.9188,24100,20.81,1342,-0.16343103349208832,3.078061580657959,-9.762212753295898,704,4.641588833612782e-05,0.9678714871406555
18,1160,17.355608,24300,19.54,1321,-0.16531586647033691,2.5513415336608887,-9.595943450927734,714,4.641588833612782e-05,0.9674227833747864
19,1170,18.028172,24560,19.8,1285,-0.16726215183734894,2.865732192993164,-9.947909355163574,727,4.641588833612782e-05,0.9668400883674622
19,1180,19.272669,24800,20.62,1268,-0.17205265164375305,3.2310547828674316,-9.900640487670898,739,4.641588833612782e-05,0.9663031101226807
19,1190,18.924894,25040,20.53,1255,-0.17617273330688477,3.8250317573547363,-10.207025527954102,751,4.641588833612782e-05,0.9657670259475708
20,1200,20.120947,25320,21.41,1243,-0.1777951419353485,3.5146660804748535,-9.990793228149414,765,4.641588833612782e-05,0.9651417136192322
20,1210,21.829578,25600,22.77,1230,-0.18027770519256592,4.058852195739746,-10.205853462219238,779,4.641588833612782e-05,0.96451735496521
21,1220,22.231316,25840,23.28,1223,-0.18483538925647736,2.2340855598449707,-10.426863670349121,791,4.641588833612782e-05,0.9639829397201538
21,1230,21.962019,26140,23.28,1214,-0.18690097332000732,3.3396873474121094,-10.669617652893066,806,4.641588833612782e-05,0.9633139967918396
21,1240,23.443865,26360,24.14,1211,-0.19051475822925568,3.3914246559143066,-10.694780349731445,817,4.641588833612782e-05,0.9628236889839172
