time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef
36,900,15.939549,19300,18.95,532,-0.10812677443027496,2.2423994541168213,-7.388211727142334,464,4.641588833612782e-05,0.9787014126777649
36,910,16.521286,19500,19.35,535,-0.11062581837177277,1.4571430683135986,-7.4681549072265625,474,4.641588833612782e-05,0.9782472252845764
36,920,16.10324,19660,19.18,536,-0.11228480935096741,2.490818738937378,-7.519349575042725,482,4.641588833612782e-05,0.9778842329978943
36,930,14.945132,19820,18.67,538,-0.11466421186923981,2.42543888092041,-7.657839298248291,490,4.641588833612782e-05,0.9775216579437256
38,940,14.795627,20000,18.46,516,-0.11656534671783447,3.525405168533325,-7.820443630218506,499,4.641588833612782e-05,0.9771139025688171
38,950,13.858742,20220,17.84,518,-0.11986608058214188,1.6925091743469238,-7.675243377685547,510,4.641588833612782e-05,0.9766155481338501
39,960,14.1983,20340,18.23,519,-0.12015970051288605,2.057269334793091,-8.01259994506836,516,4.641588833612782e-05,0.9763437509536743
39,970,13.834668,20560,17.98,522,-0.12322308123111725,2.414304256439209,-8.10889720916748,527,4.641588833612782e-05,0.9758452773094177
39,980,14.369371,20800,18.4,525,-0.12581704556941986,3.1454648971557617,-8.234466552734375,539,4.641588833612782e-05,0.97530198097229
39,990,14.419146,20920,18.45,526,-0.1273118555545807,2.7344698905944824,-8.132364273071289,545,4.641588833612782e-05,0.9750304818153381
40,1000,13.604702,21140,17.84,527,-0.1293426901102066,3.056344747543335,-8.304374694824219,556,4.641588833612782e-05,0.9745326042175293
40,1010,14.16231,21340,18.83,529,-0.13123458623886108,3.3656344413757324,-8.165275573730469,566,4.641588833612782e-05,0.9740808010101318
40,1020,14.058084,21520,18.37,530,-0.13564398884773254,2.8808674812316895,-8.454856872558594,575,4.641588833612782e-05,0.9736748337745667
40,1030,14.28667,21680,18.5,532,-0.13619279861450195,3.2220804691314697,-8.393795013427734,583,4.641588833612782e-05,0.9733139276504517
40,1040,14.534893,21880,18.6,534,-0.13756206631660461,2.9594476222991943,-8.566740036010742,593,4.641588833612782e-05,0.9728633165359497
41,1050,15.527648,22060,19.0,536,-0.14064078032970428,3.052668571472168,-8.711313247680664,602,4.641588833612782e-05,0.972457766532898
41,1060,15.03522,22280,18.76,539,-0.14362439513206482,1.6400465965270996,-8.68818473815918,613,4.641588833612782e-05,0.9719616174697876
41,1070,15.258158,22500,19.0,540,-0.14599010348320007,4.564361572265625,-8.86939811706543,624,4.641588833612782e-05,0.9714658856391907
41,1080,15.094961,22720,18.91,543,-0.14905878901481628,4.189355850219727,-8.985773086547852,635,4.641588833612782e-05,0.9709702730178833
42,1090,16.100758,22940,19.16,545,-0.15135076642036438,1.8519102334976196,-9.065312385559082,646,4.641588833612782e-05,0.9704753756523132
42,1100,16.934992,23180,19.57,548,-0.15355023741722107,2.73410701751709,-9.00291633605957,658,4.641588833612782e-05,0.9699357748031616
42,1110,18.247057,23320,19.66,549,-0.15532895922660828,2.798126697540283,-9.173463821411133,665,4.641588833612782e-05,0.9696210026741028
42,1120,18.888483,23520,20.36,551,-0.1575642228126526,3.6506824493408203,-9.286556243896484,675,4.641588833612782e-05,0.969171404838562
42,1130,18.496214,23760,19.99,553,-0.16074974834918976,2.436401844024658,-9.447490692138672,687,4.641588833612782e-05,0.968632698059082
43,1140,19.185034,23980,20.58,554,-0.16331933438777924,2.7621960639953613,-9.652541160583496,698,4.641588833612782e-05,0.9681389927864075
43,1150,19.204126,24140,20.55,556,-0.16467022895812988,3.8100974559783936,-9.629548072814941,706,4.641588833612782e-05,0.9677799344062805
43,1160,18.588095,24340,20.14,558,-0.16674065589904785,2.9514260292053223,-9.713770866394043,716,4.641588833612782e-05,0.9673316478729248
43,1170,19.588062,24540,20.2,559,-0.16998237371444702,3.6486377716064453,-9.838404655456543,726,4.641588833612782e-05,0.9668837189674377
44,1180,20.539186,24800,20.7,562,-0.17161664366722107,4.433985710144043,-9.93963623046875,739,4.641588833612782e-05,0.9663021564483643
44,1190,20.648693,25020,21.12,564,-0.17399027943611145,1.3296935558319092,-10.033113479614258,750,4.641588833612782e-05,0.9658108353614807
44,1200,19.755835,25240,20.74,566,-0.1776808351278305,3.664149522781372,-10.268575668334961,761,4.641588833612782e-05,0.9653202891349792
44,1210,19.270658,25520,20.65,568,-0.17960774898529053,2.2989346981048584,-10.194475173950195,775,4.641588833612782e-05,0.9646962881088257
45,1220,20.740273,25760,21.61,570,-0.18355879187583923,3.1813101768493652,-10.382412910461426,787,4.641588833612782e-05,0.9641624689102173
45,1230,22.126062,26060,22.36,572,-0.1851414293050766,2.8456084728240967,-10.469148635864258,802,4.641588833612782e-05,0.9634939432144165
45,1240,22.136929,26380,22.48,574,-0.18959271907806396,3.842198371887207,-10.68576431274414,818,4.641588833612782e-05,0.9627816677093506
46,1250,23.974045,26660,23.35,576,-0.19147349894046783,2.9414114952087402,-10.988105773925781,832,4.641588833612782e-05,0.9621590375900269
46,1260,28.261171,26860,25.34,578,-0.19500082731246948,3.9183616638183594,-10.95710277557373,842,4.641588833612782e-05,0.9617156982421875
46,1270,26.861897,27220,25.21,580,-0.20033112168312073,3.4745965003967285,-11.05561637878418,860,4.641588833612782e-05,0.960917055606842
47,1280,28.438911,27500,26.0,582,-0.1985054314136505,3.148041248321533,-11.2486572265625,874,4.641588833612782e-05,0.9602981209754944
47,1290,29.472797,27720,26.02,583,-0.20375603437423706,3.535801649093628,-11.382421493530273,885,4.641588833612782e-05,0.9598128199577332
47,1300,31.847656,28020,27.84,586,-0.20705106854438782,5.454925060272217,-11.598054885864258,900,4.641588833612782e-05,0.9591506719589233
48,1310,31.426184,28280,27.53,588,-0.2090689092874527,3.679201126098633,-11.598074913024902,913,4.641588833612782e-05,0.9585790634155273
48,1320,30.453157,28660,26.83,591,-0.211826354265213,3.0441761016845703,-12.088687896728516,932,4.641588833612782e-05,0.957743763923645
48,1330,32.97751,29000,27.95,594,-0.21773192286491394,2.722080707550049,-12.226545333862305,949,4.641588833612782e-05,0.9569976925849915
49,1340,34.3205,29300,28.36,596,-0.2191896289587021,2.701303005218506,-12.135062217712402,964,4.641588833612782e-05,0.956340491771698
49,1350,34.382084,29600,28.96,599,-0.22578656673431396,5.609114646911621,-12.482183456420898,979,4.641588833612782e-05,0.9556858539581299
49,1360,33.612442,29980,29.41,601,-0.2276010513305664,5.791563034057617,-12.931804656982422,998,4.641588833612782e-05,0.954856276512146
52,1370,36.708073,30300,30.8,576,-0.231612429022789,3.5154147148132324,-12.787405014038086,1014,4.641588833612782e-05,0.9541622996330261
52,1380,35.90581,30580,30.83,578,-0.23331096768379211,4.1715593338012695,-12.905324935913086,1028,4.641588833612782e-05,0.953555166721344
53,1390,36.34327,31040,31.12,581,-0.23477791249752045,4.314481735229492,-13.294971466064453,1051,4.641588833612782e-05,0.9525603652000427
53,1400,38.099403,31300,31.58,582,-0.23620018362998962,4.09908390045166,-13.757017135620117,1064,4.641588833612782e-05,0.9519990682601929
54,1410,39.152813,31740,31.75,585,-0.24143174290657043,3.7731730937957764,-13.516925811767578,1086,4.641588833612782e-05,0.9510524272918701
54,1420,40.5292,32160,33.3,588,-0.24800702929496765,2.615771770477295,-14.028083801269531,1107,4.641588833612782e-05,0.9501530528068542
55,1430,40.399796,32520,33.91,590,-0.24837541580200195,5.559798240661621,-13.876529693603516,1125,4.641588833612782e-05,0.9493816494941711
55,1440,42.64823,32820,36.28,592,-0.2576448619365692,10.327796936035156,-14.48946475982666,1140,4.641588833612782e-05,0.9487422704696655
55,1450,43.175724,33320,36.22,595,-0.2581969201564789,3.9196228981018066,-14.786759376525879,1165,4.641588833612782e-05,0.9476801156997681
56,1460,42.616398,33740,35.64,599,-0.2606998682022095,5.40014123916626,-14.492345809936523,1186,4.641588833612782e-05,0.9467915296554565
57,1470,44.647736,34380,36.53,602,-0.2642947733402252,5.0899271965026855,-15.269248008728027,1218,4.641588833612782e-05,0.9454410076141357
57,1480,48.50286,34700,39.36,603,-0.26886263489723206,4.099189758300781,-15.548078536987305,1234,4.641588833612782e-05,0.9447664022445679
57,1490,48.87086,35100,39.73,605,-0.2796291708946228,5.250887393951416,-15.515395164489746,1254,4.641588833612782e-05,0.9439267516136169
58,1500,50.121414,35620,42.43,608,-0.2776331901550293,11.10420036315918,-15.957077026367188,1280,4.641588833612782e-05,0.9428383111953735
59,1510,52.211758,35980,44.66,609,-0.2799164056777954,3.5540995597839355,-16.16724967956543,1298,4.641588833612782e-05,0.942086398601532
59,1520,54.19934,36220,44.43,610,-0.2863163352012634,5.669350624084473,-16.300994873046875,1310,4.641588833612782e-05,0.9415879845619202
59,1530,51.619663,36620,43.21,613,-0.28342628479003906,6.62345552444458,-16.642127990722656,1330,4.641588833612782e-05,0.9407567381858826
59,1540,50.7535,36920,41.93,615,-0.29507389664649963,6.19775390625,-16.92298126220703,1345,4.641588833612782e-05,0.9401358962059021
60,1550,48.965755,37260,40.73,617,-0.2927129864692688,7.815247535705566,-16.88747215270996,1362,4.641588833612782e-05,0.9394321441650391
