time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef,train/ent_coef_loss
14920,8,670,20.305845,1805,23.25,0.00020691380811147902,0.6381459832191467,245,-6.522002220153809,0.9507040977478027,-0.2533312439918518
15300,8,680,21.371204,1758,23.61,0.00020691380811147902,0.9812670946121216,264,-6.646937847137451,0.9469780921936035,-0.27312612533569336
15540,8,690,23.378698,1734,24.82,0.00020691380811147902,1.2748613357543945,276,-6.812890529632568,0.9446308612823486,-0.2865121364593506
15960,9,700,22.494331,1685,24.47,0.00020691380811147902,0.7237598896026611,297,-6.97450065612793,0.9405412077903748,-0.3105325698852539
16180,9,710,25.358337,1667,26.24,0.00020691380811147902,0.73871910572052,308,-7.125766754150391,0.93840491771698,-0.317789763212204
16420,9,720,25.165163,1647,25.98,0.00020691380811147902,0.8111656904220581,320,-7.085156440734863,0.9360818862915039,-0.3311958312988281
16660,10,730,27.111345,1628,26.48,0.00020691380811147902,1.0197659730911255,332,-7.364703178405762,0.9337669014930725,-0.3432522416114807
17040,10,740,26.138159,1605,26.26,0.00020691380811147902,0.9399548172950745,351,-7.518878936767578,0.9301144480705261,-0.3626903295516968
17400,10,750,27.078901,1582,26.5,0.00020691380811147902,0.7827340364456177,369,-7.694693565368652,0.926669180393219,-0.3832966685295105
17700,11,760,28.940144,1562,27.4,0.00020691380811147902,1.128666639328003,384,-7.732511520385742,0.9238043427467346,-0.39947032928466797
18060,11,770,30.903095,1539,28.33,0.00020691380811147902,1.4007542133331299,402,-7.949249744415283,0.920382559299469,-0.4124690890312195
18340,12,780,33.374367,1520,30.93,0.00020691380811147902,1.2171010971069336,416,-8.090169906616211,0.9177305102348328,-0.4304175078868866
18600,12,790,34.198288,1507,31.28,0.00020691380811147902,0.9471096396446228,429,-8.24148941040039,0.9152747988700867,-0.4395236074924469
18940,12,800,33.295033,1477,31.16,0.00020691380811147902,1.173083782196045,446,-8.423517227172852,0.9120863080024719,-0.46028077602386475
19420,13,810,32.17166,1460,30.53,0.00020691380811147902,1.5126519203186035,470,-8.650596618652344,0.9075937271118164,-0.4827374815940857
19800,13,820,33.76369,1444,31.73,0.00020691380811147902,1.2644038200378418,489,-8.77568244934082,0.9040526151657104,-0.5026835799217224
20080,14,830,35.875034,1428,32.97,0.00020691380811147902,0.9857324361801147,503,-8.989089965820312,0.9014544486999512,-0.5147175788879395
20380,14,840,40.354694,1415,34.96,0.00020691380811147902,1.5342119932174683,518,-8.908266067504883,0.8986821174621582,-0.5323256254196167
20640,14,850,40.482063,1404,34.98,0.00020691380811147902,0.8877741694450378,531,-9.270723342895508,0.8962864875793457,-0.5466736555099487
21080,15,860,39.911434,1386,35.04,0.00020691380811147902,0.712709367275238,553,-9.341299057006836,0.8922423124313354,-0.561820924282074
21440,15,870,39.791115,1376,35.28,0.00020691380811147902,1.245112657546997,571,-9.555790901184082,0.8889585137367249,-0.590322732925415
21780,15,880,38.792267,1361,34.06,0.00020691380811147902,1.0672680139541626,588,-9.736383438110352,0.8858669400215149,-0.5966624021530151
22100,16,890,38.065758,1345,33.8,0.00020691380811147902,2.9377102851867676,604,-9.900467872619629,0.8829782009124756,-0.6236317157745361
22500,16,900,39.13663,1327,34.61,0.00020691380811147902,1.6962472200393677,624,-10.041118621826172,0.8793800473213196,-0.6329941749572754
22940,17,910,40.57756,1311,35.24,0.00020691380811147902,1.7888809442520142,646,-10.268077850341797,0.875444233417511,-0.6557481288909912
23320,17,920,41.351578,1302,35.98,0.00020691380811147902,1.6841015815734863,665,-10.503658294677734,0.8720524907112122,-0.6776870489120483
23980,18,930,42.580887,1289,37.13,0.00020691380811147902,1.3581159114837646,698,-10.899097442626953,0.866193950176239,-0.7057375907897949
24540,19,940,41.97047,1274,37.1,0.00020691380811147902,1.6969506740570068,726,-11.083866119384766,0.8612679839134216,-0.7400652170181274
25020,19,950,49.308826,1264,41.66,0.00020691380811147902,0.6648596525192261,750,-11.45915412902832,0.8570683598518372,-0.7632152438163757
25560,20,960,51.72069,1253,43.06,0.00020691380811147902,2.481332540512085,777,-11.66815185546875,0.852364718914032,-0.7863889932632446
25800,20,970,53.71845,1247,43.91,0.00020691380811147902,1.422616958618164,789,-11.745128631591797,0.8502861857414246,-0.7761727571487427
26400,21,980,55.107353,1237,45.21,0.00020691380811147902,0.7984189391136169,819,-11.972235679626465,0.8451367616653442,-0.8208520412445068
27000,22,990,58.14856,1225,46.06,0.00020691380811147902,1.3036768436431885,849,-12.60673713684082,0.8400139212608337,-0.8551405668258667
27480,22,1000,62.686756,1218,48.08,0.00020691380811147902,1.962264060974121,873,-12.603347778320312,0.8359487652778625,-0.8736796379089355
27960,23,1010,63.516136,1211,48.42,0.00020691380811147902,1.7871266603469849,897,-12.933624267578125,0.8319054841995239,-0.8991626501083374
28680,23,1020,68.173676,1203,50.85,0.00020691380811147902,0.666687548160553,933,-13.271795272827148,0.8258787989616394,-0.928419828414917
29380,24,1030,69.00006,1193,51.37,0.00020691380811147902,1.2101047039031982,968,-13.986010551452637,0.8200902938842773,-0.9516908526420593
29880,25,1040,72.98583,1185,53.48,0.00020691380811147902,1.8620810508728027,993,-13.87112045288086,0.8159925937652588,-0.9657009840011597
30500,25,1050,71.20549,1179,51.63,0.00020691380811147902,2.987612247467041,1024,-14.438858985900879,0.8109361529350281,-0.9856436252593994
31200,26,1060,77.58118,1168,55.04,0.00020691380811147902,2.5070266723632812,1059,-15.017635345458984,0.8052783012390137,-1.036176085472107
31740,27,1070,82.2186,1162,56.79,0.00020691380811147902,2.264159679412842,1086,-15.041703224182129,0.8009409308433533,-1.0429458618164062
32420,28,1080,85.21289,1156,57.21,0.00020691380811147902,0.6772315502166748,1120,-15.6116943359375,0.7955169081687927,-1.0890254974365234
32980,28,1090,87.96457,1149,59.3,0.00020691380811147902,3.852612257003784,1148,-15.776488304138184,0.7910870313644409,-1.111387848854065
33760,29,1100,87.65999,1140,58.25,0.00020691380811147902,3.145526170730591,1187,-16.300649642944336,0.7849395871162415,-1.1580390930175781
34280,30,1110,94.47246,1135,62.23,0.00020691380811147902,1.7941691875457764,1213,-16.65280532836914,0.7808742523193359,-1.152440071105957
34880,30,1120,97.073135,1130,62.85,0.00020691380811147902,3.704287528991699,1243,-17.465965270996094,0.7762275338172913,-1.182055950164795
35500,31,1130,99.53851,1127,62.85,0.00020691380811147902,4.81459379196167,1274,-17.207368850708008,0.7714497447013855,-1.232840657234192
36240,32,1140,100.159256,1121,62.68,0.00020691380811147902,5.5394287109375,1311,-17.431949615478516,0.7657819390296936,-1.2366398572921753
36800,32,1150,104.76653,1120,64.54,0.00020691380811147902,1.8628041744232178,1339,-18.6545467376709,0.7615528106689453,-1.2998883724212646
37600,33,1160,104.385086,1115,63.12,0.00020691380811147902,2.595496654510498,1379,-18.665611267089844,0.7555450201034546,-1.2811143398284912
38380,34,1170,107.743576,1111,63.99,0.00020691380811147902,9.480179786682129,1418,-18.717182159423828,0.7497690320014954,-1.330869436264038
38800,35,1180,111.99945,1107,65.62,0.00020691380811147902,1.5020496845245361,1439,-19.17563247680664,0.7466512322425842,-1.3627049922943115
39380,35,1190,113.04852,1102,65.01,0.00020691380811147902,8.151763916015625,1468,-19.904193878173828,0.742362916469574,-1.3898807764053345
40300,36,1200,116.53693,1096,66.34,0.00020691380811147902,6.77323055267334,1514,-20.77878761291504,0.7356502413749695,-1.4115204811096191
