time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef,train/ent_coef_loss
10300,23,470,16.921036,444,20.65,0.00020691380811147902,4.695974349975586,14,-2.9528777599334717,0.9973105788230896,-0.013608792796730995
10560,23,480,16.771595,448,20.99,0.00020691380811147902,2.155294895172119,27,-3.7767388820648193,0.9946248531341553,-0.027056321501731873
10720,23,490,16.901606,450,20.97,0.00020691380811147902,1.9472204446792603,35,-4.235997200012207,0.9929757714271545,-0.035428501665592194
10960,24,500,17.069483,454,21.1,0.00020691380811147902,1.6147236824035645,47,-4.636015892028809,0.990506112575531,-0.04827531799674034
11100,24,510,17.663473,456,21.85,0.00020691380811147902,1.5252643823623657,54,-4.690372467041016,0.9890683889389038,-0.05550036579370499
11380,24,520,16.014656,461,20.69,0.00020691380811147902,1.1380386352539062,68,-4.741255760192871,0.9862003922462463,-0.07022818922996521
11600,24,530,15.543069,465,20.35,0.00020691380811147902,1.2190665006637573,79,-4.886536598205566,0.9839529991149902,-0.08139488101005554
11800,25,540,15.988687,469,20.43,0.00020691380811147902,0.689975917339325,89,-5.062514305114746,0.9819159507751465,-0.09235304594039917
11980,25,550,16.15409,472,20.71,0.00020691380811147902,0.9646605253219604,98,-5.0996904373168945,0.9800887107849121,-0.10130001604557037
12200,25,560,15.399732,476,20.19,0.00020691380811147902,0.8221278190612793,109,-5.217421531677246,0.9778590798377991,-0.1126023530960083
12460,25,570,15.892745,479,20.55,0.00020691380811147902,0.953825056552887,122,-5.343958377838135,0.9752269983291626,-0.12650638818740845
12640,26,580,17.582447,482,21.09,0.00020691380811147902,0.5621141791343689,131,-5.393911361694336,0.97340989112854,-0.13621562719345093
12800,26,590,17.92641,484,20.97,0.00020691380811147902,1.0751354694366455,139,-5.534050464630127,0.9717979431152344,-0.14456163346767426
12980,26,600,17.639307,488,20.82,0.00020691380811147902,0.5278655886650085,148,-5.646734237670898,0.9699873924255371,-0.15443620085716248
13200,26,610,17.4345,491,20.5,0.00020691380811147902,0.8372088670730591,159,-5.713688850402832,0.9677795171737671,-0.16524049639701843
13460,27,620,18.52013,495,21.37,0.00020691380811147902,0.8503994345664978,172,-5.869594573974609,0.9651759266853333,-0.1784575879573822
13680,27,630,18.086777,498,21.35,0.00020691380811147902,0.40389198064804077,183,-5.911271095275879,0.9629782438278198,-0.18981844186782837
13920,27,640,18.461185,502,21.65,0.00020691380811147902,0.5801740884780884,195,-6.04119873046875,0.9605873823165894,-0.20247966051101685
14100,27,650,17.895048,504,21.2,0.00020691380811147902,0.4629834294319153,204,-6.072546482086182,0.9587987065315247,-0.21283423900604248
14340,28,660,18.892344,508,22.3,0.00020691380811147902,0.8103389739990234,216,-6.150687217712402,0.9564187526702881,-0.2234976887702942
14560,28,670,17.102201,511,21.28,0.00020691380811147902,0.6536737680435181,227,-6.316378593444824,0.9542443752288818,-0.237245574593544
14760,28,680,17.229525,515,21.17,0.00020691380811147902,0.7620468139648438,237,-6.292901992797852,0.9522709846496582,-0.24582605063915253
14960,28,690,16.4468,517,21.01,0.00020691380811147902,0.6674913167953491,247,-6.503501892089844,0.9503046870231628,-0.25757500529289246
15260,29,700,18.036562,521,21.66,0.00020691380811147902,1.094266414642334,262,-6.68154764175415,0.9473622441291809,-0.2706534266471863
15540,29,710,19.580433,525,23.14,0.00020691380811147902,0.8069623708724976,276,-6.672926902770996,0.9446229338645935,-0.28618529438972473
15860,29,720,20.224533,530,23.2,0.00020691380811147902,0.8196338415145874,292,-6.834358215332031,0.9415062069892883,-0.3036009669303894
16200,30,730,20.959644,534,23.56,0.00020691380811147902,0.6631067395210266,309,-6.970176696777344,0.9382057785987854,-0.32130974531173706
16400,30,740,21.30862,537,24.0,0.00020691380811147902,0.8627585768699646,319,-6.990353584289551,0.9362699389457703,-0.330150842666626
16600,30,750,24.74834,540,25.41,0.00020691380811147902,0.7892634868621826,329,-7.190273761749268,0.9343410730361938,-0.34126245975494385
16940,31,760,23.679295,543,24.38,0.00020691380811147902,0.983914315700531,346,-7.32344388961792,0.931071937084198,-0.3584449589252472
17360,31,770,23.98964,548,25.18,0.00020691380811147902,0.8993712663650513,367,-7.337947845458984,0.9270504713058472,-0.3798784613609314
17600,31,780,26.466604,551,26.33,0.00020691380811147902,0.8413881659507751,379,-7.826498985290527,0.924757719039917,-0.39336884021759033
17860,32,790,29.22683,554,28.18,0.00020691380811147902,0.8605835437774658,392,-7.72296142578125,0.9222829937934875,-0.4056767523288727
18140,32,800,28.99869,558,28.61,0.00020691380811147902,0.73919677734375,406,-7.954100608825684,0.9196311235427856,-0.4200367033481598
18420,32,810,29.256725,562,28.31,0.00020691380811147902,1.0092594623565674,420,-8.10745906829834,0.9169832468032837,-0.43677085638046265
18760,33,820,28.727045,566,28.56,0.00020691380811147902,0.7354072332382202,437,-8.29896354675293,0.9137802720069885,-0.4506660997867584
19100,33,830,29.864353,569,29.1,0.00020691380811147902,1.0473896265029907,454,-8.278724670410156,0.910593569278717,-0.47130393981933594
19560,33,840,30.94935,575,29.44,0.00020691380811147902,1.1018273830413818,477,-8.70088005065918,0.906299889087677,-0.49688512086868286
19780,34,850,31.768103,577,29.92,0.00020691380811147902,0.6144814491271973,488,-8.664576530456543,0.904255211353302,-0.5009859204292297
20200,39,860,34.62944,507,31.48,0.00020691380811147902,1.5110406875610352,509,-8.782718658447266,0.9003688097000122,-0.5210031270980835
20480,40,870,35.15464,510,32.17,0.00020691380811147902,0.7824506759643555,523,-9.012502670288086,0.8977867364883423,-0.5352957248687744
20780,40,880,35.970116,513,32.57,0.00020691380811147902,1.5473287105560303,538,-9.091204643249512,0.8950318694114685,-0.550305962562561
21120,40,890,34.648605,516,32.2,0.00020691380811147902,1.0871458053588867,555,-9.171974182128906,0.8919174671173096,-0.5647447109222412
21500,41,900,35.662052,520,32.75,0.00020691380811147902,1.3129653930664062,574,-9.486477851867676,0.8884608149528503,-0.5838612914085388
21760,41,910,36.88925,523,32.77,0.00020691380811147902,1.570770025253296,587,-9.493675231933594,0.886101245880127,-0.5943429470062256
22040,41,920,38.18941,526,33.37,0.00020691380811147902,0.5567108392715454,601,-10.043493270874023,0.8835701942443848,-0.6152745485305786
22460,42,930,36.997967,530,33.11,0.00020691380811147902,1.8714993000030518,622,-9.6998929977417,0.8797803521156311,-0.6419141888618469
22940,42,940,38.64669,535,34.85,0.00020691380811147902,0.873370349407196,646,-10.317482948303223,0.8754873275756836,-0.6564710140228271
23440,43,950,39.396618,539,35.43,0.00020691380811147902,2.1961543560028076,671,-10.592529296875,0.8710380792617798,-0.6770150661468506
23980,44,960,42.411045,544,37.64,0.00020691380811147902,2.393230438232422,698,-10.68598747253418,0.866270124912262,-0.7067845463752747
24380,44,970,46.235783,547,39.52,0.00020691380811147902,0.8989626169204712,718,-10.99233627319336,0.8627479076385498,-0.7220005989074707
24920,45,980,47.4229,551,40.31,0.00020691380811147902,1.2761772871017456,745,-11.08316707611084,0.858033299446106,-0.7407177686691284
25300,45,990,49.247593,554,40.74,0.00020691380811147902,2.308718204498291,764,-11.495655059814453,0.8547298908233643,-0.7714206576347351
25760,46,1000,49.66847,556,41.76,0.00020691380811147902,1.1318151950836182,787,-11.73640251159668,0.8507577180862427,-0.793746829032898
