time/fps,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/ent_coef,train/n_updates
517,30320,1060,76.7754,54.24,58,-14.343465805053711,-1.036077857017517,0.00021544346900318823,1.5048972368240356,0.805792510509491,1015
522,31020,1070,77.50265,54.12,59,-14.575850486755371,-1.0799167156219482,0.00021544346900318823,4.085671901702881,0.7999537587165833,1050
524,31400,1080,83.114914,56.05,59,-14.887351989746094,-1.047039270401001,0.00021544346900318823,2.5221500396728516,0.7968221306800842,1069
527,32000,1090,84.67026,56.74,60,-14.83639907836914,-1.104002833366394,0.00021544346900318823,1.469674825668335,0.791923999786377,1099
533,32720,1100,84.815765,56.05,61,-15.606834411621094,-1.141402244567871,0.00021544346900318823,3.3658974170684814,0.7860223650932312,1135
536,33180,1110,88.66602,57.63,61,-15.939467430114746,-1.1592774391174316,0.00021544346900318823,3.3013391494750977,0.7822784781455994,1158
543,34160,1120,86.22569,55.71,62,-16.731075286865234,-1.1870293617248535,0.00021544346900318823,4.545952320098877,0.7743872404098511,1207
546,34680,1130,92.33587,58.7,63,-16.76199722290039,-1.183917760848999,0.00021544346900318823,2.4130873680114746,0.7702374458312988,1233
548,35060,1140,93.47336,58.66,63,-17.017215728759766,-1.2358758449554443,0.00021544346900318823,7.163181304931641,0.7672285437583923,1252
552,35700,1150,94.64129,59.12,64,-17.63833999633789,-1.2761589288711548,0.00021544346900318823,2.7428674697875977,0.7622049450874329,1284
557,36400,1160,95.35532,59.67,65,-17.35036277770996,-1.2993693351745605,0.00021544346900318823,3.186187267303467,0.7567309737205505,1319
559,36940,1170,97.04665,59.0,65,-18.001691818237305,-1.288400650024414,0.00021544346900318823,3.0783982276916504,0.752535879611969,1346
562,37400,1180,98.734795,59.8,66,-18.419391632080078,-1.3249828815460205,0.00021544346900318823,2.6539814472198486,0.7489579319953918,1369
566,38140,1190,102.11803,60.95,67,-19.10649871826172,-1.3530762195587158,0.00021544346900318823,2.3355207443237305,0.7432888150215149,1406
570,38800,1200,107.56129,62.38,68,-19.355972290039062,-1.3986676931381226,0.00021544346900318823,4.057933807373047,0.7382737994194031,1439
574,39640,1210,112.20473,63.13,69,-20.271106719970703,-1.3917477130889893,0.00021544346900318823,5.179182052612305,0.7319677472114563,1481
523,40400,1220,116.43192,64.03,77,-19.796363830566406,-1.4210045337677002,0.00021544346900318823,3.058544635772705,0.7263507843017578,1519
525,40820,1230,118.58535,63.37,77,-20.521976470947266,-1.4346387386322021,0.00021544346900318823,9.035999298095703,0.7232575416564941,1540
532,42040,1240,125.395905,64.7,78,-21.391948699951172,-1.4834883213043213,0.00021544346900318823,5.390429496765137,0.714360237121582,1601
536,42760,1250,136.62479,68.61,79,-21.640506744384766,-1.5285589694976807,0.00021544346900318823,8.027789115905762,0.7091695666313171,1637
540,43720,1260,144.67859,70.82,80,-23.16754722595215,-1.5679340362548828,0.00021544346900318823,6.930117607116699,0.7023180723190308,1685
542,44220,1270,152.7044,73.92,81,-23.059865951538086,-1.6592254638671875,0.00021544346900318823,4.3907012939453125,0.6987779140472412,1710
548,45360,1280,159.57507,75.78,82,-23.772750854492188,-1.6506696939468384,0.00021544346900318823,3.2841477394104004,0.6907568573951721,1767
551,46040,1290,166.21638,78.08,83,-24.305479049682617,-1.6289790868759155,0.00021544346900318823,6.942953586578369,0.6860356330871582,1801
555,47020,1300,171.68336,80.52,84,-24.776721954345703,-1.735548496246338,0.00021544346900318823,4.770387649536133,0.6793273687362671,1850
559,47820,1310,176.10289,82.62,85,-25.534912109375,-1.6926617622375488,0.00021544346900318823,3.660090684890747,0.6739210486412048,1890
562,48660,1320,178.77869,83.93,86,-24.806455612182617,-1.6849058866500854,0.00021544346900318823,5.391877174377441,0.6683042645454407,1932
566,49540,1330,182.52866,85.26,87,-26.195709228515625,-1.7413272857666016,0.00021544346900318823,4.768809795379639,0.6624690294265747,1976
