time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/n_updates,train/critic_loss
940,173.31732,33880,83.0,1004,33,-12.01164436340332,-6.862974166870117,0.002335721469090121,0.08731113374233246,1193,0.9174197912216187
950,176.80539,34620,84.49,1001,34,-12.84429931640625,-5.166881561279297,0.002335721469090121,0.08283527940511703,1230,0.2872329652309418
960,174.50859,35500,83.05,995,35,-12.381010055541992,-5.667956829071045,0.002335721469090121,0.07793162018060684,1274,2.7723207473754883
970,175.33868,36380,83.69,990,36,-14.228394508361816,-6.492288112640381,0.002335721469090121,0.07376272976398468,1318,0.39497485756874084
980,175.08107,37220,83.76,988,37,-13.824135780334473,-3.7814385890960693,0.002335721469090121,0.06959670037031174,1360,1.679368257522583
990,178.09073,38080,84.83,985,38,-14.027883529663086,-5.332498073577881,0.002335721469090121,0.06639811396598816,1403,0.6966662406921387
1000,179.73442,39020,85.09,982,39,-14.762809753417969,-4.626053810119629,0.002335721469090121,0.0630732998251915,1450,1.432284951210022
1010,180.9317,39760,85.57,979,40,-15.850686073303223,-7.391445159912109,0.002335721469090121,0.06094786524772644,1487,1.918067455291748
1020,182.89412,40720,86.03,975,41,-14.879222869873047,-3.9535412788391113,0.002335721469090121,0.05770064890384674,1535,1.583691120147705
1030,182.47754,41500,85.9,972,42,-15.528488159179688,-4.134774208068848,0.002335721469090121,0.055289376527071,1574,2.0868935585021973
1040,183.31186,42520,86.25,969,43,-16.694644927978516,-5.397506237030029,0.002335721469090121,0.05225585401058197,1625,3.397289991378784
1050,183.54277,43260,86.46,967,44,-16.121471405029297,-1.9759756326675415,0.002335721469090121,0.05018102377653122,1662,2.911095380783081
1060,183.9017,44260,86.88,965,45,-17.182409286499023,-4.04123592376709,0.002335721469090121,0.048082053661346436,1712,1.81248140335083
1070,183.46309,45000,86.89,964,46,-17.12936019897461,-6.0320892333984375,0.002335721469090121,0.04627886041998863,1749,4.539379596710205
1080,183.31967,46120,87.02,962,47,-18.06640625,-4.637011528015137,0.002335721469090121,0.04376410320401192,1805,1.1892013549804688
1090,183.04805,46800,87.1,961,48,-18.860897064208984,-5.501312255859375,0.002335721469090121,0.04223083332180977,1839,3.030566692352295
1100,182.3318,47840,87.23,958,49,-19.012168884277344,-3.0076704025268555,0.002335721469090121,0.04021374136209488,1891,1.3848788738250732
1110,182.14867,48540,87.22,957,50,-19.84842872619629,-1.9072601795196533,0.002335721469090121,0.03903514891862869,1926,2.8651857376098633
1120,182.74223,49660,87.62,954,52,-19.601194381713867,-2.63449764251709,0.002335721469090121,0.03732769936323166,1982,3.118374824523926
