time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef
390,21.65,53,159,18.15247764,8592,,,,,,
400,21.29,54,159,17.34728691,8772,,,,,,
410,22.49,53,169,19.684662760000002,9063,,,,,,
420,23.13,55,169,21.420631659999994,9384,,,,,,
430,23.13,53,178,21.246972830000004,9571,,,,,,
440,21.98,54,178,19.26839255,9725,,,,,,
450,22.02,55,178,19.20122783,9943,,,,,,
460,22.37,53,191,19.85325989,10191,190,-5.745233535766602,0.6268191337585449,-0.15509049594402313,0.0001623776739188721,0.969755232334137
470,22.35,53,195,19.427483770000002,10421,420,-7.97423791885376,1.1484957933425903,-0.34107449650764465,0.0001623776739188721,0.9342539310455322
480,23.9,52,204,23.233131739999997,10797,796,-11.221323013305664,1.451336145401001,-0.6256775856018066,0.0001623776739188721,0.879631519317627
490,27.74,52,216,29.544251919999997,11366,1365,-17.218502044677734,2.2326836585998535,-0.9445229172706604,0.0001623776739188721,0.8053200244903564
500,29.69,52,224,34.41360727,11741,1740,-20.472885131835938,1.5579313039779663,-1.199592113494873,0.0001623776739188721,0.7608375549316406
510,30.23,51,233,37.30546539,12086,2085,-24.63027572631836,4.870856285095215,-1.3365366458892822,0.0001623776739188721,0.7223512530326843
520,32.47,50,249,44.51283562,12631,2630,-29.281105041503906,8.782933235168457,-1.5414080619812012,0.0001623776739188721,0.666650116443634
530,39.79,48,279,63.679434549999996,13550,3549,-38.75769805908203,11.369009017944336,-1.7864243984222412,0.0001623776739188721,0.5853937268257141
540,47.39,48,300,83.61117595,14464,4463,-48.680694580078125,18.28144073486328,-1.937727928161621,0.0001623776739188721,0.5146469473838806
550,55.58,44,345,107.20242081,15501,5500,-59.76457214355469,15.637636184692383,-2.277137279510498,0.0001623776739188721,0.4421347975730896
560,63.67,43,380,131.18835847,16558,6557,-67.60965728759766,44.5460205078125,-2.9392948150634766,0.0001623776739188721,0.37679263949394226
570,72.03,42,415,155.95813364000003,17624,7623,-77.77096557617188,36.47301483154297,-2.632100820541382,0.0001623776739188721,0.3208082616329193
580,79.7,41,456,179.19871152,18767,8766,-86.94598388671875,54.77293395996094,-2.624492645263672,0.0001623776739188721,0.27171579003334045
590,85.43,40,493,199.43778058000004,19909,9908,-98.79442596435547,43.674747467041016,-2.8454833030700684,0.0001623776739188721,0.23207423090934753
600,93.51,38,544,221.62245377000002,21092,11091,-108.25883483886719,23.354793548583984,-1.5041580200195312,0.0001623776739188721,0.20112954080104828
610,101.97,38,582,243.95426751999995,22283,12282,-117.6850814819336,41.196109771728516,-1.0769298076629639,0.0001623776739188721,0.17823198437690735
620,108.59,37,620,261.66787647,23490,13489,-122.03379821777344,51.674171447753906,-1.1060106754302979,0.0001623776739188721,0.1614777147769928
630,111.8,36,669,271.03850279,24730,14729,-134.4813232421875,59.15601348876953,-0.478782057762146,0.0001623776739188721,0.1440524309873581
640,115.46,36,716,276.36346417,26010,16009,-143.3027801513672,63.04656219482422,0.60019850730896,0.0001623776739188721,0.1348637193441391
650,114.79,36,739,273.35612901999997,26980,16979,-143.56939697265625,45.258949279785156,0.5343989133834839,0.0001623776739188721,0.13580353558063507
660,113.88,36,769,270.2768987,27946,17945,-151.303466796875,69.80009460449219,-0.15539346635341644,0.0001623776739188721,0.13202247023582458
670,113.89,35,813,269.02387345000005,29013,19012,-154.93577575683594,69.04438781738281,-0.01365518569946289,0.0001623776739188721,0.1323167234659195
680,116.12,35,857,270.24073752,30379,20378,-159.227294921875,103.69234466552734,-0.1091141402721405,0.0001623776739188721,0.13573965430259705
690,119.83,34,916,274.78594505000007,31892,21891,-161.523681640625,28.236007690429688,-0.278219610452652,0.0001623776739188721,0.1301862597465515
700,120.66,34,969,276.33273618,33158,23157,-160.31326293945312,117.80928039550781,-0.27698931097984314,0.0001623776739188721,0.12523029744625092
710,121.62,34,1013,279.90509237,34445,24444,-165.30337524414062,92.637451171875,-0.35640203952789307,0.0001623776739188721,0.1253618746995926
720,122.02,33,1066,281.54793609999996,35692,25691,-161.8984375,37.76705551147461,-0.2917728126049042,0.0001623776739188721,0.12130753695964813
