time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates
556,294,164000,2260,414.3610699299999,139.78,-79.35549926757812,-1.2631551027297974,8.714603424072266,0.0005994842503189409,0.052760835736989975,7699
558,296,165300,2270,405.15572179000014,137.93,-79.58865356445312,0.03811067342758179,7.091931343078613,0.0005994842503189409,0.05247833952307701,7764
559,297,166320,2280,390.09708729,134.73,-82.45207977294922,-0.03463241457939148,10.247945785522461,0.0005994842503189409,0.05262819305062294,7815
562,299,168240,2290,390.64565698999996,135.49,-82.91028594970703,0.6230764389038086,17.053619384765625,0.0005994842503189409,0.052668496966362,7911
563,300,169260,2300,395.33895586000006,136.71,-85.08988189697266,1.2747373580932617,6.366485118865967,0.0005994842503189409,0.05298406258225441,7962
546,313,171080,2310,394.77427679,136.93,-83.02587127685547,2.0561606884002686,17.216033935546875,0.0005994842503189409,0.053105875849723816,8053
547,314,172120,2320,393.1383834499999,136.89,-83.06423950195312,1.0452280044555664,8.83311653137207,0.0005994842503189409,0.053690340369939804,8105
549,316,173760,2330,387.50480036,135.89,-85.6458969116211,-1.1895509958267212,9.806923866271973,0.0005994842503189409,0.054116252809762955,8187
550,316,174420,2340,382.45087124000014,134.96,-84.78854370117188,-0.24557262659072876,5.104008674621582,0.0005994842503189409,0.054041020572185516,8220
553,318,176460,2350,376.73428081000003,133.97,-85.80642700195312,-0.7005174160003662,33.37315368652344,0.0005994842503189409,0.054396506398916245,8322
554,319,177380,2360,375.1470504400001,133.84,-86.99417877197266,-0.6725905537605286,6.961450576782227,0.0005994842503189409,0.05437499284744263,8368
556,321,179180,2370,381.68195974,135.35,-86.78466033935547,-0.8328198194503784,11.614692687988281,0.0005994842503189409,0.05578315630555153,8458
538,334,180100,2380,395.01228127,138.24,-88.18679809570312,-0.9173133969306946,5.127015113830566,0.0005994842503189409,0.05543864145874977,8504
