time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates
1830,8,15540,690,18.36684753,23.67,-6.4163126945495605,-0.8301767110824585,0.44924506545066833,0.0005994842503189409,0.8480193614959717,276
1793,8,15860,700,18.85008237,23.77,-6.559230327606201,-0.8751955032348633,0.5360895991325378,0.0005994842503189409,0.8399378657341003,292
1768,9,16060,710,20.625956069999997,25.19,-6.753383636474609,-0.9018337726593018,0.34570711851119995,0.0005994842503189409,0.8349317312240601,302
1744,9,16280,720,21.278538909999998,25.58,-6.51383113861084,-0.9433989524841309,0.43864548206329346,0.0005994842503189409,0.8294564485549927,313
1697,9,16660,730,22.075772630000007,26.33,-6.7087860107421875,-0.9912487864494324,0.6519254446029663,0.0005994842503189409,0.8200820684432983,332
1666,10,17000,740,23.027652439999997,27.12,-6.947325706481934,-1.0528967380523682,0.381875216960907,0.0005994842503189409,0.81179279088974,349
1635,10,17400,750,23.052333060000002,26.83,-6.934114933013916,-1.1095094680786133,0.9043205976486206,0.0005994842503189409,0.8021387457847595,369
1613,10,17720,760,24.47896326,28.82,-7.0344648361206055,-1.1595478057861328,0.5467787384986877,0.0005994842503189409,0.79451584815979,385
1597,11,18000,770,25.81553454,29.27,-7.4789719581604,-1.1893670558929443,0.6506561636924744,0.0005994842503189409,0.78790283203125,399
1575,11,18440,780,27.761627889999996,30.43,-7.393565654754639,-1.261427402496338,0.3875351846218109,0.0005994842503189409,0.777635931968689,421
1559,11,18700,790,29.21141432,30.81,-7.5433855056762695,-1.2869631052017212,0.8371098637580872,0.0005994842503189409,0.7716305255889893,434
1533,12,19180,800,30.743110419999997,31.99,-7.598887920379639,-1.364732027053833,0.856230616569519,0.0005994842503189409,0.7606921792030334,458
1506,13,19640,810,31.52610402,32.59,-7.802101135253906,-1.4380345344543457,0.5900075435638428,0.0005994842503189409,0.7503535151481628,481
1488,13,20040,820,36.25784337,35.77,-7.586488723754883,-1.4743432998657227,0.8003889322280884,0.0005994842503189409,0.7414929866790771,501
1471,13,20460,830,37.064724059999996,36.58,-7.952206611633301,-1.5575584173202515,1.4406490325927734,0.0005994842503189409,0.7323111891746521,522
1447,14,21080,840,40.099002909999996,37.75,-8.169672012329102,-1.6221890449523926,0.8969682455062866,0.0005994842503189409,0.7189899682998657,553
1430,15,21700,850,45.773940550000006,41.13,-8.511238098144531,-1.7141185998916626,0.9920378923416138,0.0005994842503189409,0.7059152126312256,584
1409,15,22140,860,48.85625742,42.54,-8.734355926513672,-1.7821171283721924,1.301182508468628,0.0005994842503189409,0.6968326568603516,606
1385,16,22920,870,52.79579076,45.43,-8.79385757446289,-1.8806514739990234,0.8736764192581177,0.0005994842503189409,0.6809567809104919,645
1355,17,23760,880,56.81292321000001,47.67,-9.457504272460938,-2.0064876079559326,1.6145827770233154,0.0005994842503189409,0.6643179655075073,687
1340,18,24320,890,63.227840470000004,52.38,-9.80099105834961,-2.0559723377227783,0.5497866868972778,0.0005994842503189409,0.6534695029258728,715
1325,18,24960,900,65.98228792,54.75,-10.062256813049316,-2.1493377685546875,0.6058210730552673,0.0005994842503189409,0.6413092613220215,747
1309,19,25760,910,72.08867871,58.83,-10.355828285217285,-2.2266695499420166,1.7484718561172485,0.0005994842503189409,0.6264981031417847,787
1297,20,26220,920,74.55744652,59.98,-10.689653396606445,-2.34557843208313,0.5194603800773621,0.0005994842503189409,0.6181634664535522,810
1282,21,27020,930,81.20230932999999,63.2,-10.8792142868042,-2.399198293685913,0.47755885124206543,0.0005994842503189409,0.6039769053459167,850
1266,21,27660,940,85.26629159,65.8,-11.150883674621582,-2.4508986473083496,0.6936368942260742,0.0005994842503189409,0.5929128527641296,882
1256,22,28440,950,88.66862243,67.08,-11.09428596496582,-2.5890631675720215,1.267317771911621,0.0005994842503189409,0.5797568559646606,921
1247,23,29060,960,92.2847611,68.34,-11.955121040344238,-2.6626007556915283,3.357802629470825,0.0005994842503189409,0.5694974660873413,952
1240,23,29660,970,94.32783884000003,68.43,-12.38606071472168,-2.7165334224700928,1.2711114883422852,0.0005994842503189409,0.5598240494728088,982
1234,24,30060,980,94.92897871,68.23,-12.451004028320312,-2.7383618354797363,2.679626941680908,0.0005994842503189409,0.5534966588020325,1002
1226,25,30780,990,93.58495524999998,65.67,-12.370391845703125,-2.7725980281829834,1.0565850734710693,0.0005994842503189409,0.5423098802566528,1038
1214,26,31600,1000,98.88670168,66.26,-13.500473976135254,-2.8354439735412598,0.3983401954174042,0.0005994842503189409,0.5297922492027283,1079
1202,27,32480,1010,102.25961441,65.42,-13.307340621948242,-3.0155768394470215,1.8991495370864868,0.0005994842503189409,0.5167816877365112,1123
1195,27,32980,1020,109.19180323999998,67.36,-13.81712532043457,-3.127574920654297,2.016115188598633,0.0005994842503189409,0.5095272064208984,1148
1187,28,33640,1030,112.53413737000001,67.66,-14.055351257324219,-3.0705597400665283,0.7403291463851929,0.0005994842503189409,0.500088632106781,1181
1178,29,34700,1040,116.83264376999998,68.02,-14.88920783996582,-3.233046770095825,1.4958176612854004,0.0005994842503189409,0.48549091815948486,1234
