rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef
74.4,572,149.84866,29040,50,860,-0.18712639808654785,0.007847599703514606,-9.492414474487305,0.6775399446487427,951,0.02456613816320896
76.53,575,154.43304,29620,51,870,-0.8180949687957764,0.007847599703514606,-9.367660522460938,1.2624483108520508,980,0.024138815701007843
78.78,498,159.22128,30740,61,880,-2.762507677078247,0.007847599703514606,-10.181816101074219,1.354878306388855,1036,0.024608802050352097
79.35,501,160.37057,31260,62,890,-1.1740729808807373,0.007847599703514606,-10.43925666809082,0.5800769329071045,1062,0.024717561900615692
80.25,506,162.30853,32320,63,900,-0.582131564617157,0.007847599703514606,-10.871749877929688,1.3170866966247559,1115,0.024920374155044556
80.65,507,163.19502,32660,64,910,2.462519407272339,0.007847599703514606,-10.953916549682617,0.7797126770019531,1132,0.02451668307185173
79.65,513,161.02321,33920,66,920,-1.2062222957611084,0.007847599703514606,-11.03291130065918,1.59583580493927,1195,0.02632748894393444
79.5,515,160.46654,34280,66,930,-0.013000190258026123,0.007847599703514606,-11.745848655700684,2.3189074993133545,1213,0.02630125731229782
77.55,517,156.32494,35020,67,940,3.2968268394470215,0.007847599703514606,-11.608152389526367,1.0400781631469727,1250,0.02626723051071167
74.51,518,149.86334,35120,67,950,-2.4778072834014893,0.007847599703514606,-11.740095138549805,1.6408107280731201,1255,0.02644629031419754
74.1,526,148.96597,36660,69,960,-0.9693946838378906,0.007847599703514606,-12.661481857299805,1.4248253107070923,1332,0.02750350721180439
74.63,526,150.07256,36760,69,970,-0.9576515555381775,0.007847599703514606,-12.216114044189453,1.741667628288269,1337,0.02738814614713192
72.81,531,146.17441,37720,70,980,-2.375741958618164,0.007847599703514606,-13.472308158874512,1.6718026399612427,1385,0.027039889246225357
71.76,535,143.88258,38360,71,990,0.5536247491836548,0.007847599703514606,-13.781352996826172,1.0574029684066772,1417,0.025617899373173714
70.75,539,141.8484,39380,73,1000,3.8980672359466553,0.007847599703514606,-14.064688682556152,1.307969331741333,1468,0.025070570409297943
70.72,517,142.03091,40100,77,1010,1.3171614408493042,0.007847599703514606,-14.15435791015625,2.0594987869262695,1504,0.024537237361073494
72.3,522,145.73575,41120,78,1020,-1.7097744941711426,0.007847599703514606,-15.386826515197754,1.0020296573638916,1555,0.02481442131102085
72.79,525,146.91153,41760,79,1030,1.5824627876281738,0.007847599703514606,-15.298179626464844,1.283961296081543,1587,0.025245938450098038
74.5,530,150.6654,42740,80,1040,1.8591532707214355,0.007847599703514606,-15.055785179138184,1.5326952934265137,1636,0.025224976241588593
77.91,533,158.09534,43460,81,1050,-1.703331708908081,0.007847599703514606,-16.38351058959961,2.3465640544891357,1672,0.025245750322937965
78.53,539,159.58615,44620,82,1060,-0.840764582157135,0.007847599703514606,-16.68248748779297,2.2925684452056885,1730,0.024177849292755127
78.43,541,160.06227,45140,83,1070,-3.073269844055176,0.007847599703514606,-17.663494110107422,2.28641939163208,1756,0.023928653448820114
80.77,545,165.05104,46080,84,1080,-1.7945129871368408,0.007847599703514606,-16.941919326782227,1.923825740814209,1803,0.02454519085586071
81.98,548,167.76471,46860,85,1090,0.13913115859031677,0.007847599703514606,-16.697914123535156,4.047749996185303,1842,0.02235228382050991
84.36,553,172.29744,48000,86,1100,0.33795982599258423,0.007847599703514606,-18.642379760742188,4.395275592803955,1899,0.023075951263308525
85.67,555,174.94405,48760,87,1110,-2.1310911178588867,0.007847599703514606,-18.51825714111328,2.5933351516723633,1937,0.023663215339183807
85.89,559,175.30016,49760,88,1120,-2.4986724853515625,0.007847599703514606,-19.012184143066406,1.649397611618042,1987,0.021823303773999214
