rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef
32.75,1357,51.136074,18840,13,740,-6.813482284545898,0.007847599703514606,-4.896828651428223,0.2519303858280182,441,0.04643232747912407
30.64,1347,49.59548,19120,14,750,-5.288688659667969,0.007847599703514606,-4.879034042358398,0.24855294823646545,455,0.043441008776426315
29.62,1334,48.930786,19400,14,760,-0.34625688195228577,0.007847599703514606,-4.8278703689575195,0.13330785930156708,469,0.04096028953790665
28.61,1320,47.58931,19700,14,770,-0.710903525352478,0.007847599703514606,-4.952718734741211,0.18734315037727356,484,0.038917817175388336
27.65,1308,46.695538,19940,15,780,-3.2366976737976074,0.007847599703514606,-4.982351303100586,0.5133616328239441,496,0.03752295672893524
26.94,1295,46.279022,20240,15,790,-10.40296745300293,0.007847599703514606,-4.74620246887207,0.3675222396850586,511,0.035905830562114716
26.75,1287,45.98661,20520,15,800,-3.3887619972229004,0.007847599703514606,-5.491649627685547,0.2966383695602417,525,0.03408294543623924
26.91,1279,46.429188,20820,16,810,-3.636228322982788,0.007847599703514606,-5.490133762359619,0.2283715158700943,540,0.03254489228129387
27.12,1261,46.98738,21260,16,820,-1.7629115581512451,0.007847599703514606,-6.260167598724365,0.19881334900856018,562,0.03090493753552437
28.05,1257,48.880905,21400,17,830,-0.43943336606025696,0.007847599703514606,-5.209929466247559,0.2273712158203125,569,0.030613381415605545
28.85,1235,50.5204,22200,17,840,-0.2176404595375061,0.007847599703514606,-5.779078483581543,0.26686128973960876,609,0.027752511203289032
34.61,1204,63.68603,23080,19,850,-3.3682761192321777,0.007847599703514606,-5.89659309387207,0.28258389234542847,653,0.025840999558568
38.33,1184,71.85102,23900,20,860,1.1066861152648926,0.007847599703514606,-6.876616954803467,0.4295945465564728,694,0.02460220828652382
42.44,1176,80.24303,24380,20,870,-7.0207624435424805,0.007847599703514606,-6.856919765472412,0.25133591890335083,718,0.023958927020430565
47.89,1154,91.8649,25300,21,880,4.515198707580566,0.007847599703514606,-7.020289897918701,0.5476773977279663,764,0.02208886854350567
53.72,1139,104.07956,26080,22,890,-5.507636070251465,0.007847599703514606,-7.628297805786133,0.32324421405792236,803,0.0217411108314991
59.52,1125,116.52681,27000,23,900,-2.1943652629852295,0.007847599703514606,-7.774193286895752,0.2930583953857422,849,0.021719003096222878
64.87,1116,127.83663,27800,24,910,-0.8581701517105103,0.007847599703514606,-8.039047241210938,0.9431263208389282,889,0.02202039211988449
69.23,1108,136.33553,28420,25,920,4.512829303741455,0.007847599703514606,-8.313007354736328,0.8188288807868958,920,0.021426230669021606
74.48,1094,147.62825,29520,26,930,-3.589794158935547,0.007847599703514606,-8.97910213470459,0.5107685327529907,975,0.02153349295258522
79.53,1086,158.98143,30100,27,940,-1.7751445770263672,0.007847599703514606,-9.227741241455078,0.7286334037780762,1004,0.021493341773748398
81.33,1073,162.47086,31160,29,950,4.0114312171936035,0.007847599703514606,-9.4971342086792,1.1752080917358398,1057,0.021007226780056953
81.3,1067,162.02798,31780,29,960,1.6528348922729492,0.007847599703514606,-10.229829788208008,0.800842821598053,1088,0.02115522138774395
83.18,1057,166.40509,32880,31,970,5.605916976928711,0.007847599703514606,-10.573026657104492,0.8052887320518494,1143,0.021575218066573143
83.67,1052,167.60138,33480,31,980,-1.435611367225647,0.007847599703514606,-10.770576477050781,0.9197124242782593,1173,0.02235434763133526
83.03,1045,166.33049,34440,32,990,3.5077385902404785,0.007847599703514606,-11.500726699829102,0.5902631282806396,1221,0.021721959114074707
82.9,1039,166.03423,35220,33,1000,0.09643176198005676,0.007847599703514606,-11.403457641601562,1.0548866987228394,1260,0.023500757291913033
83.08,1032,166.83707,36160,35,1010,1.2643938064575195,0.007847599703514606,-11.540511131286621,1.052812099456787,1307,0.02276787720620632
84.46,1025,170.54988,36960,36,1020,-5.266608238220215,0.007847599703514606,-12.113839149475098,0.7004574537277222,1347,0.023373661562800407
84.11,1018,169.41522,37900,37,1030,3.9105446338653564,0.007847599703514606,-12.69975757598877,1.0438885688781738,1394,0.023777347058057785
84.51,1014,170.15607,38900,38,1040,-0.10579335689544678,0.007847599703514606,-13.268575668334961,0.7655090689659119,1444,0.024469172582030296
84.85,1007,171.99196,39740,39,1050,-0.8386901021003723,0.007847599703514606,-13.2039794921875,1.2127816677093506,1486,0.02375679276883602
84.9,1006,172.8415,39920,39,1060,5.518458843231201,0.007847599703514606,-13.519783020019531,2.757875919342041,1495,0.02377382665872574
81.61,1001,165.30711,41180,41,1070,-0.9474665522575378,0.007847599703514606,-13.225480079650879,2.6325106620788574,1558,0.02510005608201027
81.45,999,165.7504,41520,41,1080,1.4253127574920654,0.007847599703514606,-13.733224868774414,1.492954969406128,1575,0.025092773139476776
81.54,995,166.07133,42780,42,1090,0.1355765163898468,0.007847599703514606,-14.465432167053223,1.8016910552978516,1638,0.026295095682144165
80.43,994,163.25348,42860,43,1100,0.40668854117393494,0.007847599703514606,-14.611251831054688,1.8279802799224854,1642,0.026340246200561523
79.9,989,163.32445,45220,45,1110,1.417268991470337,0.007847599703514606,-16.007736206054688,2.2279536724090576,1760,0.02700194902718067
84.29,988,181.40211,45520,46,1120,-0.3370678424835205,0.007847599703514606,-16.09498405456543,2.7876644134521484,1775,0.027547063305974007
87.62,984,194.56612,47380,48,1130,3.420067548751831,0.007847599703514606,-16.672962188720703,3.5778512954711914,1868,0.02750565856695175
89.05,984,201.02911,47580,48,1140,-2.204803943634033,0.007847599703514606,-16.99736785888672,2.129077434539795,1878,0.02829681523144245
91.54,987,210.43721,49940,50,1150,0.03433537483215332,0.007847599703514606,-18.65355110168457,0.9069459438323975,1996,0.026153260841965675
