rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate
19.905693,28,520,22.75,418,11800,-5.028409004211426,89,0.21767565608024597,0.7689049243927002,-1.3295044898986816,0.002976351441631319
17.93554,28,530,21.82,423,12040,-4.849386215209961,101,0.31349050998687744,0.7418922185897827,-1.5047504901885986,0.002976351441631319
17.778072,28,540,22.28,427,12320,-4.786285400390625,115,0.3243846893310547,0.7115621566772461,-1.7037158012390137,0.002976351441631319
18.633104,29,550,22.85,431,12580,-4.768100738525391,128,0.26585638523101807,0.6845152974128723,-1.9125661849975586,0.002976351441631319
19.033104,29,560,23.19,434,12740,-4.83043098449707,136,0.31807464361190796,0.6683927178382874,-2.0165228843688965,0.002976351441631319
20.70382,29,570,24.3,441,13220,-4.8594770431518555,160,0.22522389888763428,0.6223390698432922,-2.373049736022949,0.002976351441631319
20.730663,30,580,24.46,446,13580,-4.788346767425537,178,0.36108672618865967,0.5898828506469727,-2.6450886726379395,0.002976351441631319
25.116741,30,590,26.42,448,13860,-4.790453910827637,192,0.1988835632801056,0.5658471584320068,-2.820608139038086,0.002976351441631319
26.890667,31,600,27.74,453,14280,-4.818216323852539,213,0.2529626488685608,0.5317269563674927,-3.1233479976654053,0.002976351441631319
29.083687,32,610,29.48,460,14760,-4.868007659912109,237,0.24370256066322327,0.4952729046344757,-3.4730067253112793,0.002976351441631319
32.987125,32,620,31.97,465,15140,-5.000207424163818,256,0.15493124723434448,0.46828898787498474,-3.7780070304870605,0.002976351441631319
36.98782,33,630,34.58,472,15620,-4.877047061920166,280,0.2233898937702179,0.43633896112442017,-4.107191562652588,0.002976351441631319
39.11291,33,640,35.87,475,16000,-5.01414680480957,299,0.20548218488693237,0.4127059876918793,-4.357542991638184,0.002976351441631319
42.632828,34,650,37.64,484,16700,-5.248966693878174,334,0.4414820671081543,0.3727017045021057,-4.784195423126221,0.002976351441631319
52.457607,35,660,43.09,492,17400,-5.283612251281738,369,0.1320134401321411,0.33694031834602356,-5.332326889038086,0.002976351441631319
58.840057,35,670,45.97,498,17920,-5.696226596832275,395,0.2818729281425476,0.31270697712898254,-5.628639221191406,0.002976351441631319
64.49063,36,680,48.2,505,18540,-5.5094780921936035,426,0.30878180265426636,0.28635621070861816,-5.8830952644348145,0.002976351441631319
68.64683,37,690,50.73,511,19180,-5.710592269897461,458,0.18288230895996094,0.2618018388748169,-6.251668930053711,0.002976351441631319
72.30108,38,700,52.24,517,19720,-5.986959457397461,485,0.44248583912849426,0.24304170906543732,-6.487884998321533,0.002976351441631319
77.98829,41,710,55.01,489,20520,-6.2000322341918945,525,0.439103364944458,0.21794207394123077,-6.453672409057617,0.002976351441631319
78.777466,42,720,54.29,493,20900,-6.4187164306640625,544,0.44161373376846313,0.20707859098911285,-6.395320415496826,0.002976351441631319
84.81435,42,730,57.19,498,21340,-6.248025894165039,566,0.6609034538269043,0.19532698392868042,-6.203906059265137,0.002976351441631319
87.43307,43,740,57.86,504,21920,-6.9773101806640625,595,0.42479538917541504,0.18116450309753418,-7.091994762420654,0.002976351441631319
90.01877,43,750,58.39,509,22380,-6.763400554656982,618,0.764538586139679,0.17087513208389282,-7.693194389343262,0.002976351441631319
87.3307,44,760,56.41,513,22840,-7.064725875854492,641,0.38079285621643066,0.1610056459903717,-6.618091106414795,0.002976351441631319
87.26594,45,770,55.38,520,23580,-7.49702262878418,678,0.33200621604919434,0.1469820886850357,-8.246789932250977,0.002976351441631319
97.78442,46,780,58.99,529,24580,-7.876791000366211,728,0.7067388892173767,0.13053715229034424,-7.054989814758301,0.002976351441631319
108.2294,47,790,61.75,535,25280,-8.125090599060059,763,1.0312299728393555,0.1204814687371254,-7.533622741699219,0.002976351441631319
