time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/ent_coef_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss,train/actor_loss
1611,24.22,8,14120,21.69545,610,-0.476093053817749,0.00046415888336127773,205,0.9095563292503357,0.679594099521637,-6.147491931915283
1598,23.79,8,14280,21.21786,620,-0.49403277039527893,0.00046415888336127773,213,0.9061856269836426,0.5366891026496887,-6.3315534591674805
1571,23.92,9,14580,21.135836,630,-0.5308234691619873,0.00046415888336127773,228,0.8999032974243164,0.44226759672164917,-6.429118633270264
1535,24.78,9,15020,21.843166,640,-0.5797480344772339,0.00046415888336127773,250,0.8907739520072937,0.634053647518158,-6.382051467895508
1499,27.39,10,15420,27.503952,650,-0.6280826330184937,0.00046415888336127773,270,0.8825528025627136,0.5406863689422607,-6.737170696258545
1479,27.43,10,15720,27.226316,660,-0.6626090407371521,0.00046415888336127773,285,0.8764452934265137,0.5061156153678894,-7.034637451171875
1459,29.11,11,16080,30.138538,670,-0.704471230506897,0.00046415888336127773,303,0.8691739439964294,0.47818487882614136,-6.941779136657715
1442,30.55,11,16300,32.35103,680,-0.7253105640411377,0.00046415888336127773,314,0.8647583723068237,0.5179693698883057,-6.90563440322876
1433,30.75,11,16440,32.9494,690,-0.7452618479728699,0.00046415888336127773,321,0.861964225769043,0.6415644884109497,-7.107513427734375
1414,29.84,11,16820,32.17792,700,-0.7923223972320557,0.00046415888336127773,340,0.8544215559959412,0.47955581545829773,-7.276020050048828
1399,29.28,12,17180,30.929052,710,-0.8269213438034058,0.00046415888336127773,358,0.8473449945449829,0.5181372165679932,-7.399039268493652
1384,30.61,12,17480,32.95905,720,-0.8702936768531799,0.00046415888336127773,373,0.8414917588233948,0.40577232837677,-7.527443885803223
1358,30.44,13,17940,33.09751,730,-0.9054657816886902,0.00046415888336127773,396,0.832592785358429,0.7417979836463928,-7.518350601196289
1344,32.47,13,18300,36.787888,740,-0.9573457837104797,0.00046415888336127773,414,0.8257130980491638,0.7407370805740356,-7.771674156188965
1331,30.98,14,18700,33.2348,750,-0.9914446473121643,0.00046415888336127773,434,0.8181310892105103,0.5497925281524658,-7.997989654541016
1305,32.66,14,19180,34.480545,760,-1.054311990737915,0.00046415888336127773,458,0.8091250658035278,1.0317647457122803,-8.279778480529785
1288,34.11,15,19640,35.922573,770,-1.1047427654266357,0.00046415888336127773,481,0.8006058931350708,0.8467512130737305,-8.430571556091309
1282,35.41,15,19880,38.793453,780,-1.1287800073623657,0.00046415888336127773,493,0.7961874604225159,0.8223738074302673,-8.351104736328125
1267,35.99,15,20220,39.67971,790,-1.1682112216949463,0.00046415888336127773,510,0.7899832725524902,0.9067747592926025,-8.807178497314453
1258,37.61,16,20540,40.793896,800,-1.1961843967437744,0.00046415888336127773,526,0.7841857671737671,1.4438484907150269,-8.587394714355469
1249,37.73,16,21040,41.73195,810,-1.2533129453659058,0.00046415888336127773,551,0.7752150297164917,0.8766688704490662,-8.900634765625
1238,39.65,17,21560,44.338818,820,-1.3226115703582764,0.00046415888336127773,577,0.766026496887207,0.7214561104774475,-9.129228591918945
1224,40.3,17,21960,45.54185,830,-1.3617380857467651,0.00046415888336127773,597,0.7590291500091553,1.014259696006775,-9.356091499328613
1213,40.51,18,22440,45.48239,840,-1.4308550357818604,0.00046415888336127773,621,0.7507458925247192,0.5272425413131714,-9.512404441833496
1204,41.96,19,22940,46.940712,850,-1.465437650680542,0.00046415888336127773,646,0.7421970963478088,0.7986812591552734,-9.827606201171875
1188,42.64,19,23700,50.491222,860,-1.5514960289001465,0.00046415888336127773,684,0.729421854019165,1.6968497037887573,-9.879814147949219
1181,44.72,20,24220,54.159325,870,-1.5900013446807861,0.00046415888336127773,710,0.7208406329154968,1.714630365371704,-10.207094192504883
1175,46.1,20,24600,55.14302,880,-1.647923231124878,0.00046415888336127773,729,0.7146369814872742,1.8713161945343018,-10.5047025680542
1165,48.08,21,25200,57.664764,890,-1.6803832054138184,0.00046415888336127773,759,0.7049624919891357,1.0755804777145386,-11.266348838806152
1158,48.69,22,25620,58.74398,900,-1.7536215782165527,0.00046415888336127773,780,0.6982955932617188,0.9923774003982544,-11.045064926147461
1144,50.73,23,26500,62.43664,910,-1.831505298614502,0.00046415888336127773,824,0.6845236420631409,1.3548530340194702,-11.46242904663086
1134,54.34,23,27080,68.25297,920,-1.873138427734375,0.00046415888336127773,853,0.6755954623222351,2.184366464614868,-12.016546249389648
1125,56.91,24,27800,72.69016,930,-1.9696414470672607,0.00046415888336127773,889,0.664757490158081,2.6270852088928223,-11.918853759765625
1119,57.96,25,28520,75.03482,940,-2.0384836196899414,0.00046415888336127773,925,0.654042661190033,0.9148388504981995,-12.084295272827148
1113,60.13,26,29360,80.28389,950,-2.1025400161743164,0.00046415888336127773,967,0.6418083906173706,2.895949363708496,-13.188407897949219
1109,62.42,26,29820,85.33321,960,-2.131232976913452,0.00046415888336127773,990,0.6352416276931763,3.0715460777282715,-13.35558032989502
1100,62.46,27,30760,86.5133,970,-2.2312355041503906,0.00046415888336127773,1037,0.6220604181289673,1.2128106355667114,-13.193412780761719
1095,64.58,28,31200,90.27664,980,-2.2519028186798096,0.00046415888336127773,1059,0.6159992218017578,2.8863821029663086,-13.916138648986816
1089,65.73,29,31980,94.99968,990,-2.3423681259155273,0.00046415888336127773,1098,0.6054149270057678,1.5402411222457886,-13.79263687133789
1085,66.85,29,32460,99.60286,1000,-2.3673648834228516,0.00046415888336127773,1122,0.5990061163902283,2.408201217651367,-14.118597984313965
1081,67.28,30,33200,101.499756,1010,-2.45265531539917,0.00046415888336127773,1159,0.5892763733863831,1.1848125457763672,-14.675065994262695
1076,67.99,31,34300,106.838554,1020,-2.495293140411377,0.00046415888336127773,1214,0.5751227140426636,3.748661994934082,-15.432031631469727
1069,70.4,33,35320,115.01796,1030,-2.570568323135376,0.00046415888336127773,1265,0.5623651742935181,4.354720115661621,-15.57359504699707
1066,73.63,33,36080,124.90256,1040,-2.736025333404541,0.00046415888336127773,1303,0.5530545115470886,2.132931709289551,-16.4403076171875
1059,78.34,35,37220,136.66684,1050,-2.6799886226654053,0.00046415888336127773,1360,0.5394916534423828,3.706186294555664,-16.91704559326172
1054,80.9,35,37920,145.77989,1060,-2.79886531829834,0.00046415888336127773,1395,0.5313857197761536,2.3576416969299316,-17.47541618347168
1049,83.04,37,38960,154.14786,1070,-2.822305202484131,0.00046415888336127773,1447,0.519559383392334,3.8237550258636475,-17.620758056640625
1047,83.92,37,39760,161.92744,1080,-2.9686813354492188,0.00046415888336127773,1487,0.5107253193855286,0.9591107964515686,-18.138816833496094
