time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef
11160,21.6,16.843424,510,482,23,-0.40720224380493164,0.0014384498882876629,57,-5.12397575378418,0.3980996608734131,0.9224509596824646
11420,21.8,17.328964,520,486,23,-0.5034613013267517,0.0014384498882876629,70,-5.233341217041016,0.2691195011138916,0.9053118824958801
11640,21.31,16.480665,530,489,23,-0.5823009014129639,0.0014384498882876629,81,-5.080557823181152,0.31984925270080566,0.8910664319992065
11840,21.54,17.071306,540,493,24,-0.6533108949661255,0.0014384498882876629,91,-5.1731977462768555,0.42262476682662964,0.8783100247383118
12080,21.73,17.371168,550,497,24,-0.7410440444946289,0.0014384498882876629,103,-5.3203206062316895,0.37359851598739624,0.8632761836051941
12360,22.88,19.200836,560,502,24,-0.8434457778930664,0.0014384498882876629,117,-5.299888610839844,0.39300283789634705,0.8460344076156616
12620,23.61,20.497646,570,506,24,-0.9317807555198669,0.0014384498882876629,130,-5.173722743988037,0.4641909897327423,0.8303365707397461
12860,23.67,21.067055,580,509,25,-1.019445776939392,0.0014384498882876629,142,-5.3397674560546875,0.36571457982063293,0.8161144852638245
13040,23.03,19.200052,590,512,25,-1.0942612886428833,0.0014384498882876629,151,-5.463936805725098,0.3308219611644745,0.805605411529541
13300,22.88,19.184612,600,517,25,-1.1851990222930908,0.0014384498882876629,164,-5.507021903991699,0.30245691537857056,0.7906760573387146
13580,23.42,20.024654,610,521,26,-1.2752110958099365,0.0014384498882876629,178,-5.3770599365234375,0.4402424693107605,0.7748924493789673
14000,23.48,19.580431,620,527,26,-1.4243881702423096,0.0014384498882876629,199,-5.656498908996582,0.5126454830169678,0.7518504858016968
14260,25.19,22.01207,630,531,26,-1.5361766815185547,0.0014384498882876629,212,-5.73708438873291,0.3651503622531891,0.7379459738731384
14600,26.0,23.465221,640,536,27,-1.6533730030059814,0.0014384498882876629,229,-5.541762351989746,0.3748434782028198,0.7201537489891052
